name,page_number,is_bold,volume
Gondy (Jean-François de),124,false,vol_1
Gondy (Pierre de),130,false,vol_1
Gonneau (André),"185, 190, 220",false,vol_1
Gonneau (Madame),185,false,vol_1
Gonzague (François de),144,false,vol_1
Gonzague (Louise-Marie),515,false,vol_1
Gorée,"147, 148, 168, 299, 374, 491",false,vol_1
Goudimel (Claude),102,false,vol_1
Gouliou (Sr de),v. Debeaune.,false,vol_1
Gouy,447,false,vol_1
Granon (Sr de),xxxvii,false,vol_1
Grandamy (le P.),209,false,vol_1
Grandidier (Urbain),xli,false,vol_1
Gratarolo (Guilielmo),47,false,vol_1
Grazia (Vincenzo di),614,false,vol_1
Grégoire (St) de Nysse,630,false,vol_1
Grégoire (St) de Nazianze,"70, 533, 534",false,vol_1
Grégoire le Grand,68,false,vol_1
Grégoire (Pierre),133,false,vol_1
Grienberger (le P.),"183, 257",false,vol_1
Groot (H. de),"xl, 161, 320",false,vol_1
Groslot (de l'Isle),298,false,vol_1
Grotius (Hugo),v. Groot (de),false,vol_1
Gruter,"492, 615",false,vol_1
Gualdo (Paolo),"107, 240",false,vol_1
Guédron (Pierre),"82, 585",false,vol_1
Guémené (le prince de),xxxv,false,vol_1
Gueneau,"1, 49, 68, 101, 110, 174, 186, 220, 319, 395, 503, 554",false,vol_1
Guenellus,v. Gueneau.,false,vol_1
Guérin,494,false,vol_1
Guériteau (le P. Nicolas),xxiii,false,vol_1
Guevara (Giovanni di),"248, 249",false,vol_1
Guido d'Arezzo,246,false,vol_1
Guido de Péruse,497,false,vol_1
Guidobaldi del Monte,"183, 193, 244, 333",false,vol_1
Guillaume de St-Faron (le Fr.),v. Saint-Faron,false,vol_1
Guillemeau (Ch.),xxxix,false,vol_1
Guiot (Jos.-André),612,false,vol_1
Guittaut (de),325,false,vol_1
Gunter (Edmund),314,false,vol_1
"Habert (Germain), abbé de Cerisy","xxxiv, 447, 546",false,vol_1
Habert (Isaac),xxxi,false,vol_1
Habert de Montmor (Henri-Louis),"xxxvii, xliv, n. 1",false,vol_1
Hallé (Claude),140,false,vol_1
Hallé (Jacques),"xxxviii, 112, 139, 141",false,vol_1
Hannier (le Fr. Guillaume),v. Saint-Faron (de),false,vol_1
Hardy (Claude),"xxxix, xliii, n. 4, 54, 187, 251, 269, 273, 604, 619",false,vol_1
Hardy (Sébastien),"187, 604",false,vol_1
Harriot,432,false,vol_1
Haultin,111,false,vol_1
Hay du Chastelot (Daniel),"xxxi, n. 7",false,vol_1
Hébert (le P. Pierre),"xxiii, xxxvi",false,vol_1
Heinsius (Daniel),"346, 476, 506",false,vol_1
Helmont (J.-B. van),"xlv, n. 3, 17, 296, 326",false,vol_1
Hennequin,137,false,vol_1
"Henri III, roi de France",79,false,vol_1
"Henriette-Marie, soeur de Louis XIII","172, 249, 445",false,vol_1
Henrion (Denis),"423, 600",false,vol_1
Héraclite,574,false,vol_1
Hérauld (Didier),"36, 107",false,vol_1
Herbert de Cherbury,v. Cherbury,false,vol_1
Herigone,248,false,vol_1
Hermes Trismégiste,"142, 154, 327",false,vol_1
Héron,"187, 218, 487, 491",false,vol_1
Hésiode,"90, 190",false,vol_1
Hill,"133, 147, 491",false,vol_1
Hippocrate,20,false,vol_1
Hobbes (Th.),"xlvi-xlvii, xlviii",false,vol_1
Hoghelende (Thibault de),287,false,vol_1
Holste (Luc),"188, 602, 605",false,vol_1
Holstenius,v. Holste (Luc),false,vol_1
Homère,"92, 490, 384, 529, 535, 561",false,vol_1
Hondius (Jacques),600,false,vol_1
Horace,"57, 58, 67, 85, 87, 91, 95, 102, 151, 190, 192, 218, 221, 384, 388, 495, 503, 535, 552, 553, 583, 584, 623",false,vol_1
Hore Apollon,522,false,vol_1
Horwitz (Schephtel),305,false,vol_1
Hozier (Pierre d'),xlii,false,vol_1
Hues (Robert),600,false,vol_1
Huygens (Constantin),"149, 250, 424, 434",false,vol_1
Hypsicles,499,false,vol_1
Jacob,12,false,vol_1
Jacob (le P. Louis),"xxvii, n. 3, xxxiii",false,vol_1
"Jacques Ier, roi d'Angleterre",524,false,vol_1
Jacques (le P.) de Saint-Rémy,40,false,vol_1
Jacquinot (Dominique),87,false,vol_1
Jambe-de-Fer (Philibert),87,false,vol_1
Jamblique,203,false,vol_1
Jaubert de Barrault (Jean),xxx,false,vol_1
Jay (Le),xxxii,false,vol_1
Jehaias (rabbi David),"92, 103, 388, 391, 522",false,vol_1
Jephtha,6,false,vol_1
Jeroboam (St),"52, 92, 103, 388, 394, 522, 626, 627, 631",false,vol_1
Jérôme (St),"52, 92, 103, 388, 394, 522, 626, 627, 631",false,vol_1
"Jésus (le P. Dominique, de)",xxxiii.,false,vol_1
Imperiali,298.,false,vol_1
Ingoli (Francesco),606.,false,vol_1
Job,7.,false,vol_1
Jodelle,96.,false,vol_1
Jonathas,"2, 3, 5, 8, 9, 10, 11, 15, 19, 20.",false,vol_1
Josaphat,490.,false,vol_1
Josèphe (Flavius),"5, 41, 121.",false,vol_1
Jouyse (David),"222, 324.",false,vol_1
Jouyse (Jean),324.,false,vol_1
"Joyeuse (Anne, duc de)",79.,false,vol_1
Irson (Claude),620.,false,vol_1
