letter_number,letter_name,page_number,volume
1.,"Claude Bredeau à Mersenne, 24 octobre 1617",1,vol_1
2.,"Mersenne au P. Claude Rangueil, automne de 1617",8,vol_1
3.,"Naquert à Mersenne, automne de 1617",14,vol_1
4.,"A(rnauld) Bernard à Mersenne, automne de 1617?",18,vol_1
5.,"Claude Bredeau à Mersenne, 24 novembre 1617",31,vol_1
6.,"Le P. Jacques Saint-Remy à Mersenne, 3 octobre 1619",40,vol_1
7.,"Claude Bredeau à Mersenne, 31 décembre 1619",46,vol_1
8.,"Guillaume Bredeau à Mersenne, 17 août 1621",57,vol_1
9.,"Claude Bredeau à Mersenne, 21 octobre 1621",66,vol_1
10.,"Jean Titelouze à Mersenne, 2 mars 1622",72,vol_1
11.,"Claude Bredeau à Mersenne, 9 février-25 mars 1622",84,vol_1
12.,"Claude Bredeau à Mersenne, 10 juillet 1622",108,vol_1
13.,"Jean Titelouze à Mersenne, 9 août 1622",113,vol_1
14.,"Claude Bredeau à Mersenne, 2 novembre 1622",119,vol_1
15.,"Mersenne à Jean-François de Gondy, janvier 1623",124,vol_1
16.,"Mersenne à Jacques Hallé, janvier 1623",139,vol_1
17.,"Claude Bredeau à Mersenne, 23 février 1623",143,vol_1
18.,"Claude Bredeau à Mersenne, 17 octobre 1623",150,vol_1
19.,"Mersenne à Richelieu, 8 juin 1624",156,vol_1
20.,"Mersenne à Mathieu Molé, 9 juillet 1624",163,vol_1
21.,..... à Mersenne (été de 1624?),169,vol_1
22.,"Claude Bredeau à Mersenne, 10 septembre 1624",173,vol_1
23.,"Le P. Tommaso Campanella à Mersenne, 24 octobre 1624",177,vol_1
24.,"Claude Bredeau à Mersenne, 24 octobre 1624",181,vol_1
25.,"Claude Bredeau à Mersenne, 14 décembre 1624",185,vol_1
26.,"Claude Bredeau à Mersenne, 30 janvier 1625",189,vol_1
27.,"Le P. Jean Chastelier à Mersenne, 12 avril 1625",197,vol_1
28.,Mersenne au P. Denis Petau (1625?),208,vol_1
29.,"Claude Bredeau à Mersenne, 16 mai 1625",215,vol_1
30.,Jacques Gaffarel contre Mersenne (printemps de 1625),224,vol_1
31.,"Nicolas-Claude Fabri de Peiresc à son frère, 10 juillet 1625",235,vol_1
32.,"(Robert) Cornier à Mersenne, 27 juillet 1625",241,vol_1
33.,"Mersenne à Gaston d'Orléans, 1er août 1625",251,vol_1
34.,René Descartes à Mersenne (?) (été de 1625),256,vol_1
35.,(Robert) Cornier à Mersenne (18 août) 1625,260,vol_1
36.,Claude Mydorge à ..... (1625),269,vol_1
37.,"Henry de Stanhurst à Mersenne, septembre 1625",274,vol_1
38.,"(Robert) Cornier à Mersenne, 21 septembre 1625",289,vol_1
39.,"Mersenne à Nicolas-Claude Fabri de Peiresc, 13 novembre 1625",303,vol_1
40.,"(Robert) Cornier à Mersenne, 23 novembre 1625",308,vol_1
41.,"Claude Bredeau à Mersenne, 12 décembre 1625",316,vol_1
42.,"..... Lefebvre à Mersenne, 14 décembre 1625",321,vol_1
43.,"(Robert) Cornier à Mersenne, 16 janvier 1626",327,vol_1
44.,..... à Mersenne (janvier 1626),337,vol_1
45.,"(Robert) Cornier à Mersenne, 27 janvier 1626",350,vol_1
46.,"Nicolas-Claude Fabri de Peiresc à son frère, 28 janvier 1626",359,vol_1
47.,Le Fr. Jean François à Mersenne (fin de janvier 1626),360,vol_1
48.,Le Fr. Jean François à Mersenne (fin de janvier 1626),369,vol_1
49.,"Philippe Fortin de la Hoguette à Pierre Dupuy, 9 février 1626",379,vol_1
50.,"Claude Bredeau à Mersenne, 23 février 1626",380,vol_1
51.,(René Descartes) à Mersenne (fin de février 1626),401,vol_1
52.,Claude Mydorge à (Mersenne) (février-mars 1626?),404,vol_1
53.,"(Robert) Cornier à Mersenne, 16 mars 1626",416,vol_1
54.,"(Robert) Cornier à Mersenne, 22 mars 1626",427,vol_1
55.,Jean-Baptiste Doni à Mersenne (mars ou avril 1626),437,vol_1
56.,"Le Fr. Jean François à Mersenne, 5 avril 1626",440,vol_1
57.,"Le Fr. Jean François à Mersenne, 10 avril 1626",448,vol_1
58.,Mersenne au P. Simon Bachelier (avril) 1626,456,vol_1
59.,Mersenne à Henri de Refuge (avril) 1626,459,vol_1
60.,Mersenne au P. François de la Noue (avril) 1626,462,vol_1
61.,"Sixten Amama à André Rivet juin, 1626",475,vol_1
62.,"Le P. Jean Chastelier à Mersenne, 11 juillet 1626",478,vol_1
63.,"Claude Bredeau à Mersenne, 19 juillet 1626",482,vol_1
64.,"(Robert) Cornier à Mersenne, 1er septembre 1626?",485,vol_1
65.,"Claude Bredeau à Mersenne, 15 septembre 1626",495,vol_1
66.,"Sixten Amama à André Rivet, 6 octobre 1626",506,vol_1
67.,"..... Faure à Mersenne, 19 décembre 1626",507,vol_1
68.,"Le Fr. Jean François à Mersenne, 7 janvier 1627",510,vol_1
69.,"Pierre Leloyer à Mersenne, 13 février 1627",517,vol_1
70.,"Sixten Amama à Mersenne, 2 mars 1627",525,vol_1
71.,"Le Fr. Jean François à Mersenne, 4 avril 1627",537,vol_1
72.,Mersenne à Henri de Refuge (printemps de 1627),542,vol_1
72 bis.,"André Rivet à Sixten Amama, 5 juillet 1627",549,vol_1
73.,"Claude Bredeau à Mersenne, 5 août 1627",550,vol_1
74.,"Pierre Leloyer à Mersenne, 23 août 1627",557,vol_1
75.,"Claude Bredeau à Mersenne, 31 août 1627",562,vol_1
