edition_id,category,accepted_value,previous_value,reason,review_status,review_notes
Alcala_1637,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Amsterdam_1626,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Amsterdam_1634,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Amsterdam_1702,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Ansbach_1610,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Augsburg_1555,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Basel_1562,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Beijing_1629,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Bologna_1651,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Bologna_1651a,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Brussels_1688,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Brussels_1701,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Cambridge_1655,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Cambridge_1703,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Cologne_1580,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Ferrara_1628,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Frankfurt_1607,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Frankfurt_1674,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Geneva_1611,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Hamburg_1633,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Hamburg_1638,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Kiel_Hamburg_and_Leipzig_1697,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Kiel_and_Leipzig_1699,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Lausanne_1683,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Leiden_1617,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Leiden_1691,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Leipzig_1577,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
London_1570,Theoretical Mathematics,primary,unknown,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
London_1651,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
London_1685a,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
London_1686,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
London_1703,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
