category,primary,secondary,related_total,unknown,unrelated,total,related_pct,unknown_pct
Arithmetic,97,28,125,6,561,692,18.1,0.9
Commercial Mathematics,19,4,23,12,657,692,3.3,1.7
Military Engineering,28,9,37,5,650,692,5.3,0.7
Construction,15,13,28,4,660,692,4.0,0.6
Practical Geometry,102,37,139,51,502,692,20.1,7.4
Surveying,31,15,46,17,629,692,6.6,2.5
Perspective,57,3,60,5,627,692,8.7,0.7
Cartography,6,1,7,3,682,692,1.0,0.4
Architecture,18,15,33,3,656,692,4.8,0.4
Gnomonics & Horology,16,5,21,3,668,692,3.0,0.4
Astronomy,56,22,78,11,603,692,11.3,1.6
Cosmography,11,7,18,6,668,692,2.6,0.9
Geography,15,11,26,6,660,692,3.8,0.9
Instrument Construction,12,8,20,11,661,692,2.9,1.6
Instrument Use,42,28,70,11,611,692,10.1,1.6
Mechanics,21,15,36,2,654,692,5.2,0.3
Theoretical Mathematics,263,29,292,34,366,692,42.2,4.9
Navigation,6,10,16,9,667,692,2.3,1.3
Music Theory,14,5,19,11,662,692,2.7,1.6
Trigonometry,38,10,48,21,623,692,6.9,3.0
