review_sample,sample_order,priority,queue_type,edition_id,category,current_value,suggested_review_focus,queue_reason,year,city,language,short_title,title_or_short_title,elements_books,additional_content,wardhaugh_classification,related_categories,unknown_categories,classification_profile,review_decision,corrected_value,apply_to_reprints,review_notes
yes,1,1,unknown,bib-171,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1515,Augsburg,LATIN,,"Opera Ioannis Fernelii Augn.
hæc in se habent.

Quadratum sapientiæ: continens in se septem
artes liberales veterum.
Circulos biblic. iiii. in quibus metaphysica
mosaica.
Commentaria horum.
Ad hœc / libri rubrica inferius
signati: necessarii sunt.

Grammatica
Logica
Rhetorica
Monastica
Oeconomic
Politica
Alcarithmus subalternus
Arithmetica
Geometria
Perspectiva subalterna
Musica
Astronomia
Geographia
Physica
Medicina subalterna
Metaphysica

don. alex. gua. lasca. Poetc
nouus
boetius
boetius
petr",,,,Arithmetic; Perspective; Astronomy; Geography,Commercial Mathematics; Practical Geometry; Theoretical Mathematics; Music Theory,Arithmetic=primary; Commercial Mathematics=unknown; Practical Geometry=unknown; Perspective=primary; Astronomy=primary; Geography=primary; Theoretical Mathematics=unknown; Music Theory=unknown,reviewed,secondary,,"Mia interactive review batch 1, 2026-06-06."
yes,2,1,unknown,Basel_1562,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1562,Basel,GERMAN,"Die sechs ersten Bücher Euclidis, vom Anfang oder Grund der Geometrie","Die Sechs Erste Bücher Euclidis, Vom anfang oder grund der Geometrj. In welchen der rechte grund, nitt allain der Geometrj (versteh alles kunstlichen, gwisen, vnd vortailigen gebrauchs des Zirckels, Linials oder Richtscheittes vnd andrer werckzeüge, so zü allerlaj abmessen dienstlich) sonder auch der fürnemsten stuck vnd vortail der Rechenkhunst, furgeschriben vnd dargethon ist. Auß Griechischer sprach in die Teütsch gebracht, aigenttlich erklärt, Auch mit verstentlichen Exempeln, gründlichen Fi",1-6,,ZAMBERTI/GRYNAEUS (THEON),Arithmetic,Practical Geometry,Arithmetic=secondary; Practical Geometry=unknown,reviewed,secondary,,"Mia interactive review batch 1, 2026-06-06."
yes,3,1,unknown,JT4H92,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1611,London,ENGLISH,"The first booke of architecture, made by Sebastian Serly, entreating of geometrie. Translated out of Italian into Dutch, and out of Dutch into English.","
The first Booke
of Architecture, made
by Sebastian Serly, entrea-
ting of Geometrie.

Translated out of Italian into
Dutch, and out of Dutch
into English.",,,,Architecture,Practical Geometry; Theoretical Mathematics,Practical Geometry=unknown; Architecture=primary; Theoretical Mathematics=unknown,reviewed,secondary,,"Mia interactive review batch 1, 2026-06-06."
yes,4,1,unknown,MorisS-16-4,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1619,Paris,FRENCH,,"CANON
MANVEL
DES SINVS,
TOVCHANTES,
ET COVPPANTES.

Supputé par B. Pitiscus, & corrigé
en ceste Edition, en laquelle sont
adioustées toutes les choses prin-
cipales & nécessaires à la Trigo-
nometrie, extraites des traictez de
la doctrine des triangles, tant recti-
lignes, que spheriques, faits

Par D. HENRION, Mathem.",,,,Theoretical Mathematics; Trigonometry,Practical Geometry; Surveying; Astronomy; Instrument Use; Navigation,Practical Geometry=unknown; Surveying=unknown; Astronomy=unknown; Instrument Use=unknown; Theoretical Mathematics=secondary; Navigation=unknown; Trigonometry=primary,reviewed,primary,,"Mia interactive review batch 1, 2026-06-06."
yes,5,1,unknown,bib-268,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1625,Amsterdam,FRENCH,"Opera matematica, ou oeuures mathematiques, traictans de geometrie, perspective, architecture et fortification Ausquels sont aioints les fondaments de la perspective & architecture","Opera matematica, ou oeuures mathematiques, traictans de geometrie, perspective, architecture et fortification Ausquels sont aioints les fondaments de la perspective & architecture ...",,,,Military Engineering; Perspective; Architecture,Practical Geometry; Theoretical Mathematics,Military Engineering=primary; Practical Geometry=unknown; Perspective=primary; Architecture=primary; Theoretical Mathematics=unknown,reviewed,primary,,"Mia interactive review batch 1, 2026-06-06."
yes,6,1,unknown,4C287U,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1626,The Hague,FRENCH,"Tables des sinus, tangentes & secantes, selon le raid de 100000 parties. Avec un traicté succinct de la trigonometrie tant des triangles plans, que spheriques. Où sont plusieurs operations nouvelles","TABLES
DES SINVS
TANGENTES & SECAN-
TES, SELON LE RAID
DE 100000 PARTIES.

Avec un traité succinct de la Tri-
gonometrie tant des triangles
plans, que Spheriques.

Où sont plusieurs operations nouvelles, non
auparavant mises en lumiere, tres-utiles &
necessaires, non seulement aux apprentis;
mais aussi aux plus doctes praticiens
des Mathematiques.

Par
ALBERT GIRARD, Samielois.",,,,Trigonometry,Practical Geometry,Practical Geometry=unknown; Trigonometry=primary,reviewed,unknown,,"Mia interactive review batch 2, 2026-06-06: keep unknown."
yes,7,1,unknown,ustc-23,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1626,Paris,FRENCH,"Logocanon, ou Règle proportionnelle sur laquelle sont appliquées plusieurs lignes et figures... en faveur de ceux qui se délectent en la practique des divines mathématiques, par D. Henrion","LOGOCANON
		OV
REGLE PROPORTIONELLE:
		         SVR
Laquelle ſont appliquéees plusieurs lignes & figures,
diuiſées ſelon diuerſes proportions & meſures,
en faueur de ceux qui ſe deſlectent en la pra-
etique des diuiines Mathematiques.
		         Par D. HENRION, Mathematicien.",,,,Theoretical Mathematics,Practical Geometry,Practical Geometry=unknown; Theoretical Mathematics=primary,reviewed,unknown,,"Mia interactive review batch 2, 2026-06-06: keep unknown."
yes,8,1,unknown,WOQG2Q,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1627,Amsterdam,FRENCH,Fortification ou architecture militaire,"FORTIFICATION
ou
ARCHITECTVRE MILITAIRE
tant offensive que defensive.
Supputée et desseignée
par
SAMVEL MAROLOIS.

Reueüe Augmentée et Corrigée
par
ALBERT GIRARD
Mathematicien.",,,,Military Engineering; Architecture,Practical Geometry; Surveying; Trigonometry,Military Engineering=primary; Practical Geometry=unknown; Surveying=unknown; Architecture=primary; Trigonometry=unknown,reviewed,unknown,,"Mia interactive review batch 2, 2026-06-06: keep unknown."
yes,9,1,unknown,bib-130,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1627,Frankfurt,LATIN,,"PETRI RAMI
VEROMANDUI
PHILOSOPHI CELEBER-
RIMI, ELOQUENTIAE ET MATHE-
MATICARUM DISCIPLINARUM
Professoris Regii
ARITHMETICAE LIBRI DUO
ET
GEOMETRIAE SEPTEM ET VIGINTI.

Dudum quidem à LAZARO SCHONERO recogniti & aucti,
nunc vero in postrema hac editione in numeris
locis emendati & locupletati.",,,,Arithmetic,Practical Geometry; Theoretical Mathematics,Arithmetic=primary; Practical Geometry=unknown; Theoretical Mathematics=unknown,reviewed,unknown,,"Mia interactive review batch 2, 2026-06-06: keep unknown."
yes,10,1,unknown,bib-70,Practical Geometry,unknown,"decide whether geometry is applied/practical, not merely Euclidean/theoretical",model returned unknown,1628,Lyon,FRENCH,,"FORTIFICATIONS
DV CHEVALIER
ANTOINE DE VILLE,

CONTENANS
LA MANIERE DE FORTIFIER TOVTE SORTE DE PLACES
tant regulierement, qu’irregulierement en quelle assiete qu’elles soient; comme
aussi les Ponts, passages, entrées de rivières, Ports de mer: La construction de
toutes sortes de Forts & Citadelles; le moyen facile de tracer sur le terrain. Le tout
à la moderne, comme il se pratique dans les meilleures Places de l’Europe, de
monstré & calculé par les Sinus & Logarithmes.

AVEC L’ATTAQVE, ET LES ",,,,Military Engineering; Construction; Trigonometry,Practical Geometry; Surveying,Military Engineering=primary; Construction=primary; Practical Geometry=unknown; Surveying=unknown; Trigonometry=secondary,reviewed,unknown,,"Mia interactive review batch 2, 2026-06-06: keep unknown."
