reprint_key,canonical_key,cluster_key,canonical_year,reprint_year,canonical_already_classified
Rome_1679,Pisa_1658,157A7B,1658,1679,no
Basel_1558,Basel_1537,1A8E75,1537,1558,no
Venice_1565,Venice_1543,1E9FSI,1543,1565,no
CCS7QJ,HFRLRC,23A31F,1623,1647,no
DN10G5,C8SLYQ,24A2B4,1531,1546,yes
Venice_1510,Venice_1505,253787,1505,1510,no
WFWXP4,HFRLRC,298FCC,1623,1647,no
Paris_1613,Paris_1610,2E80DC,1610,1613,no
Bologna_1629,Ingolstadt_1617,31AD31,1617,1629,no
Venice_1585,Venice_1565,33F276,1565,1585,no
HZ5UVJ,Naples_1810,3800A6,1810,1814,no
Paris_1631,Paris_1615,3A47AD,1615,1631,no
Paris_1621,Paris_1615,3EC771,1615,1621,no
L8FLF5,EFXRG3,41B7F3,1631,1633,no
Basel_1546,Basel_1537,488235,1537,1546,no
Paris_1551,Paris_1544,48FFCA,1544,1551,no
QIG1E3,Halle_1758,5060D5,1773,1781,no
Paris_1544,Paris_1536,511DB1,1536,1544,no
Paris_1558a,Paris_1549,516BE0,1549,1558,no
ustc-1,ustc-15,53VCU6,1630,1640,no
ustc-30,ustc-15,53VCU6,1630,1640,no
Geneva_1610,Lyon_1557,541676,1557,1610,no
KVSFF1,Paris_1794,573CB8,1794,1799,no
bib-22,bib-155,5BXTFG,1503,1504,yes
7UMG6X,bib-155,5F9F7B,1503,1508,yes
Paris_1565a,Paris_1565,63B0F2,1565,1565,no
London_1685,London_1678,677374,1678,1685,no
NTML0S,MYFHIS,6A2A3B,1584,1600,yes
56DVN2,Halle_1758,6D0814,1773,1818,no
Wittenberg_1634,Wittenberg_1609,6E7B7F,1609,1634,no
Cologne_1587,Cologne_1580,6TZUKK,1580,1587,no
Venice_1586,Venice_1565,725DB7,1565,1586,no
Cologne_1564,Paris_1557,7908FD,1557,1564,no
T3UM3R,GGD02E,7918A9,1596,1625,yes
Beijing_1611,Beijing_1607,7BZII3,1607,1611,no
Paris_1531,Paris_1527,9ZQKIV,1527,1531,no
Paris_1534,Paris_1527,9ZQKIV,1527,1534,no
Innsbruck_1636,Innsbruck_1634,A6ANJ3,1634,1636,no
bib-56,bib-55,ATEUPU,1652,1663,no
RH6KEE,1QQS64,BJ5A61,1618,1618,no
The_Hague_1683,Paris_1667,DI1HUP,1667,1683,no
Pesaro_1619a,Urbino_1575,E87DB8,1575,1619,no
bib-21,bib-129,FOT0ZG,1569,1569,no
Leiden_1692,Leiden_1691,IJTAW0,1691,1692,no
4TJF1A,E7J0Y4,IUOBOR,1556,1557,no
Paris_1598,Paris_1573,JG2OCV,1573,1598,no
bib-47,bib-46,JWV81O,1555,1561,yes
7Y5IWJ,ZNLALU,KNYEAK,1560,1582,no
D7OWCD,ZNLALU,KNYEAK,1560,1561,no
London_1687,London_1678,LKF40C,1678,1687,no
Paris_1644a,Paris_1643b,MBTNS7,1643,1644,no
bib-201,bib-119,MWEUI5,1646,1646,no
X5YBIB,LYNX18,NMAV1L,1585,1586,no
London_1678a,London_1666,NU4ARY,1666,1678,no
Utrecht_1647,Rotterdam_1647,PEFQCG,1647,1647,no
ustc-61,Paris_1615,R1Q2YT,1615,1621,no
ustc-62,Paris_1615,R1Q2YT,1615,1621,no
bib-118,bib-117,RDE28F,1630,1638,no
bib-4,bib-3,ROG81T,1562,1564,no
Paris_1602,Cologne_1602,RRMFS9,1602,1602,no
ustc-8,ustc-43,S9P7Q7,1605,1605,no
ustc-51,ustc-11,SD0LIA,1624,1624,no
0CKY65,L8R7FQ,SD2Y3X,1556,1557,yes
OM1R2Y,6AMYTJ,T5RNN2,1557,1558,yes
Oxford_1705,F2WVY3,TLOW8P,1705,1705,no
Douai_1633,Douai_1625,U0105U,1625,1633,no
ustc-22,ustc-16,V7DASV,1604,1605,yes
Geneva_1628,Geneva_1611,XE7Q8U,1611,1628,no
Rome_1589,Rome_1574,Y63G5P,1574,1589,no
