Page/Key,language,year,city,Classification,Orig_Value,llm_Value_1,llm_Value_3,llm_Value_4,llm_Value_6
0NKS71,FRENCH,1568,Paris,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Arithmetic,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Astronomy,unrelated,secondary,unknown,secondary,secondary
0NKS71,FRENCH,1568,Paris,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Construction,unrelated,unrelated,unrelated,secondary,unrelated
0NKS71,FRENCH,1568,Paris,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Gnomonics & Horology,primary,primary,primary,primary,primary
0NKS71,FRENCH,1568,Paris,Instrument Construction,unrelated,primary,secondary,primary,secondary
0NKS71,FRENCH,1568,Paris,Instrument Use,unrelated,secondary,secondary,secondary,secondary
0NKS71,FRENCH,1568,Paris,Mechanics,unrelated,unrelated,secondary,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Practical Geometry,unrelated,unknown,unrelated,secondary,secondary
0NKS71,FRENCH,1568,Paris,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Theoretical Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Trigonometry,unrelated,unknown,unrelated,unrelated,secondary
144JC3,ITALIAN,1586,Ferrara,Architecture,unrelated,unknown,unknown,unrelated,unknown
144JC3,ITALIAN,1586,Ferrara,Arithmetic,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Astronomy,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Cartography,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Commercial Mathematics,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Construction,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Cosmography,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Geography,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Gnomonics & Horology,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Instrument Construction,unrelated,unknown,unknown,unrelated,unknown
144JC3,ITALIAN,1586,Ferrara,Instrument Use,unrelated,unknown,unknown,unrelated,unknown
144JC3,ITALIAN,1586,Ferrara,Mechanics,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Military Engineering,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Music Theory,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Navigation,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Perspective,unrelated,unknown,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Practical Geometry,unrelated,unknown,unknown,unknown,secondary
144JC3,ITALIAN,1586,Ferrara,Surveying,unrelated,unknown,unknown,unrelated,unknown
144JC3,ITALIAN,1586,Ferrara,Theoretical Mathematics,primary,primary,primary,primary,primary
144JC3,ITALIAN,1586,Ferrara,Trigonometry,unrelated,unknown,unknown,unknown,unknown
1496,LATIN,1496,,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Arithmetic,primary,primary,primary,primary,primary
1496,LATIN,1496,,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Music Theory,primary,primary,primary,primary,primary
1496,LATIN,1496,,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Practical Geometry,unrelated,unrelated,unknown,unrelated,unrelated
1496,LATIN,1496,,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Theoretical Mathematics,unrelated,unknown,secondary,secondary,unrelated
1496,LATIN,1496,,Trigonometry,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Architecture,primary,secondary,secondary,primary,unknown
2BRI1Z,ENGLISH,1598,Oxford,Arithmetic,unrelated,unrelated,unrelated,unrelated,unknown
2BRI1Z,ENGLISH,1598,Oxford,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Construction,primary,primary,primary,primary,primary
2BRI1Z,ENGLISH,1598,Oxford,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Mechanics,unrelated,unrelated,unrelated,unrelated,unknown
2BRI1Z,ENGLISH,1598,Oxford,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Perspective,primary,secondary,secondary,primary,primary
2BRI1Z,ENGLISH,1598,Oxford,Practical Geometry,secondary,secondary,primary,secondary,unknown
2BRI1Z,ENGLISH,1598,Oxford,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Theoretical Mathematics,unrelated,unrelated,unrelated,unrelated,unknown
2BRI1Z,ENGLISH,1598,Oxford,Trigonometry,unrelated,unrelated,unknown,unknown,unknown
2I9HSY,FRENCH,1560,Paris,Architecture,unrelated,secondary,secondary,unknown,unknown
2I9HSY,FRENCH,1560,Paris,Arithmetic,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Perspective,primary,primary,primary,primary,primary
2I9HSY,FRENCH,1560,Paris,Practical Geometry,unrelated,secondary,primary,unknown,unknown
2I9HSY,FRENCH,1560,Paris,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Theoretical Mathematics,unrelated,secondary,secondary,unrelated,unknown
2I9HSY,FRENCH,1560,Paris,Trigonometry,unrelated,secondary,unknown,unrelated,unknown
4TJF1A,FRENCH,1557,Paris,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Arithmetic,primary,primary,primary,primary,primary
4TJF1A,FRENCH,1557,Paris,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Practical Geometry,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Theoretical Mathematics,unrelated,secondary,secondary,primary,secondary
4TJF1A,FRENCH,1557,Paris,Trigonometry,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Arithmetic,primary,primary,primary,primary,primary
5J1UUA,FRENCH,1573,Paris,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Practical Geometry,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
5J1UUA,FRENCH,1573,Paris,Theoretical Mathematics,unrelated,unrelated,secondary,unknown,unrelated
5J1UUA,FRENCH,1573,Paris,Trigonometry,unrelated,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Architecture,,primary,primary,primary,primary
5KCP5R,DUTCH,1553,Antwerp,Arithmetic,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Astronomy,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Cartography,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Commercial Mathematics,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Construction,,secondary,secondary,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Cosmography,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Geography,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Gnomonics & Horology,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Instrument Construction,,unrelated,unrelated,unrelated,unknown
5KCP5R,DUTCH,1553,Antwerp,Instrument Use,,unrelated,unrelated,unrelated,unknown
5KCP5R,DUTCH,1553,Antwerp,Mechanics,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Military Engineering,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Music Theory,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Navigation,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Perspective,,primary,primary,primary,primary
5KCP5R,DUTCH,1553,Antwerp,Practical Geometry,,secondary,secondary,secondary,secondary
5KCP5R,DUTCH,1553,Antwerp,Surveying,,unrelated,unrelated,unrelated,unrelated
5KCP5R,DUTCH,1553,Antwerp,Theoretical Mathematics,,unrelated,secondary,unrelated,secondary
5KCP5R,DUTCH,1553,Antwerp,Trigonometry,,secondary,secondary,unrelated,unknown
5V691B,LATIN,1583,Basel,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Arithmetic,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Practical Geometry,primary,secondary,secondary,secondary,unrelated
5V691B,LATIN,1583,Basel,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
5V691B,LATIN,1583,Basel,Theoretical Mathematics,unrelated,primary,primary,primary,primary
5V691B,LATIN,1583,Basel,Trigonometry,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Architecture,unrelated,secondary,secondary,secondary,unrelated
612FNN,ITALIAN,1583,Rome,Arithmetic,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Construction,unrelated,unrelated,unrelated,secondary,unrelated
612FNN,ITALIAN,1583,Rome,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Instrument Use,unrelated,unknown,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Perspective,primary,primary,primary,primary,primary
612FNN,ITALIAN,1583,Rome,Practical Geometry,unrelated,primary,secondary,primary,unknown
612FNN,ITALIAN,1583,Rome,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
612FNN,ITALIAN,1583,Rome,Theoretical Mathematics,unrelated,secondary,unrelated,unrelated,unknown
612FNN,ITALIAN,1583,Rome,Trigonometry,unrelated,secondary,unknown,unknown,unknown
6AMYTJ,FRENCH,1557,Paris,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Arithmetic,primary,primary,primary,primary,primary
6AMYTJ,FRENCH,1557,Paris,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Commercial Mathematics,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Practical Geometry,unrelated,unrelated,unknown,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Surveying,unrelated,unrelated,unrelated,unrelated,unrelated
6AMYTJ,FRENCH,1557,Paris,Theoretical Mathematics,unrelated,secondary,primary,primary,secondary
6AMYTJ,FRENCH,1557,Paris,Trigonometry,unrelated,unrelated,unknown,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Architecture,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Arithmetic,primary,primary,primary,primary,primary
6PMNRZ,LATIN,1526,Paris,Astronomy,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Cartography,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Commercial Mathematics,primary,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Construction,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Cosmography,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Geography,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Gnomonics & Horology,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Instrument Construction,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Instrument Use,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Mechanics,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Military Engineering,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Music Theory,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Navigation,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Perspective,unrelated,unrelated,unrelated,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Practical Geometry,unrelated,unrelated,unknown,unrelated,unrelated
6PMNRZ,LATIN,1526,Paris,Surveying,unrelated,unrelated,unknown,unrelated,unrelated
