scope_type,scope_value,prompt,manual_rows,exact,covered_exact,unknown,related_precision,related_recall,true_related,false_related,missed_related,unknown_when_related
overall,all,llm_Value_1,2840,76.7%,86.4%,11.2%,41.7%,88.3%,211,295,15,13
overall,all,llm_Value_3,2840,75.2%,85.0%,11.4%,39.2%,89.1%,213,330,16,10
overall,all,llm_Value_4,2840,77.7%,86.0%,9.6%,40.2%,89.1%,213,317,12,14
language,FRENCH,llm_Value_1,860,80.7%,90.2%,10.6%,43.2%,96.4%,54,71,1,1
language,FRENCH,llm_Value_3,860,77.7%,88.7%,12.4%,39.8%,94.6%,53,80,2,1
language,FRENCH,llm_Value_4,860,76.5%,88.8%,13.8%,41.0%,98.2%,55,79,1,0
language,ITALIAN,llm_Value_1,460,73.7%,83.5%,11.7%,41.0%,91.1%,41,59,3,1
language,ITALIAN,llm_Value_3,460,71.3%,82.0%,13.0%,39.3%,93.3%,42,65,2,1
language,ITALIAN,llm_Value_4,460,80.9%,83.6%,3.3%,40.6%,95.6%,43,63,2,0
language,LATIN,llm_Value_1,900,74.2%,86.1%,13.8%,39.5%,77.3%,58,89,7,10
language,LATIN,llm_Value_3,900,70.1%,82.4%,14.9%,35.6%,84.0%,63,114,6,6
language,LATIN,llm_Value_4,900,74.2%,85.4%,13.1%,37.5%,76.0%,57,95,5,13
language,ENGLISH,llm_Value_1,180,83.9%,85.3%,1.7%,45.7%,88.9%,16,19,2,0
language,ENGLISH,llm_Value_3,180,86.1%,86.6%,0.6%,48.5%,88.9%,16,17,2,0
language,ENGLISH,llm_Value_4,180,81.7%,84.0%,2.8%,40.0%,88.9%,16,24,2,0
language,DUTCH,llm_Value_1,120,78.3%,82.5%,5.0%,44.8%,92.9%,13,16,1,0
language,DUTCH,llm_Value_3,120,82.5%,84.6%,2.5%,40.7%,78.6%,11,16,1,2
language,DUTCH,llm_Value_4,120,83.3%,87.0%,4.2%,52.2%,85.7%,12,11,2,0
language,GERMAN,llm_Value_1,260,75.4%,83.1%,9.2%,36.2%,91.3%,21,37,1,1
language,GERMAN,llm_Value_3,260,80.8%,85.0%,5.0%,37.7%,87.0%,20,33,3,0
language,GERMAN,llm_Value_4,260,81.5%,83.1%,1.9%,35.4%,100.0%,23,42,0,0
language,"LATIN, FRENCH",llm_Value_1,20,80.0%,94.1%,15.0%,50.0%,100.0%,1,1,0,0
language,"LATIN, FRENCH",llm_Value_3,20,95.0%,100.0%,5.0%,100.0%,100.0%,1,0,0,0
language,"LATIN, FRENCH",llm_Value_4,20,95.0%,95.0%,0.0%,50.0%,100.0%,1,1,0,0
language,SPANISH,llm_Value_1,40,52.5%,80.8%,35.0%,70.0%,100.0%,7,3,0,0
language,SPANISH,llm_Value_3,40,67.5%,79.4%,15.0%,58.3%,100.0%,7,5,0,0
language,SPANISH,llm_Value_4,40,75.0%,90.9%,17.5%,75.0%,85.7%,6,2,0,1
classification,Architecture,llm_Value_1,142,72.5%,80.5%,9.9%,29.4%,100.0%,10,24,0,0
classification,Architecture,llm_Value_3,142,77.5%,85.3%,9.2%,35.7%,100.0%,10,18,0,0
classification,Architecture,llm_Value_4,142,77.5%,84.0%,7.7%,32.3%,100.0%,10,21,0,0
classification,Arithmetic,llm_Value_1,142,73.9%,82.7%,10.6%,67.2%,100.0%,43,21,0,0
classification,Arithmetic,llm_Value_3,142,66.9%,76.6%,12.7%,60.0%,97.7%,42,28,0,1
classification,Arithmetic,llm_Value_4,142,66.9%,76.6%,12.7%,60.6%,100.0%,43,28,0,0
classification,Astronomy,llm_Value_1,142,84.5%,93.0%,9.2%,55.6%,90.9%,10,8,0,1
classification,Astronomy,llm_Value_3,142,80.3%,90.5%,11.3%,52.4%,100.0%,11,10,0,0
classification,Astronomy,llm_Value_4,142,82.4%,90.0%,8.5%,45.0%,81.8%,9,11,0,2
classification,Cartography,llm_Value_1,142,86.6%,96.1%,9.9%,42.9%,75.0%,3,4,0,1
classification,Cartography,llm_Value_3,142,85.9%,93.8%,8.5%,40.0%,100.0%,4,6,0,0
classification,Cartography,llm_Value_4,142,89.4%,95.5%,6.3%,37.5%,75.0%,3,5,0,1
classification,Commercial Mathematics,llm_Value_1,142,83.1%,88.1%,5.6%,21.4%,42.9%,3,11,3,1
classification,Commercial Mathematics,llm_Value_3,142,82.4%,88.0%,6.3%,8.3%,14.3%,1,11,5,1
classification,Commercial Mathematics,llm_Value_4,142,83.8%,87.5%,4.2%,18.8%,42.9%,3,13,4,0
classification,Construction,llm_Value_1,142,75.4%,83.6%,9.9%,29.2%,100.0%,7,17,0,0
classification,Construction,llm_Value_3,142,76.8%,83.8%,8.5%,28.0%,100.0%,7,18,0,0
classification,Construction,llm_Value_4,142,71.8%,76.7%,6.3%,20.6%,100.0%,7,27,0,0
classification,Cosmography,llm_Value_1,142,89.4%,98.4%,9.2%,71.4%,100.0%,5,2,0,0
classification,Cosmography,llm_Value_3,142,84.5%,93.8%,9.9%,38.5%,100.0%,5,8,0,0
classification,Cosmography,llm_Value_4,142,90.1%,97.0%,7.0%,55.6%,100.0%,5,4,0,0
classification,Geography,llm_Value_1,142,81.0%,88.5%,8.5%,18.8%,50.0%,3,13,2,1
classification,Geography,llm_Value_3,142,80.3%,87.7%,8.5%,22.2%,66.7%,4,14,2,0
classification,Geography,llm_Value_4,142,85.2%,89.6%,4.9%,25.0%,66.7%,4,12,1,1
classification,Gnomonics & Horology,llm_Value_1,142,92.3%,97.8%,5.6%,71.4%,83.3%,5,2,1,0
classification,Gnomonics & Horology,llm_Value_3,142,88.0%,97.7%,9.9%,66.7%,100.0%,6,3,0,0
