review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,final_candidate,working_final_value,decision_tier,needs_human_review,review_priority,recommendation_rule,recommendation_support,decision_reason,current_db_value,current_source_revision,current_revision_name,mapped_to_db_feature,is_v6_revision,current_exact_working_final,current_unordered_comma_match,current_missing
R0001,Alcala_1637,"DUTCH, LATIN",Adapter Attribution,LVIS CARDVCHI,LVIS CARDVCHI,LVIS CARDVCHI,LVIS CARDVCHI,LVIS CARDVCHI,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,LVIS CARDVCHI,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6,1,1,1,1,0
R0003,Alcala_1637,"DUTCH, LATIN",Adapter Description,Mathematico de su Magestad,Mathematico de su Magestad,Mathematico de su Magestad,Mathematico de su Magestad,Mathematico de su Magestad,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,Mathematico de su Magestad,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6,1,1,1,1,0
R0004,Alcala_1637,"DUTCH, LATIN",Base Content,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES,D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6,1,1,0,0,0
R0005,Alcala_1637,"DUTCH, LATIN",Base Content Description,SVS SEYS PRIMEROS LIBROS,PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS.,SVS SEYS PRIMEROS LIBROS,SVS SEYS PRIMEROS LIBROS,SVS SEYS PRIMEROS LIBROS,A_confirmed,no,0,manual_supported_by_llm,Value_llm5,Manual value is supported by v1 or v5.,"GEOMETRICOS, PRIMEROS LIBROS",7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6,1,1,0,0,0
R0006,Alcala_1637,"DUTCH, LATIN",Date in Imprint,1637,AÑO DE 1637,1637,1637,1637,A_confirmed,no,0,manual_supported_by_llm,Value_llm5,Manual value is supported by v1 or v5.,1637,71d1be08-4bb6-47d0-b31b-0c599353e775,v2,1,0,1,1,0
R0008,Alcala_1637,"DUTCH, LATIN",Elements Designation,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,C_llm_agreement_overrides_manual,sample,1,v1_v5_agree_conflicts_with_manual,"Value_llm,Value_llm5","v1 and v5 agree with each other but conflict with manual; use LLM agreement as likely cleanup, but sample-review this assumption.",ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6,1,1,0,0,0
R0009,Alcala_1637,"DUTCH, LATIN",Enriched With,comentado,,,comentado,comentado,B_keep_manual_no_llm,sample,3,manual_only_no_llm_value,Value_orig,Manual value exists and both v1/v5 are empty; keep manual unless sampled review shows this feature is unreliable.,comentado por LVIS CARDVCHI,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6,1,1,0,0,0
R0010,Alcala_1637,"DUTCH, LATIN",Euclid Description,PHILO-SOPHO MEGARENSE,,PHILO-SOPHO MEGARENSE,PHILO-SOPHO MEGARENSE,PHILO-SOPHO MEGARENSE,A_confirmed,no,0,manual_supported_by_llm,Value_llm5,Manual value is supported by v1 or v5.,PHILO-SOPHO MEGARENSE,f8f833bf-6d05-46d6-8468-e2f6fe52f105,v2,1,0,1,1,0
R0011,Alcala_1637,"DUTCH, LATIN",Euclid References,EVCLIDES,EVCLIDES,EVCLIDES,EVCLIDES,EVCLIDES,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,EVCLIDES,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6,1,1,1,1,0
R0013,Alcala_1637,"DUTCH, LATIN",Patronage Dedication,AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG &.,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,E_single_llm_over_manual,yes,2,single_llm_value_conflicts_with_manual,Value_llm,"Only one LLM produced a value and it conflicts with manual; weak evidence, review before trusting at scale.",AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG,7d8fdc01-b3ec-43de-a654-4cba5ffb6a17,v6,1,1,0,0,0
R0014,Alcala_1637,"DUTCH, LATIN",Place in Imprint,ALCALA,EN ALCALA,ALCALA,ALCALA,ALCALA,A_confirmed,no,0,manual_supported_by_llm,Value_llm5,Manual value is supported by v1 or v5.,EN ALCALA,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6,1,1,0,0,0
R0015,Alcala_1637,"DUTCH, LATIN",Publisher in Imprint,ANTONo DVPLASTe,ANTONo DVPLASTe,ANTONo DVPLASTe,ANTONo DVPLASTe,ANTONo DVPLASTe,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,ANTONo DVPLASTe,7d8fdc01-b3ec-43de-a654-4cba5ffb6a12,v6,1,1,1,1,0
R0016,Alcala_1637,"DUTCH, LATIN",Verbs,"Traducido, comentado","Traducido, comentado","Traducido, comentado","Traducido, comentado","Traducido, comentado",A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,"Traducido, comentado",7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6,1,1,1,1,0
R0017,Amsterdam_1616,DUTCH,Adapter Attribution,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,IAN PIETERSZOON DOV,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,IAN PIETERSZOON DOV,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6,1,1,1,1,0
R0019,Amsterdam_1616,DUTCH,Adapter Description,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer,"der stadt Leyden Landtmeter, Wijnroeyer",der stadt Leyden Landtmeter ende Wijnroeyer,der stadt Leyden Landtmeter ende Wijnroeyer,D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,der stadt Leyden Landtmeter ende Wijnroeyer,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6,1,1,1,1,0
R0020,Amsterdam_1616,DUTCH,Base Content,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,"De ses eerste Boucken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie",7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6,1,1,0,0,0
R0021,Amsterdam_1616,DUTCH,Base Content Description,"Van nieus oversien, ende verbetert","Van de beginselen ende fondamenten der Geometrie. Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen. Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, lief
hebbers der selver vryer Conste.","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm5,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen",7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6,1,1,0,0,0
R0023,Amsterdam_1616,DUTCH,Date in Imprint,1616,1616,1616,1616,1616,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,1616,71d1be08-4bb6-47d0-b31b-0c599353e775,v2,1,0,1,1,0
R0024,Amsterdam_1616,DUTCH,Edition Statement,"Van nieus oversien, ende verbetert: Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"Van nieus oversien, ende verbetert",718a7718-22cf-424e-a7f1-84e9cf1071c6,v1,1,0,0,0,0
R0026,Amsterdam_1616,DUTCH,Enriched With,"eenighe nut-ticheden, de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste, de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",E_single_llm_over_manual,yes,2,single_llm_value_conflicts_with_manual,Value_llm,"Only one LLM produced a value and it conflicts with manual; weak evidence, review before trusting at scale.","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur",7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6,1,1,0,0,0
R0027,Amsterdam_1616,DUTCH,Euclid References,EVCLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,EVCLIDIS,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6,1,1,1,1,0
R0028,Amsterdam_1616,DUTCH,Intended Audience,"tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste.","van alle leergierighe, lief
hebbers der selver vryer Conste","alle leergierighe, liefhebbers der selver vryer Conste","van alle leergierighe, lief
hebbers der selver vryer Conste","van alle leergierighe, lief
hebbers der selver vryer Conste",D_prompt_policy_choice,yes,2,preferred_prompt_conflicts_or_no_consensus,Value_llm,v1/v5 disagree or no consensus; candidate comes from the best prompt by feature/language fallback.,"alle leergierighe, lief hebbers der selver vryer Conste",7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6,1,1,0,0,0
R0029,Amsterdam_1616,DUTCH,Place in Imprint,AMSTERDAM,AMSTERDAM,AMSTERDAM,AMSTERDAM,AMSTERDAM,A_confirmed,no,0,manual_supported_by_llm,"Value_llm,Value_llm5",Manual value is supported by v1 or v5.,Amsterdam,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6,1,1,1,1,0
R0030,Amsterdam_1616,DUTCH,Publisher in Imprint,Willem Iansz. op’t Water,Willem Iansz. op’t Water,"Willem Iansz. op’t Water, in de vergulde Sonnewijser",Willem Iansz. op’t Water,Willem Iansz. op’t Water,A_confirmed,no,0,manual_supported_by_llm,Value_llm,Manual value is supported by v1 or v5.,"Willem Iansz. op’t Water, in de vergulde Sonnewijser",7d8fdc01-b3ec-43de-a654-4cba5ffb6a12,v6,1,1,0,0,0
