letter_number,letter_name,page_number,volume
1.,"Claude Bredeau à Mersenne, 21 octobre 1617",1,vol_1
2.,"Mersenne au P. Claude Rangueil, automne de 1617",8,vol_1
3.,"Naquert à Mersenne, automne de 1617",14,vol_1
4.,"A(rnauld) Bernard à Mersenne, automne de 1617?",18,vol_1
5.,"Claude Bredeau à Mersenne, 24 novembre 1617",31,vol_1
6.,"Le P. Jacques Saint-Remy à Mersenne, 3 octobre 1619",40,vol_1
7.,"Claude Bredeau à Mersenne, 31 décembre 1619",46,vol_1
8.,"Guillaume Bredeau à Mersenne, 17 août 1621",57,vol_1
9.,"Claude Bredeau à Mersenne, 21 octobre 1621",66,vol_1
10,"Jean Titelouze à Mersenne, 2 mars 1622",72,vol_1
11.,"Claude Bredeau à Mersenne, 9 février-25 mars 1622",84,vol_1
12.,"Claude Bredeau à Mersenne, 10 juillet 1622",108,vol_1
13.,"Jean Titelouze à Mersenne, 9 août 1622",113,vol_1
14.,"Claude Bredeau à Mersenne, 2 novembre 1622",119,vol_1
15.,"Mersenne à Jean-François de Gondi, janvier 1623",124,vol_1
16.,"Mersenne à Jacques Halle, janvier 1623",139,vol_1
17.,"Claude Bredeau à Mersenne, 23 février 1623",143,vol_1
18.,"Claude Bredeau à Mersenne, 17 octobre 1623",150,vol_1
19.,"Mersenne à Richelieu, 8 juin 1624",156,vol_1
20.,"Mersenne à Mathieu Molé, 9 juillet 1624",163,vol_1
21.,..... à Mersenne (été de 1624?),169,vol_1
22.,"Claude Bredeau à Mersenne, 10 septembre 1624",173,vol_1
23.,"Le P. Tommaso Campanella à Mersenne, 24 octobre 1624",177,vol_1
24.,"Claude Bredeau à Mersenne, 24 octobre 1624",181,vol_1
25.,"Claude Bredeau à Mersenne, 11 décembre 1624",185,vol_1
26.,"Claude Bredeau à Mersenne, 30 janvier 1625",189,vol_1
27.,"Le P. Jean Chastelier à Mersenne, 12 avril 1625",197,vol_1
28.,Mersenne au P. Denis Petau (1625?),208,vol_1
29.,"Claude Bredeau à Mersenne, 16 mai 1625",215,vol_1
30.,Jacques Gaffarel contre Mersenne (printemps de 1625),224,vol_1
31.,"Nicolas-Claude Fabri de Peiresc à son frère, 10 juillet 1625",234,vol_1
32.,"(Robert) Cornier à Mersenne, 27 juillet 1625",235,vol_1
33.,"Mersenne à Gaston d’Orléans, 1er août 1625",251,vol_1
34.,René Descartes à Mersenne (?) (été de 1625),256,vol_1
35.,(Robert) Cornier à Mersenne (18 août) 1625,260,vol_1
36.,Claude Mydorge à ..... (1625),269,vol_1
37.,"Henry de Stanihurst à Mersenne, septembre 1625",274,vol_1
38.,"(Robert) Cornier à Mersenne, 21 septembre 1625",289,vol_1
39.,"Mersenne à Nicolas-Claude Fabri de Peiresc, 13 novembre 1625",303,vol_1
40.,"(Robert) Cornier à Mersenne, 23 novembre 1625",308,vol_1
41.,"Claude Bredeau à Mersenne, 12 décembre 1625",316,vol_1
42.,"..... Lefebvre à Mersenne, 14 décembre 1625",321,vol_1
43.,"(Robert) Cornier à Mersenne, 16 janvier 1626",327,vol_1
44.,..... à Mersenne (janvier 1626),337,vol_1
45.,"(Robert) Cornier à Mersenne, 27 janvier 1626",350,vol_1
46.,"Nicolas-Claude Fabri de Peiresc à son frère, 28 janvier 1626",359,vol_1
47.,Le Fr. Jean François à Mersenne (fin de janvier 1626),360,vol_1
48.,Le Fr. Jean François à Mersenne (fin de janvier 1626),369,vol_1
49.,"Philippe Fortin de la Hoguette à Pierre Dupuy, 9 février 1626",379,vol_1
50.,"Claude Bredeau à Mersenne, 23 février 1626",380,vol_1
51.,(René Descartes) à Mersenne (fin de février 1626),401,vol_1
52.,Claude Mydorge à (Mersenne) (février-mars 1626?),404,vol_1
53.,"(Robert) Cornier à Mersenne, 16 mars 1626",416,vol_1
54.,"(Robert) Cornier à Mersenne, 22 mars 1626",427,vol_1
55.,Jean-Baptiste Doni à Mersenne (mars ou avril 1626),437,vol_1
56.,"Le Fr. Jean François à Mersenne, 5 avril 1626",440,vol_1
57.,"Le Fr. Jean François à Mersenne, 10 avril 1626",448,vol_1
58.,Mersenne au P. Simon Bachelier (avril) 1626,456,vol_1
59.,Mersenne à Henri de Refuge (avril) 1626,459,vol_1
60.,Mersenne au P. François de la Noue (avril) 1626,462,vol_1
61.,"Sixten Amama à André Rivet juin, 1626",475,vol_1
62.,"Le P. Jean Chastelier à Mersenne, 11 juillet 1626",478,vol_1
63.,"Claude Bredeau à Mersenne, 19 juillet 1626",482,vol_1
64.,"(Robert) Cornier à Mersenne, 1er septembre 1626?",485,vol_1
65.,"Claude Bredeau à Mersenne, 15 septembre 1626",495,vol_1
66.,"Sixten Amama à André Rivet, 6 octobre 1626",506,vol_1
67.,"..... Faure à Mersenne, 19 décembre 1626",507,vol_1
68.,"Le Fr. Jean François à Mersenne, 7 janvier 1627",510,vol_1
69.,"Pierre Leloyer à Mersenne, 13 février 1627",517,vol_1
70.,"Sixten Amama à Mersenne, 2 mars 1627",525,vol_1
71.,"Le Fr. Jean François à Mersenne, 4 avril 1627",537,vol_1
72.,Mersenne à Henri de Refuge (printemps de 1627),542,vol_1
72 bis.,"André Rivet à Sixten Amama, 5 juillet 1627",549,vol_1
73.,"Claude Bredeau à Mersenne, 5 août 1627",550,vol_1
74.,"Pierre Leloyer à Mersenne, 23 août 1627",557,vol_1
75.,"Claude Bredeau à Mersenne, 31 août 1627",562,vol_1
76.,Mersenne à Antoine Goutel (septembre 1627),574,vol_1
77.,"Claude Bredeau à Mersenne, 4 octobre 1627",580,vol_1
78.,"Jacques Dupuy à Peiresc, 2 novembre 1627",586,vol_1
79.,"Claude Bredeau à Mersenne, 2 novembre 1627",587,vol_1
80.,"(Robert) Cornier à Mersenne, 15 novembre 1627",591,vol_1
81.,Mersenne à Luc Holste (novembre 1627?),602,vol_1
82.,"Nicolas-Claude de Peiresc à Jacques Dupuy, 8 décembre 1627",609,vol_1
83.,"(Robert) Cornier à Mersenne, 24 décembre 1627",610,vol_1
84.,Le P. Nicolas Lesguillier à Mersenne,622,vol_1
85.,Le Fr. Guillaume de Saint-Faron à Mersenne,625,vol_1
86.,René Moreau à Mersenne,632,vol_1
903.,"André Rivet, de La Haye, à Const. Huygens, (à Rhijnberck), 6 août 1640",1,vol_10
904.,"Const. Huygens, de Rhijnberck, à J.-A. Ban, à Haarlem, 11 août 1640",2,vol_10
905.,"J.-A. Ban, de Haarlem, à Const. Huygens, à Rhijnberck, 13 août 1640",3,vol_10
906.,"Const. Huygens, de Rhijnbeck, à Descartes, à Leyde, 14 août 1640",4,vol_10
907.,"Le P. Lacombe, de Blaye, à Mersenne, à Paris, 18 août 1640",6,vol_10
908.,"Const. Huygens, de Rhijnbeck, à A. Rivet, à La Haye, 20 août 1640",17,vol_10
909.,"J.-A. Ban, de Harlem, à A.-M. van Schuurman, à Utrecht, 20 août 1640",18,vol_10
910.,"Villiers, de Sens, à Mersenne, à Paris, 21 août (1640)",47,vol_10
911.,"Le P. J.-B. Geoffroy, d’Orléans, à Mersenne, à Paris, 24 août 1640",62,vol_10
912.,"B. Cavalieri, de Bologne, à Giann. Rocca, à Modène, 28 août 1640",67,vol_10
913.,"Deschamps, de Bergerac, à Mersenne, à Paris, 29 août 1640",70,vol_10
914.,"Descartes, de Leyde, à Mersenne, à Paris, 30 août 1640",83,vol_10
915.,"C. Huygens, près de Grave, à Mersenne, à Paris, 31 août 1640",92,vol_10
916.,"Fermat, de Toulouse, à Bernard Frenicle, (à Paris), (août-sept. 1640)",93,vol_10
917.,"Ch. Cavendish, de Wellingor, à Mersenne, à Paris, 22 août/1er septem-bre 1640",96,vol_10
918.,"Descartes, de Leyde, à Mersenne, à Paris, 15 septembre 1640",100,vol_10
919.,"Cavalieri, de Bologne, à Rocca, à Modène, 23 septembre 1640",108,vol_10
920.,"J.-A. Ban, de Harlem, à Const. Huygens, à Grave, 23 septembre 1640",112,vol_10
921.,"Descartes, de Leyde, à Mersenne, à Paris, 30 septembre 1640",115,vol_10
922.,"J.-B. Baliani, de Gênes, à Mersenne, à Paris, 1er octobre 1640",127,vol_10
923.,"Le P. Lacombe, de Blaye, à Mersenne, à Paris, 3 octobre 1640",133,vol_10
924.,"Villiers, de Sens, à Mersenne, à Paris, 4 octobre 1640",150,vol_10
925.,"C. Huygens, de La Haye, à Descartes, à Leyde, 8 octobre 1640",160,vol_10
926.,"Cavalieri, de Bologne, à Galilée, à Arcetri, 23 octobre 1640",162,vol_10
927.,"Gisbert Voët, d’Utrecht, à Mersenne, à Paris, (fin octobre 1640)",163,vol_10
928.,"Descartes, de Leyde, à Mersenne, à Paris, 28 octobre 1640",167,vol_10
929.,"Descartes à Mersenne contre le P. Bourdin, 28 octobre 1640",183,vol_10
930.,"Const. Huygens, de La Haye, à Descartes, à Leyde, 29 octobre 1640",190,vol_10
931.,"Villiers, de Sens, à Mersenne, à Paris, (fin octobre 1640)",191,vol_10
932.,"Mersenne, de Paris, à Rivet, à La Haye, 3 novembre 1640",200,vol_10
933.,"Mersenne, de Paris, à Huygens, à La Haye, 3 novembre 1640",205,vol_10
