name,page_number,reference,is_bold,volume
Abano (Pierre d'),38,,false,vol_1
Abano (Pierre d'),47,,false,vol_1
Abano (Pierre d'),51,,false,vol_1
Abbas (schah),607,,false,vol_1
Abraham ibn Esra,41,,false,vol_1
Abraham ibn Esra,43,,false,vol_1
Absalon,12,,true,vol_1
Abulphath d'Ispahan,472,,false,vol_1
Achan,4,,true,vol_1
Achan,10,,false,vol_1
Achillini,70,,false,vol_1
Adami (Tobias),63,,false,vol_1
Adami (Tobias),123,,false,vol_1
Adami (Tobias),148,,false,vol_1
Adami (Tobias),179,,false,vol_1
Aemilius (Antonius),358,,false,vol_1
Aetius,26,,true,vol_1
Aetius,29,,false,vol_1
Agrippa (H.-C.),16,,true,vol_1
Agrippa (H.-C.),37,,false,vol_1
Agrippa (H.-C.),38,,false,vol_1
Agrippa (H.-C.),47,,true,vol_1
Agrippa (H.-C.),51,,false,vol_1
Agrippa (H.-C.),225,,true,vol_1
Agrippa (H.-C.),232,,false,vol_1
Agrippa (H.-C.),241,,false,vol_1
Aguillon (le P.),473,,false,vol_1
Alais (le comte d'),,Valois (Emmanuel de),false,vol_1
Albert le Grand,111,,false,vol_1
Albert (Louis-Ch. d'),,Luynes,false,vol_1
Alciat,12,,true,vol_1
Alciat,186,,true,vol_1
Alciat,558,,true,vol_1
Aleandro (Jerôme),248,,false,vol_1
Alesso (Antoine d'),105,,false,vol_1
Alesso (Jean d'),105,,false,vol_1
Alexandre le Grand,201,,true,vol_1
Alexandre le Grand,387,,true,vol_1
Alexandre le Grand,389,,true,vol_1
Alexandre Aphrodisias,20,,false,vol_1
Alexandre Aphrodisias,52,,false,vol_1
Alexandre Aphrodisias,348,,false,vol_1
Alexius,98,,true,vol_1
Alexius de Anciaco,303,,true,vol_1
Alexius de Anciaco,304,,true,vol_1
Alhazen,132,,false,vol_1
Alhazen,312,,false,vol_1
Alhazen,356,,false,vol_1
Alhazen,357,,false,vol_1
Alhazen,429,,false,vol_1
Alhazen,432,,false,vol_1
Alhazen,612,,false,vol_1
Allatius (Léon),233,,false,vol_1
Alleaume (Jacques),42,,false,vol_1
Alleaume (Jacques),132,,false,vol_1
Alleaume (Jacques),184,,false,vol_1
Alleaume (Jacques),207,,false,vol_1
Alleaume (Jacques),213,,false,vol_1
Alleaume (Jacques),234,,false,vol_1
Alleaume (Jacques),240,,false,vol_1
Alleaume (Jacques),243,,false,vol_1
Alleaume (Jacques),248,,false,vol_1
Alleaume (Jacques),265,,false,vol_1
Alleaume (Jacques),266,,false,vol_1
Alleaume (Jacques),292,,false,vol_1
Alleaume (Jacques),298,,false,vol_1
Alleaume (Jacques),300,,false,vol_1
Alleaume (Jacques),314,,false,vol_1
Alleaume (Jacques),315,,false,vol_1
Alleaume (Jacques),414,,false,vol_1
Alleaume (Jacques),420,,false,vol_1
Alleaume (Jacques),613,,true,vol_1
Alleaume (Jacques),616-617,,false,vol_1
Alleaume (Jacques),619,,false,vol_1
Alleaume (Jacques),620,,false,vol_1
Alleaume (Pierre),619,,false,vol_1
Almeras (Pierre d'),570,,false,vol_1
Amama (Sixten),61,,false,vol_1
Amama (Sixten),62-63,,false,vol_1
Amama (Sixten),470,,false,vol_1
Amama (Sixten),475,,true,vol_1
Amama (Sixten),506,,false,vol_1
Amama (Sixten),524,,false,vol_1
Amama (Sixten),549,,false,vol_1
Amasaeus,343,,false,vol_1
Amboile (Sr d'),xxxvii,,false,vol_1
Amboise (Pierre),599,,false,vol_1
Amboise (Pierre),615,,false,vol_1
Amboise (Jacques-Marie d'),xxii,,false,vol_1
Ambroise (St),4,,true,vol_1
Ambroise (St),48,,true,vol_1
Ambroise (St),628,,true,vol_1
Amesius,475,,false,vol_1
Ammon,12,,false,vol_1
Amyot (Jacques),557,,true,vol_1
Amyot (Jacques),564,,true,vol_1
Amyot (Jacques),565,,true,vol_1
Anaxagore,527,,true,vol_1
Anaxagore,574,,true,vol_1
Anaximène,574,,false,vol_1
Anderson (Alexandre),184,,false,vol_1
Anderson (Alexandre),619,,false,vol_1
Andreae (Jean-Valentin),37,,false,vol_1
Andreae (Jean-Valentin),63,,false,vol_1
Anfonille (St d'),,Armoises,false,vol_1
Anne d'Autriche,xxvii,,false,vol_1
Anne d'Autriche,82,,false,vol_1
Anselme (St),51,,false,vol_1
Antonini (Daniel),298,,false,vol_1
Apelles,384,,true,vol_1
Aphroda,30,,false,vol_1
Apicius,35,,false,vol_1
Apollodore,187,,false,vol_1
Apollon,383,,false,vol_1
Apollonius de Perge,184,,false,vol_1
Apollonius de Perge,236,,true,vol_1
Apollonius de Perge,260,,false,vol_1
Apollonius de Perge,457,,false,vol_1
Apollonius de Perge,458,,false,vol_1
Apollonius de Perge,461,,false,vol_1
Apollonius de Perge,462,,false,vol_1
Apollonius de Perge,468,,true,vol_1
Apollonius de Perge,469,,false,vol_1
Apollonius de Perge,472,,false,vol_1
Apollonius de Perge,473,,false,vol_1
Apollonius de Perge,474,,false,vol_1
Apollonius de Perge,483,,true,vol_1
Apollonius de Perge,497,,true,vol_1
Apollonius de Perge,499,,true,vol_1
Apollonius de Thyane,48,,true,vol_1
Apollonius de Thyane,52,,false,vol_1
Apollonius de Thyane,55,,false,vol_1
Apulée,35,,false,vol_1
Apulée,509,,false,vol_1
Aquin (Philippe d'),304,,false,vol_1
Aquin (Philippe d'),305,,false,vol_1
Aquin (Philippe d'),306,,false,vol_1
Aquin (Philippe d'),307,,false,vol_1
Arcesilaus,521,,true,vol_1
Archelaus,574,,false,vol_1
Archimède,184,,false,vol_1
Archimède,206,,false,vol_1
Archimède,266,,false,vol_1
Archimède,434,,false,vol_1
Archimède,457,,false,vol_1
Archimède,458,,false,vol_1
Archimède,461,,false,vol_1
Archimède,473,,false,vol_1
Archimède,487,,true,vol_1
Archimède,614,,false,vol_1
Architas,180,,false,vol_1
Ardanne (Sr d'),,Coutel (Ant.),false,vol_1
Aretin (Pierre),54,,false,vol_1
Aristenète,509,,false,vol_1
