key,cluster_key,item_key
8FLVS0_Paris_1610,8FLVS0,Paris_1610
8FLVS0_Paris_1613,8FLVS0,Paris_1613
LKF40C_London_1678,LKF40C,London_1678
LKF40C_London_1685,LKF40C,London_1685
LKF40C_London_1687,LKF40C,London_1687
NMR5AW_Paris_1565,NMR5AW,Paris_1565
NMR5AW_Paris_1565a,NMR5AW,Paris_1565a
U0105U_Douai_1625,U0105U,Douai_1625
U0105U_Douai_1633,U0105U,Douai_1633
MBTNS7_Paris_1643b,MBTNS7,Paris_1643b
MBTNS7_Paris_1644a,MBTNS7,Paris_1644a
X65XY0_Ingolstadt_1617,X65XY0,Ingolstadt_1617
X65XY0_Bologna_1629,X65XY0,Bologna_1629
C3FKBW_Venice_1505,C3FKBW,Venice_1505
C3FKBW_Venice_1510,C3FKBW,Venice_1510
GY8NU4_Basel_1537,GY8NU4,Basel_1537
GY8NU4_Basel_1546,GY8NU4,Basel_1546
GY8NU4_Basel_1558,GY8NU4,Basel_1558
RJJ2ER_Paris_1549,RJJ2ER,Paris_1549
RJJ2ER_Paris_1558a,RJJ2ER,Paris_1558a
P3Y44J_Lyon_1557,P3Y44J,Lyon_1557
P3Y44J_Geneva_1610,P3Y44J,Geneva_1610
7BDH40_Paris_1557,7BDH40,Paris_1557
7BDH40_Cologne_1564,7BDH40,Cologne_1564
JG2OCV_Paris_1598,JG2OCV,Paris_1598
O56JUE_Urbino_1575,O56JUE,Urbino_1575
O56JUE_Pesaro_1619a,O56JUE,Pesaro_1619a
6TZUKK_Cologne_1587,6TZUKK,Cologne_1587
RRMFS9_Cologne_1602,RRMFS9,Cologne_1602
RRMFS9_Paris_1602,RRMFS9,Paris_1602
7BZII3_Beijing_1607,7BZII3,Beijing_1607
7BZII3_Beijing_1611,7BZII3,Beijing_1611
XE7Q8U_Geneva_1611,XE7Q8U,Geneva_1611
XE7Q8U_Geneva_1628,XE7Q8U,Geneva_1628
R1Q2YT_Paris_1615,R1Q2YT,Paris_1615
R1Q2YT_Paris_1621,R1Q2YT,Paris_1621
R1Q2YT_Paris_1631,R1Q2YT,Paris_1631
R1Q2YT_ustc-61,R1Q2YT,ustc-61
R1Q2YT_ustc-62,R1Q2YT,ustc-62
PEFQCG_Rotterdam_1647,PEFQCG,Rotterdam_1647
PEFQCG_Utrecht_1647,PEFQCG,Utrecht_1647
IJTAW0_Leiden_1692,IJTAW0,Leiden_1692
DI1HUP_Paris_1667,DI1HUP,Paris_1667
DI1HUP_The_Hague_1683,DI1HUP,The_Hague_1683
TLOW8P_Oxford_1705,TLOW8P,Oxford_1705
2LJ5VI_Pisa_1658,2LJ5VI,Pisa_1658
V6Q1EV_Paris_1794,V6Q1EV,Paris_1794
V6Q1EV_KVSFF1,V6Q1EV,KVSFF1
V7DASV_ustc-22,V7DASV,ustc-22
S9P7Q7_ustc-8,S9P7Q7,ustc-8
S9P7Q7_ustc-43,S9P7Q7,ustc-43
SD0LIA_ustc-11,SD0LIA,ustc-11
SD0LIA_ustc-51,SD0LIA,ustc-51
53VCU6_ustc-15,53VCU6,ustc-15
53VCU6_ustc-1,53VCU6,ustc-1
53VCU6_ustc-30,53VCU6,ustc-30
A6ANJ3_Innsbruck_1634,A6ANJ3,Innsbruck_1634
A6ANJ3_Innsbruck_1636,A6ANJ3,Innsbruck_1636
NU4ARY_London_1666,NU4ARY,London_1666
9ZQKIV_Paris_1527,9ZQKIV,Paris_1527
9ZQKIV_Paris_1531,9ZQKIV,Paris_1531
9ZQKIV_Paris_1534,9ZQKIV,Paris_1534
ROG81T_bib-3,ROG81T,bib-3
FOT0ZG_bib-129,FOT0ZG,bib-129
5BXTFG_bib-22,5BXTFG,bib-22
ATEUPU_bib-55,ATEUPU,bib-55
ATEUPU_bib-56,ATEUPU,bib-56
RDE28F_bib-117,RDE28F,bib-117
RDE28F_bib-118,RDE28F,bib-118
MWEUI5_bib-119,MWEUI5,bib-119
MWEUI5_bib-201,MWEUI5,bib-201
SD2Y3X_0CKY65,SD2Y3X,0CKY65
NMAV1L_X5YBIB,NMAV1L,X5YBIB
NMAV1L_LYNX18,NMAV1L,LYNX18
IUOBOR_E7J0Y4,IUOBOR,E7J0Y4
T5RNN2_6AMYTJ,T5RNN2,6AMYTJ
T5RNN2_OM1R2Y,T5RNN2,OM1R2Y
KNYEAK_ZNLALU,KNYEAK,ZNLALU
KNYEAK_D7OWCD,KNYEAK,D7OWCD
KNYEAK_7Y5IWJ,KNYEAK,7Y5IWJ
BJ5A61_RH6KEE,BJ5A61,RH6KEE
