key,study
London_1685a,"origin_eip_csv, tps"
London_1703,origin_eip_csv
Leipzig_1577,"origin_eip_csv, tps"
Strasbourg_1570,"origin_eip_csv, tps"
Strasbourg_1599,"origin_eip_csv, tps"
Wittenberg_1609,"origin_eip_csv, tps"
Wittenberg_1634,"origin_eip_csv, tps"
Wittenberg_1661,"origin_eip_csv, tps"
Basel_1550,"origin_eip_csv, dh, axiomatics_16, tps"
Florence_1690,"origin_eip_csv, tps"
Bologna_1686,"origin_eip_csv, tps"
Brussels_1688,"origin_eip_csv, tps"
Paris_1609,"origin_eip_csv, tps"
Paris_1610,"origin_eip_csv, tps"
Kiel_and_Leipzig_1699,"origin_eip_csv, tps"
Lyon_1690,"origin_eip_csv, tps"
Cambridge_1655,"origin_eip_csv, dh, axiomatics_16, tps"
London_1659,"origin_eip_csv, tps"
Osnabrück_1676,"origin_eip_csv, tps"
London_1678,"origin_eip_csv, tps"
London_1685,"origin_eip_csv, tps"
London_1687,"origin_eip_csv, tps"
Paris_1643,"origin_eip_csv, tps"
Milan_1671,"origin_eip_csv, tps"
Paris_1683,"origin_eip_csv, tps"
Paris_1690,"origin_eip_csv, tps"
Paris_1677a,"origin_eip_csv, tps"
Augsburg_1555,"origin_eip_csv, tps"
Rotterdam_1661,"origin_eip_csv, tps"
Amsterdam_1700b,"origin_eip_csv, tps"
Amsterdam_1701,origin_eip_csv
Ansbach_1610,"origin_eip_csv, tps"
Amsterdam_1662,"origin_eip_csv, tps"
Oxford_1701,"origin_eip_csv, dh, axiomatics_16"
Paris_1598a,"origin_eip_csv, dh, tps"
Paris_1605,"origin_eip_csv, tps"
Paris_1629,"origin_eip_csv, tps"
Paris_1640,"origin_eip_csv, tps"
Paris_1565,"origin_eip_csv, tps"
Paris_1564,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1654a,"origin_eip_csv, tps"
Brussels_1701,origin_eip_csv
Seville_1576,"origin_eip_csv, dh, axiomatics_16, tps"
Brussels_1689,"origin_eip_csv, tps"
Lyon_1672,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1682,"origin_eip_csv, tps"
Amsterdam_1700,"origin_eip_csv, tps"
Madrid_1665,"origin_eip_csv, tps"
Paris_1566a,"origin_eip_csv, tps"
Amsterdam_1702,origin_eip_csv
Leiden_1617,"origin_eip_csv, tps"
Siena_1691,"origin_eip_csv, tps"
Paris_1551,"origin_eip_csv, tps"
Paris_1536,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1544,"origin_eip_csv, tps"
London_1680–81,"origin_eip_csv, tps"
Pesaro_1619,"origin_eip_csv, tps"
Strasbourg_1564,"origin_eip_csv, dh, axiomatics_16, tps"
Strasbourg_1564b,"origin_eip_csv, tps"
Strasbourg_1566,"origin_eip_csv, dh, axiomatics_16, tps"
Strasbourg_1564a,"origin_eip_csv, tps"
Bologna_1651,"origin_eip_csv, tps"
Bologna_1651a,"origin_eip_csv, axiomatics_16, tps"
Amsterdam_1683,"origin_eip_csv, tps"
Amsterdam_1701b,origin_eip_csv
Cambridge_1703,origin_eip_csv
Rome_1574,"origin_eip_csv, dh, axiomatics_16, tps"
Cologne_1607,"origin_eip_csv, tps"
Cologne_1627,"origin_eip_csv, tps"
Lyon_1660,"origin_eip_csv, tps"
Lyon_1675,"origin_eip_csv, tps"
Frankfurt_1674,"origin_eip_csv, tps"
Rome_1589,"origin_eip_csv, axiomatics_16, tps"
Cologne_1591,"origin_eip_csv, tps"
Rome_1603,"origin_eip_csv, tps"
Douai_1620,"origin_eip_csv, tps"
Douai_1625,"origin_eip_csv, tps"
Rome_1629,"origin_eip_csv, tps"
Douai_1633,"origin_eip_csv, tps"
Paris_1643b,"origin_eip_csv, tps"
Paris_1644a,"origin_eip_csv, tps"
Antwerp_1645,"origin_eip_csv, dh, axiomatics_16, tps"
Frankfurt_1654,"origin_eip_csv, tps"
Paris_1654,"origin_eip_csv, dh, tps"
Rome_1655,"origin_eip_csv, tps"
Lyon_1674,"origin_eip_csv, tps"
Frankfurt_1607,"origin_eip_csv, tps"
London_1654,"origin_eip_csv, tps"
Cambridge_1665,"origin_eip_csv, tps"
Würzburg_1661,"origin_eip_csv, dh, axiomatics_16, tps"
Graz_1636,"origin_eip_csv, axiomatics_16, tps"
Bamberg_1677,"origin_eip_csv, tps"
Ingolstadt_1617,"origin_eip_csv, tps"
Bologna_1629,"origin_eip_csv, tps"
Antwerp_1654,"origin_eip_csv, dh, axiomatics_16, tps"
Antwerp_1672,"origin_eip_csv, tps"
Padua_1694,"origin_eip_csv, tps"
Oxford_1685,"origin_eip_csv, tps"
London_1696,"origin_eip_csv, tps"
Oxford_London_1700,"origin_eip_csv, tps"
Amsterdam_1634,"origin_eip_csv, tps"
London_1686,"origin_eip_csv, tps"
London_1660,"origin_eip_csv, tps"
Amsterdam_1618,"origin_eip_csv, tps"
Venice_1482,"origin_eip_csv, dh, axiomatics_16"
Arnhem_1605,"origin_eip_csv, tps"
Vicenza_1491,origin_eip_csv
Venice_1498a,"origin_eip_csv, tps"
Venice_1505,"origin_eip_csv, dh, axiomatics_16, tps"
Frankfurt_1506,origin_eip_csv
Venice_1509,"origin_eip_csv, axiomatics_16, tps"
Venice_1510,"origin_eip_csv, tps"
Paris_1516,"origin_eip_csv, axiomatics_16, tps"
Basel_1533,"origin_eip_csv, dh, axiomatics_16, tps"
Basel_1537,"origin_eip_csv, tps"
Strasbourg_1538,"origin_eip_csv, tps"
Venice_1543,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1545,"origin_eip_csv, axiomatics_16, tps"
Rome_1545,"origin_eip_csv, tps"
Rome_1545a,"origin_eip_csv, axiomatics_16, tps"
Basel_1546,"origin_eip_csv, tps"
Leipzig_1549,"origin_eip_csv, axiomatics_16, tps"
Paris_1549,"origin_eip_csv, tps"
Paris_1551a,"origin_eip_csv, tps"
Paris_1552,"origin_eip_csv, tps"
Cologne_1556,"origin_eip_csv, axiomatics_16, tps"
Lyon_1557,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1557,"origin_eip_csv, axiomatics_16, tps"
Basel_1558,"origin_eip_csv, tps"
Paris_1558,"origin_eip_csv, tps"
Paris_1558a,"origin_eip_csv, tps"
Strasbourg_1559,"origin_eip_csv, tps"
Basel_1562,"origin_eip_csv, dh, axiomatics_16, tps"
Cologne_1564,"origin_eip_csv, tps"
Wittenberg_1564,"origin_eip_csv, tps"
Venice_1565,"origin_eip_csv, tps"
Paris_1566,"origin_eip_csv, dh, axiomatics_16, tps"
Venice_1569,"origin_eip_csv, tps"
London_1570,"origin_eip_csv, dh, axiomatics_16, tps"
Strasbourg_1570a,"origin_eip_csv, tps"
Strasbourg_1571,"origin_eip_csv, tps"
Strasbourg_1571a,"origin_eip_csv, tps"
Pesaro_1572,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1573,"origin_eip_csv, tps"
Urbino_1575,"origin_eip_csv, axiomatics_16, tps"
Venice_1575,"origin_eip_csv, tps"
Paris_1578,"origin_eip_csv, tps"
Cologne_1580,"origin_eip_csv, tps"
Venice_1585,"origin_eip_csv, tps"
Venice_1586,"origin_eip_csv, tps"
Cologne_1587,"origin_eip_csv, tps"
Rome_1594,"origin_eip_csv, axiomatics_16, tps"
Paris_1598,"origin_eip_csv, tps"
Cologne_1600,"origin_eip_csv, tps"
Cologne_1602,"origin_eip_csv, tps"
Paris_1602,"origin_eip_csv, tps"
Arnhem_1603,"origin_eip_csv, tps"
Arnhem_1605a,"origin_eip_csv, tps"
Leiden_1606,"origin_eip_csv, dh, axiomatics_16, tps"
Beijing_1607,origin_eip_csv
Leiden_1607,"origin_eip_csv, tps"
Geneva_1610,"origin_eip_csv, tps"
Geneva_1611,"origin_eip_csv, tps"
Beijing_1611,origin_eip_csv
Cologne_1612,"origin_eip_csv, tps"
Paris_1612,"origin_eip_csv, tps"
Paris_1613,"origin_eip_csv, tps"
Paris_1615,"origin_eip_csv, dh, axiomatics_16, tps"
Amsterdam_1616,"origin_eip_csv, tps"
Pesaro_1619a,"origin_eip_csv, tps"
London_1620,"origin_eip_csv, tps"
Paris_1621,"origin_eip_csv, tps"
Paris_1622,"origin_eip_csv, tps"
Paris_1623,"origin_eip_csv, tps"
Paris_1624,"origin_eip_csv, tps"
Amsterdam_1626,"origin_eip_csv, tps"
Paris_1626a,"origin_eip_csv, tps"
Ferrara_1628,"origin_eip_csv, tps"
Geneva_1628,"origin_eip_csv, tps"
Beijing_1629,origin_eip_csv
Paris_1630,"origin_eip_csv, tps"
Paris_1631,"origin_eip_csv, tps"
Paris_1632,"origin_eip_csv, tps"
Paris_1632a,"origin_eip_csv, tps"
Rotterdam_1632,"origin_eip_csv, tps"
Hamburg_1633,"origin_eip_csv, tps"
Paris_1634,"origin_eip_csv, dh, tps"
Alcala_1637,"origin_eip_csv, tps"
Hamburg_1638,"origin_eip_csv, tps"
Paris_1639,"origin_eip_csv, tps"
Venice_1641,"origin_eip_csv, tps"
Paris_1644,"origin_eip_csv, tps"
Paris_1644b,"origin_eip_csv, tps"
Paris_1644c,"origin_eip_csv, tps"
Lyon_1645,"origin_eip_csv, tps"
Lyon_1646,"origin_eip_csv, tps"
Rotterdam_1647,"origin_eip_csv, tps"
Utrecht_1647,"origin_eip_csv, tps"
Venice_1647,origin_eip_csv
Rouen_1649,"origin_eip_csv, tps"
London_1651,"origin_eip_csv, tps"
Paris_1652,"origin_eip_csv, tps"
Amsterdam_1660,"origin_eip_csv, tps"
London_1661,"origin_eip_csv, tps"
Leiden_and_Amsterdam_1673,"origin_eip_csv, tps"
Rouen_1676,"origin_eip_csv, tps"
Rouen_and_Paris_1677,"origin_eip_csv, tps"
Naples_1679,"origin_eip_csv, tps"
Rotterdam_1681,"origin_eip_csv, tps"
Paris_1682a,"origin_eip_csv, dh, axiomatics_16, tps"
Lausanne_1683,"origin_eip_csv, tps"
Rouen_and_Paris_1683,"origin_eip_csv, tps"
Bologna_1684,"origin_eip_csv, tps"
Rouen_and_Paris_1685,"origin_eip_csv, tps"
The_Hague_1690,"origin_eip_csv, tps"
Leiden_1691,"origin_eip_csv, tps"
Leiden_1692,"origin_eip_csv, tps"
Paris_1693,"origin_eip_csv, dh, tps"
Vienna_1694,"origin_eip_csv, dh, tps"
Amsterdam_1695,"origin_eip_csv, tps"
Amsterdam_1697,"origin_eip_csv, tps"
Paris_1697,"origin_eip_csv, tps"
Lübeck_and_Frankfurt_1699,"origin_eip_csv, tps"
Naples_1701,origin_eip_csv
Milan_1702,origin_eip_csv
Naples_1702,origin_eip_csv
London_1705,origin_eip_csv
"Kiel,_Hamburg_and_Leipzig_1697","origin_eip_csv, tps"
s.l_1650,origin_eip_csv
Oxford_1703,"origin_eip_csv, dh, axiomatics_16"
Utrecht_n.d,"origin_eip_csv, tps"
Lyon_1603,"origin_eip_csv, dh, tps"
Paris_1667,"origin_eip_csv, dh, axiomatics_16, tps"
Lyon_1669,"origin_eip_csv, dh, axiomatics_16, tps"
Oxford_1705,"origin_eip_csv, dh, axiomatics_16"
Livorno_1709,"origin_eip_csv, dh, axiomatics_16"
Lisbon_1735,"origin_eip_csv, dh, axiomatics_16"
Paris_1739,"origin_eip_csv, dh, axiomatics_16"
Uppsala_1741,"origin_eip_csv, dh, axiomatics_16"
Uppsala_1744,"origin_eip_csv, dh, axiomatics_16"
Pisa_1658,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1675,"origin_eip_csv, dh, axiomatics_16, tps"
Rome_1680,"origin_eip_csv, dh, axiomatics_16, tps"
Paris_1685,"origin_eip_csv, dh, tps"
Nuremberg_1625,"origin_eip_csv, dh, tps"
London_1747,"origin_eip_csv, dh, axiomatics_16"
Glasgow_1756,"origin_eip_csv, dh, axiomatics_16"
The_Hague_1758,"origin_eip_csv, dh, axiomatics_16"
Halle_1758,"origin_eip_csv, dh, axiomatics_16"
London_1789,"origin_eip_csv, dh, axiomatics_16"
Paris_1794,"origin_eip_csv, dh, axiomatics_16"
Edinburgh_1795,"origin_eip_csv, dh, axiomatics_16"
Naples_1810,"origin_eip_csv, dh, axiomatics_16"
Paris_1814,"origin_eip_csv, dh, axiomatics_16"
Nuremberg_1821,"origin_eip_csv, dh"
Berlin_1824,"origin_eip_csv, dh"
Lund_1855,"origin_eip_csv, dh"
Leipzig_1883,"origin_eip_csv, dh"
Antwerp_1665,"origin_eip_csv, tps"
Rome_1695,"origin_eip_csv, tps"
Paris_1695,"origin_eip_csv, tps"
Uppsala_1642,"origin_eip_csv, tps"
1496,axiomatics_16
Paris_1532,axiomatics_16
Valencia_1569,axiomatics_16
bib-35,axiomatics_16
Ferrara_1587,axiomatics_16
MorisS-17-1,axiomatics_16
MorisS-21-10,axiomatics_16
Bologna_1663,axiomatics_16
Rome_1679,axiomatics_16
Florence_1674,axiomatics_16
London_1678a,axiomatics_16
The_Hague_1683,axiomatics_16
bib-109,axiomatics_16
Paris_1689,axiomatics_16
70Q8M8,axiomatics_16
IC4Y79,axiomatics_16
FA6MQ0,axiomatics_16
GLYTWZ,axiomatics_16
Bologna_1620,axiomatics_16
G8MDPE,axiomatics_16
SLWQ7N,axiomatics_16
GJXHA3,axiomatics_16
WWE4ON,axiomatics_16
ZQA6JR,axiomatics_16
85GZV3,axiomatics_16
F2WVY3,axiomatics_16
LOFE5H,axiomatics_16
2L8L55,axiomatics_16
473J72,axiomatics_16
RSEIPO,axiomatics_16
QX7XH4,axiomatics_16
BQ96WF,axiomatics_16
6XTAVU,axiomatics_16
KVSFF1,axiomatics_16
6PMNRZ,dotted_lines
