key,city,languages,compositors,long_title,short_title,short_title_source,year_from,year_to,year_is_approximate,notes,has_diagrams
ms_1,,,,,,,800,900,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",True
ms_2,,,,,,,800,1200,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",
ms_3,,,,,,,800,900,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",True
ms_4,,,,,,,900,1000,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",
ms_5,,,,,,,1000,1100,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",
ms_6,,,,,,,1000,1100,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",
ms_7,,,,,,,1100,1200,True,"class: Greek manuscripts
subclass: Greek Cardinal Manuscripts",
ms_8,,,,,,,1000,1100,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_9,,,,,,,1100,1200,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_10,,,,,,,1200,1300,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_11,,,,,,,1200,1300,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_12,,,,,,,1200,1300,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_13,,,,,,,1200,1300,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_14,,,,,,,1200,1300,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_15,,,,,,,1200,1300,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_16,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_17,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_18,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_19,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_20,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_21,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_22,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_23,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_24,,,,,,,1300,1400,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_25,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_26,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_27,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_28,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_29,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_30,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_31,,,,,,,1400,1500,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_32,,,,,,,1500,1600,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_33,,,,,,,1500,1600,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_34,,,,,,,,,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_35,,,,,,,,,True,"class: Greek manuscripts
subclass: Greek Secondary manuscripts",
ms_36,,,,,,,,,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_37,,,,,,,1270,1270,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_38,,,,,,,1200,1300,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_39,,,,,,,,,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_40,,,,,,,1238,1238,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_41,,,,,,,1607,1607,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_42,,,,,,,,,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_43,,,,,,,1400,1500,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
ms_44,,,,,,,954,954,True,"class: Arabic manuscripts
subclass: Ishāq-Thābit text",
