key,elements_books,additional_content,elements_content
ms_1,,,
ms_2,,,
ms_3,,,
ms_4,,,
ms_5,,,
ms_6,,,
ms_7,,,
ms_8,,,
ms_9,,,
ms_10,,,
ms_11,,,
ms_12,,,
ms_13,,,
ms_14,,,
ms_15,,,
ms_16,,,
ms_17,,,
ms_18,,,
ms_19,,,
ms_20,,,
ms_21,,,
ms_22,,,
ms_23,,,
ms_24,,,
ms_25,,,
ms_26,,,
ms_27,,,
ms_28,,,
ms_29,,,
ms_30,,,
ms_31,,,
ms_32,,,
ms_33,,,
ms_34,,,
ms_35,,,
ms_36,,,
ms_37,1-15,,I.39-XV
ms_38,1-15,,I-XV
ms_39,1-15,,I.13-XV
ms_40,1-15,,I-XV
ms_41,1-5,,I-V
ms_42,,,
ms_43,1-15,,I-XV
ms_44,,,
ms_45,,,
ms_46,"2, 5",,excerpts of the Institutiones II.5-6 and extracts of Euclid [II.def.2; V.deff.]
ms_47,,,
ms_48,2,,excerpts of the Institutiones II.5-6 and extracts of Euclid
ms_49,,,
ms_50,,,
ms_51,,,
ms_52,,,
ms_53,1,,"only I def. 19-23, post. 1-5, ax. 1.3.2.7"
ms_54,,,
ms_55,,,
ms_56,,,
ms_57,,,
ms_58,,,
ms_59,,,
ms_60,5,,copy of Naples V A 13
ms_61,,,
ms_62,,,
ms_63,,,
ms_64,,,
ms_65,,,incomplete
ms_66,,,fragment
ms_67,,,fragment
ms_68,,,
ms_69,,,Md
ms_70,,,
ms_71,,,
ms_72,,,
ms_73,,,
ms_74,11-13,,XI.24-25; XII.2-3.8; XIII.2-3.7.
ms_75,,,
ms_76,"1-13, 15",,"I-XIII, XV; abbreviated version of books 14 and 15"
ms_77,10,,incomplete; ends within X.48
ms_78,,,
ms_79,1-8,,I-VIII.25
ms_80,7-8,,VII.3-VIII.25
ms_81,1-8,,I-VIII.22
ms_82,1-8,,I-VIII.22
ms_83,1-12,,I-XII
ms_84,11-14,,XI-XI.4; XI.5-XIV.1
ms_85,1-16,,I-XV; scholia I-XIX
ms_86,1-16,,I-XV; scholia I-XVII
ms_87,1-15,,I-XV; scholia XVIII-XIX
ms_88,1-16,,scholia I-XVII; scholium XVII twice: at the end and after scholium III
ms_89,4-16,,"scholia IV-XVII, XX-XXII"
ms_90,1-16,,I-XV; scholia I-XVII
ms_91,"1-3, 11-15",,XI.5-XV; scholia I-III
ms_92,1-16,,I-XV; scholia I-XVII
ms_93,,,
ms_94,6-15,,VI.5-XV.5
ms_95,,,
