key,elements_books,additional_content
London_1685a,"1–6, 11–12",
London_1703,"1–6, 11–12",
Leipzig_1577,1–6 (enunciations only in 4–6),
Strasbourg_1570,1,
Strasbourg_1599,1 (enunciations),
Wittenberg_1609,1–13,
Wittenberg_1634,1–13,
Wittenberg_1661,1–13,
Basel_1550,1-6,
Florence_1690,"1–6, 11–12",
Bologna_1686,1–6,
Brussels_1688,"1–6, 11–12",
Paris_1609,1–15,
Paris_1610,1-15,
Kiel_and_Leipzig_1699,1–6,
Lyon_1690,1–14,
Cambridge_1655,1-15,
London_1659,1–15,Data
Osnabrück_1676,1–15,Data
London_1678,1–15,Data
London_1685,1–15,Data
London_1687,1–15,Data
Paris_1643,?,
Milan_1671,1–6,
Paris_1683,"1–6, 11–12",
Paris_1690,"1–6, 11–12",
Paris_1677a,"1–6, 11–12",
Augsburg_1555,7–9,
Rotterdam_1661,1–6,
Amsterdam_1700b,1–6,
Amsterdam_1701,1–6,
Ansbach_1610,1–6,
Amsterdam_1662,1–16 (enunciations),
Oxford_1701,"1-6, 11-12",
Paris_1598a,1–6,
Paris_1605,1–9,
Paris_1629,1–9,
Paris_1640,"10, ?",
Paris_1565,7–9,
Paris_1564,1-6,
Paris_1654a,1–6,
Brussels_1701,"1–6, 11–12",
Seville_1576,1-6,
Brussels_1689,"1–6, 11–12",
Lyon_1672,"1-6, 11-12",
Paris_1682,"1–6, 11–12",
Amsterdam_1700,"1–6, 11–12",
Madrid_1665,"5, 7",
Paris_1566a,,
Amsterdam_1702,1–6,
Leiden_1617,1–15 (enunciations),
Siena_1691,1–15,
Paris_1551,1–6,
Paris_1536,1-6,
Paris_1544,1–6,
London_1680–81,"1–6, 11–12",
Pesaro_1619,1–15,
Strasbourg_1564,1,
Strasbourg_1564b,3–13 (enunciations),
Strasbourg_1566,1-6,
Strasbourg_1564a,2,
Bologna_1651,1–6,
Bologna_1651a,1-6,
Amsterdam_1683,"1–6, 11–12",
Amsterdam_1701b,"1–6, 11–12",
Cambridge_1703,"1–6, 11-12",
Rome_1574,1-16,
Cologne_1607,1–16 (enunciations),
Cologne_1627,1–16,
Lyon_1660,"1–6, 11–12",
Lyon_1675,"1–6, 11–12",
Frankfurt_1674,1–6,
Rome_1589,1-16,
Cologne_1591,1–16,
Rome_1603,1–16,
Douai_1620,1–6,
Douai_1625,1–6,
Rome_1629,1–6,
Douai_1633,1–6,
Paris_1643b,1–6,
Paris_1644a,1–6,
Antwerp_1645,1-16,
Frankfurt_1654,1–16,
Paris_1654,,
Rome_1655,1–6,
Lyon_1674,"1–6, 11–12",
Frankfurt_1607,1–16,
London_1654,1–6,
Cambridge_1665,1–6,
Würzburg_1661,1-6,
Graz_1636,1-6,
Bamberg_1677,1–6,
Ingolstadt_1617,1–6,
Bologna_1629,1–6,
Antwerp_1654,"1-6, 11-12",
Antwerp_1672,"1–6, 11–12",
Padua_1694,"1–6, 11–12",
Oxford_1685,"1–6, 11–12",
London_1696,"1–6, 11–12",
Oxford_London_1700,"1–6, 11–12",
Amsterdam_1634,1–6,
London_1686,1–15,
London_1660,1–15,
Amsterdam_1618,1–6,
Venice_1482,1-15,
Arnhem_1605,7-9,
Vicenza_1491,1–15,
Venice_1498a,14,
Venice_1505,1-15,"Phaenomena, Optica, Catoptrica, Data"
Frankfurt_1506,1–4,
Venice_1509,1-15,
Venice_1510,1–15,"Phaenomena, Optica, Catoptrica, Data"
Paris_1516,1-15,
Basel_1533,1-15,
Basel_1537,1–15,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso"
Strasbourg_1538,1,
Venice_1543,1-15,
Paris_1545,1-15,
Rome_1545,1–15 (enunciations),
Rome_1545a,1-15,
Basel_1546,1–15,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso"
Leipzig_1549,1-6,
Paris_1549,1–15 (enunciations),
Paris_1551a,10,
Paris_1552,10,
Cologne_1556,1-15,
Lyon_1557,1-6,
Paris_1557,1-15,
Basel_1558,1–15,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso"
Paris_1558,1–15 (enunciations),
Paris_1558a,1–15 (enunciations),
Strasbourg_1559,1,
Basel_1562,1-6,
Cologne_1564,1–15 (enunciations),
Wittenberg_1564,7,
Venice_1565,1–15,De levi et ponderoso
Paris_1566,1-16,
Venice_1569,1–15,De levi et ponderoso
London_1570,1-16,
Strasbourg_1570a,1–15,"Optica, Catoptrica, Introductio harmonica, Sectio canonis, Phaenomena (enunciations in Greek and Latin)"
Strasbourg_1571,1,
Strasbourg_1571a,1–15,"Optica, Catoptrica, Introductio harmonica, Sectio canonis, Phaenomena, Data (enunciations)"
Pesaro_1572,1-15,
Paris_1573,1–15 (enunciations),
Urbino_1575,1-15,
Venice_1575,13–15,
Paris_1578,1–18,
Cologne_1580,1–15 (enunciations),
Venice_1585,1–15,De levi et ponderoso
Venice_1586,1–15,De levi et ponderoso
