name,pseudonym,position,source
A. Kuypers,Kuypers,last,Editors
A. Kuypers,A.,first,Editors
Abbé Deidier,Deidier,other,Editors
Abbé Deidier,Deidier,last,Editors
Abbé Deidier,Antoine,first,Editors
Abbé Deidier,A.,first,Editors
Abbé Deidier,Deydier,last,Editors
Abbé Deidier,Abt,first,Editors
Abbé Deidier,Abbé,first,Editors
Abbé Deidier,Abbot,first,Editors
Abraham Rundbäck,Rundbäck,last,Editors
Abraham Rundbäck,Abrahamus,first,Editors
Abraham Rundbäck,A.,first,Editors
Adrien-Marie Legendre,Legendre,last,Editors
Adrien-Marie Legendre,Adrien M.,first,Editors
Adrien-Marie Legendre,A.,first,Editors
Adrien-Marie Legendre,A. M.,first,Editors
Adrien-Marie Legendre,Le Gendre,last,Editors
Adrien-Marie Legendre,Adrien-Marie,first,Editors
Adrien-Marie Legendre,Adrian M.,first,Editors
Adrien-Marie Legendre,LeGendre,last,Editors
Adrien-Marie Legendre,Adrian-Marie,first,Editors
Adrien-Marie Legendre,A.M.,first,Editors
André Tacquet,Tacquet,last,Editors
André Tacquet,Andreas,first,Editors
André Tacquet,A.,first,Editors
André Tacquet,Tacquett,last,Editors
André Tacquet,Andrew,first,Editors
André Tacquet,Taquet,last,Editors
André Tacquet,Andries,first,Editors
André Tacquet,Tacques,last,Editors
André Tacquet,André,first,Editors
André Tacquet,Andrea,first,Editors
André Tacquet,Andras,first,Editors
André Tacquet,Tachenius,last,Editors
Angelo Marchetti,Marchetti,last,Editors
Angelo Marchetti,Angelo,first,Editors
Angelo Marchetti,A.,first,Editors
Antoine Arnauld,.,other,Editors
Antoine Arnauld,Arnauld,last,Editors
Antoine Arnauld,Antoine,first,Editors
Antoine Arnauld,A.,first,Editors
Anton Ernst Burckhard von Pirckenstein,Birkenstein,last,Editors
Anton Ernst Burckhard von Pirckenstein,Anton Ernst von,first,Editors
Anton Ernst Burckhard von Pirckenstein,A.,first,Editors
Anton Ernst Burckhard von Pirckenstein,E.,first,Editors
Anton Ernst Burckhard von Pirckenstein,B.,first,Editors
Anton Ernst Burckhard von Pirckenstein,v.,first,Editors
Anton Ernst Burckhard von Pirckenstein,A.E.B.v.,first,Editors
Anton Ernst Burckhard von Pirckenstein,Pürckenstein,last,Editors
Anton Ernst Burckhard von Pirckenstein,Burckhard von,first,Editors
Anton Ernst Burckhard von Pirckenstein,Pirckenstein,last,Editors
Anton Ernst Burckhard von Pirckenstein,Anton Ernst Burckhard von,first,Editors
Anton Ernst Burckhard von Pirckenstein,Pürckenstein von,other,Editors
Anton Ernst Burckhard von Pirckenstein,Pirkenstein,last,Editors
Anton Ernst Burckhard von Pirckenstein,Burckhard von Birckenstein,last,Editors
Anton Ernst Burckhard von Pirckenstein,Anton Ernst,first,Editors
Anton Ernst Burckhard von Pirckenstein,Anton E.,first,Editors
Anton Ernst Burckhard von Pirckenstein,Birckenstein,last,Editors
