key,researcher,timestamp
Venice_1505,ReallyLiri,2026-04-02T16:24:58Z
Basel_1533,Max,2026-02-01T20:52:28.819Z
Basel_1562,Max,2026-02-01T21:00:24.443Z
Paris_1536,Max,2026-02-07T20:23:32.555Z
Venice_1543,Max,2026-02-07T20:31:12.803Z
Basel_1550,ReallyLiri,2026-04-02T16:37:37Z
Lyon_1557,ReallyLiri,2026-04-02T15:44:39Z
Paris_1564,Max,2026-02-07T20:51:53.769Z
Strasbourg_1564,ReallyLiri,2026-04-02T15:14:16Z
Strasbourg_1566,ReallyLiri,2026-04-02T16:17:37Z
Paris_1566,ReallyLiri,2026-04-03T07:48:06Z
London_1570,Max,2026-02-07T21:11:51.908Z
Pesaro_1572,Max,2026-02-07T21:14:26.696Z
Rome_1574,Max,2026-02-10T11:29:03.530Z
Seville_1576,ReallyLiri,2026-04-02T15:43:04Z
Paris_1598a,Max,2026-02-07T21:29:24.443Z
Lyon_1603,Max,2026-02-07T21:32:55.247Z
Leiden_1606,Max,2026-02-10T11:35:55.165Z
Paris_1615,ReallyLiri,2026-04-03T07:51:30Z
Nuremberg_1625,ReallyLiri,2026-04-02T14:55:43Z
Antwerp_1645,ReallyLiri,2026-04-02T16:28:28Z
Paris_1654a,Max,2026-02-10T11:56:19.939Z
Antwerp_1654,Max,2026-02-10T11:58:33.579Z
Cambridge_1655,ReallyLiri,2026-04-02T16:40:31Z
Pisa_1658,ReallyLiri,2026-04-03T08:49:53Z
Würzburg_1661,ReallyLiri,2026-04-02T16:20:52Z
Paris_1667,Max,2026-02-10T12:04:52.022Z
Lyon_1669,ReallyLiri,2026-04-02T16:54:11Z
Lyon_1672,Max,2026-02-10T12:08:18.665Z
Paris_1675,ReallyLiri,2026-04-03T08:08:33Z
Rome_1680,ReallyLiri,2026-04-02T16:09:13Z
Paris_1682a,ReallyLiri,2026-04-02T15:47:36Z
Paris_1685,ReallyLiri,2026-04-02T15:51:43Z
Paris_1634,ReallyLiri,2026-04-02T13:22:08Z
Vienna_1694,ReallyLiri,2026-04-02T16:07:26Z
Paris_1693,ReallyLiri,2026-04-03T08:09:48Z
Oxford_1701,Max,2026-02-11T13:02:59.438Z
Oxford_1703,ReallyLiri,2026-04-02T16:26:54Z
Livorno_1709,ReallyLiri,2026-04-02T16:51:46Z
Paris_1739,ReallyLiri,2026-04-03T08:23:15Z
Uppsala_1744,ReallyLiri,2026-04-02T10:33:06Z
London_1747,Max,2026-02-11T13:30:35.628Z
Glasgow_1756,ReallyLiri,2026-04-02T16:46:27Z
The_Hague_1758,Max,2026-02-11T13:33:51.271Z
London_1789,Max,2026-02-11T13:42:24.891Z
Paris_1794,Max,2026-02-11T13:44:00.532Z
Edinburgh_1795,Max,2026-02-11T14:06:13.394Z
Paris_1814,ReallyLiri,2026-04-03T08:44:34Z
Nuremberg_1821,Max,2026-02-11T14:15:04.546Z
Berlin_1824,ReallyLiri,2026-04-02T16:43:18Z
