edition_key,Year,City,Language,Format,Elements (Arithmetical Books),Elements (Geometrical Books),Geometrical Dotted Lines,Token Lines,"Other ""Dotted"" Lines",Has dotted diagrams in the wide sense,RAW Dotted lines,Lines classified,Notes,Has diagrams,Reprint of,Final Architecture,Final Arithmetic,Final Astronomy,Final Cartography,Final Commercial Mathematics,Final Construction,Final Cosmography,Final Geography,Final Gnomonics & Horology,Final Instrument Construction,Final Instrument Use,Final Mechanics,Final Military Engineering,Final Music Theory,Final Navigation,Final Perspective,Final Practical Geometry,Final Surveying,Final Theoretical Mathematics,Final Trigonometry
bib-247,1484,Venice,ITALIAN,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
DDUZGF,1488,Augsburg,LATIN,4,,,,Tokens,,Yes,Tokens,Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-248,1491/1492,Florence,ITALIAN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-14,1494,Venice,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated
1496,1496,,LATIN,,,,,Tokens,,Yes,Tokens,Yes,Also discusses a board game (https://en.wikipedia.org/wiki/Rithmomachia),TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
bib-155,1503,Freiburg,LATIN,,,,,Tokens,,Yes,Tokens,Yes,Has arithmetical dotted lines (https://www.google.co.il/books/edition/Margarita_philosophica/VVEqTJwyCbUC?hl=en&gbpv=1&pg=PP175&printsec=frontcover); Discusses multiple subjects (I maybe missed a few); MS or print?; No geo dotted;,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-173,1503,Paris,LATIN,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,not a math text - logic?,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-174,1503,Paris,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,I'm not sure if practical or purely theoretical.... ; Annotations with token https://books.google.co.il/books?id=A_yT6uJjXxAC&pg=PA27#v=onepage&q&f=false,TRUE,,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated
93PZQ5,1505,Toul,"LATIN, FRENCH",2,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
XXI4KS,1509,Nuremberg,GERMAN,2,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
bib-167,1511,Paris,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,"It's a philosophical/theological/theory of intellect book, with second part discussiong math - mostly number theory and geometry.",TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
bib-168,1513,Paris,LATIN,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,It's theology,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-176,1514,Paris,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,It's mostly theology/philosophy ,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unknown,unrelated
bib-277,1514,Augsburg,GERMAN,,,,,Token + Other (Counting board),Token + Other (Counting board),Yes,Token + Other (Counting board),Yes,No diagrams axcept for the calculating table ones,TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
N000JX,1516,Alcala,LATIN,2,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,primary,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-225,1518,Augsburg,GERMAN,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-239,1521,Nuremberg,GERMAN,,,,,,Other (Counting board),Yes,Other (Counting board),Yes,https://euclides.huma-num.fr/resourcebox/diagrams?key=bib-239 ; Also has segmented;,TRUE,,unrelated,unknown,unknown,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,secondary,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-8,1525,Nuremberg,GERMAN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
6PMNRZ,1526,Paris,LATIN,2,,,,Token (triange) + Other (Counting board),Token (triange) + Other (Counting board),Yes,Token (triange) + Other (Counting board),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-278,1527,Augsburg,GERMAN,,,,,,,No (has diagrams),No (has diagrams),Yes,"It's borderline ""diagrams""",TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Strasbourg_1529,1529,Strasbourg,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
C8SLYQ,1531,Simmern,GERMAN,2,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
ZQIHYL,1531,Lyon,LATIN,8,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,"(humanist) educational treatise; how a student should study, live, think, discipline the body and mind, and pursue scholarly excellence.",FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Paris_1532,1532,Paris,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
Nuremberg_1539,1539,Nuremberg,GERMAN,,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-1,1542,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
Z0K13S,1543,Nuremberg,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
ZN24V0,1543,Nuremberg,GERMAN,4,,,Geometrical,,,Yes,Geometrical,Yes,"e.g., p.81",TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
bib-9,1544,Strasbourg,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
QWCWLH,1545,Paris,"FRENCH, ITALIAN",4,,,Geometrical,,,Yes,Geometrical,Yes,"Architecture, includes chpaters on geometry/perspective; e.g., p.25, 79",TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-222,1546,London,ENGLISH,,,,,,Other (Counting board),Yes,Other (Counting board),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6X6R6Y,1547,Nuremberg,GERMAN,2,,,Geometrical + Other (Army layout) + Other (Ruller),,Geometrical + Other (Army layout) + Other (Ruller),Yes,Geometrical + Other (Army layout) + Other (Ruller),Yes,"There are specific sections on military, perspective, etc.",TRUE,,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,secondary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
bib-2,1547,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,Reprinted in ustc-44 ?,,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-211,1547,Antwerp,DUTCH,,,,,,,No (has diagrams),No (has diagrams),Yes,Reprint of bib-1?,,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-169,1552,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,primary,secondary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
5KCP5R,1553,Antwerp,DUTCH,2,,,Geometrical,,,Yes,Geometrical,Yes,"I'm sure I saw these diagrams before... Maybe QWCWLH? ; Dotted: e.g., p.25, 79",TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
bib-15,1554,Lyon,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-82,1554,Lyon,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,secondary,secondary,secondary,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated
ustc-44,1555,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,Probably a reprint? ; dotted in p. 66,,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-46,1555,Paris,FRENCH,,,,Geometrical (dividing lines),,,Yes,Geometrical (dividing lines),Yes,Dotted example: https://www.google.co.il/books/edition/Vsaige_Et_description_de_l_holometre_Pou/WvR1IBq2I9sC?hl=en&gbpv=1&pg=PA22&printsec=frontcover,TRUE,,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
bib-23,1556,Venice,ITALIAN,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
L8R7FQ,1556,Paris,FRENCH,4,,,,Tokens,,Yes,Tokens,Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-147,1557,Venice,ITALIAN,4,,,,,Other (Ruller),Yes,Other (Ruller),Yes,,TRUE,,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
6AMYTJ,1557,Paris,FRENCH,4,,,,Tokens,,Yes,Tokens,Yes,"Mainly arithmetic, but there is some geometrical reasoning mixed inside... Example for tokens: https://www.google.co.il/books/edition/Le_troysiesme_livre_de_l_arithmetique_de/o6Tz37lUZKwC?hl=en&gbpv=1&pg=PA2&printsec=frontcover",TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
