key,elements,year,language,editor,impossible_hypothetical_configurations,spatial_projection_visualizing_3d_in_2d,operational_traces_blind_construction_lines,compass_sweeps,constructional_reasoning_problem_propositions,explanatory_visual_aids_revealing_internal_logic,demonstrative_scaffolding_auxiliary_lines,diagrammatic_hierarchy_visual_subordination,explanatory_visual_aids_or_scaffold_revealing_internal_logic,numeric_examples_count_unit_squares,emphasis_visual_highlighting,invisible_physical_processes,infinite_extension
Paris_1564,yes,1564,FRENCH,Pierre Forcadel,I.43,,,,,,,,,,,,
Basel_1550,yes,1550,LATIN,Johannes Scheubel,"I.40, III.1, III.2, III.10, III.16, III.27, VI.7",,,,,,,,,,,,
Basel_1562,yes,1562,GERMAN,Wilhelm Xylander,,,,,,,,,,,,,
London_1570,yes,1570,ENGLISH,"Henry Billingsley, John Dee",,XII.17 (interesting),,,,,XII.17,VI.def.6 (interesting),,"VII.20, X.9 (interesting)",,,
Rome_1589,yes,1589,LATIN,Christopher Clavius,"II.12+13, VI.9",,"I.def.12, I.12",IV.5,IV.5 (interesting),,"I.27, I.47",,,,,,
Cologne_1591,yes,1591,LATIN,Christopher Clavius,I.39,,"I.def.12, I.1.Schol, I.9, I.12","I.9, I.12","I.10, I.12",,"I.12, XIII.17",,"I.35, I.40, III.11, III.12, XIII.17 (interesting)",,,,I.35 (interesting)
Paris_1598a,yes,1598,FRENCH,Jean Errard,,,,,III.25,,,,,,,,
Paris_1615,yes,1615,FRENCH,Denis Henrion,,,,,VI.18,,VI.18,,,,,,
QWCWLH,no,1545,"FRENCH, ITALIAN",Sebastiano Serlio,,P.99,"P.24-25, P.74, P.77",P.39,,P.36 (interesting),,"P.57, P.60 (interesting)",P.60 (interesting),,,,
Nuremberg_1539,no,1539,GERMAN,Wolfgang Schmid,,"Case 2 / p.21, p.22, p.65",Case 3 / p.68,Case 1 / p.2,,,,,Case 4 / p.76 (interesting),,,,
ZN24V0,no,1543,GERMAN,Augustin Hirschvogel,,P.17,,,,,,,,,,,
6X6R6Y,no,1547,GERMAN,Walther Hermann Ryff,,,,,,,,,,,,,
bib-46,no,1555,FRENCH,Abel Foullon,,,Instrumental graduations / scale divisions (interesting),,,,,,,,,,
2I9HSY,no,1560,FRENCH,Jean Cousin,,"P.62, P.136, P.141",,,,,,"P.62, P.64, P.136, P.141 (interesting)",,,,,
bib-4,no,1564,FRENCH,Jean Bullant,,,P.8,P.8,,,,,,,,,
YQDZSW,no,1565,FRENCH,Pierre Forcadel,P.43,,,,,,"P.40, P.43",,,,,,
Leiden_1606,yes,1606,DUTCH,Jan Pietersz Dou,,,,,III.17,,"I.13, II.1",,,,,,
Wittenberg_1609,yes,1609,LATIN,Ambrosius Rhode,,,,,,,"I.42, IV.6.lemma, VI.10",,,,,,
Ansbach_1610,yes,1610,"GERMAN, LATIN",Simon Marius,,,,,,,"III.24, VI.15",,I.13 (interesting),"II.10, III.31 (interesting)","I.13, I.28 (interesting)",,
Nuremberg_1625,yes,1625,GERMAN,Lucas Brunn,,,,,Die 29 Furgab,,,,,,,,
MorisS-9-3,no,1637,FRENCH,René Descartes,,,,,,,,,,,,P.11 (interesting),
Venice_1565,yes,1565,LATIN,Niccolò Tartaglia,,,I.def.2,,,,,,,,,,
Venice_1569,yes,1569,LATIN,Niccolò Tartaglia,,,I.def.2,,,,,,,,,,
Venice_1585,yes,1585,LATIN,Niccolò Tartaglia,,,I.def.2,,,,,,,,,,
Venice_1586,yes,1586,LATIN,Niccolò Tartaglia,,,I.def.2,,,,,,,,,,
Paris_1566,yes,1566,LATIN,François de Foix-Candale,,,,,,,,,,Book X (interesting),,,
Rome_1594,yes,1594,"ARABIC, LATIN",Nasir al-Din al-Tusi,,,,,,,,,,,,,
Vienna_1694,yes,1694,GERMAN,Anton Ernst Burckhard von Pirckenstein,,,,,,,I.9,,,,"I.3, I.9 (interesting)",,
Kiel_and_Leipzig_1699,yes,1699,GERMAN,Samuel Reyher,,,I.10,,,,"I.1, I.47, II.7",,,VI.17 (interesting),,,I.34 (interesting)
Hamburg_1633,yes,1633,DUTCH,Jacob Willemsz,I.7,,,,,,"I.1, II.6",,,,,,
Amsterdam_1695,yes,1695,DUTCH,Claas Janszen Vooght,,,,,,,,,,,"VI.16, X.99 (interesting)",,
Amsterdam_1702,yes,1702,DUTCH,Henrick Coets,,,,,,,,,,,,,
London_1651,yes,1651,ENGLISH,Thomas Rudd,,,,,,,,,,,,,
London_1685a,yes,1685,ENGLISH,"Claude-François Milliet Dechales, Reeve Williams",,"XI.40, XI.4, XI.34 (from synthesis; out of scope)",,,,,,,,,,,
Douai_1620,yes,1620,LATIN,Charles Malapert de Mons,,,,,,,,,,,,,
Douai_1625,yes,1625,LATIN,Charles Malapert de Mons,,,,,,,,,,,,,
Antwerp_1645,yes,1645,LATIN,Claude Richard,,,,,,,,,,,,,
Antwerp_1654,yes,1654,LATIN,André Tacquet,,,,,,,,,,,,,
Cambridge_1655,yes,1655,LATIN,Isaac Barrow,,,,,,,,,,,,,
