edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
bib-247,Additional Work,1484,Venice,ITALIAN,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,Pietro Borghi,Erhard Ratdolt,,,,,,,,,,neither
DDUZGF,Additional Work,1488,Augsburg,LATIN,4,,Tokens,,Yes,Tokens,Yes,,TRUE,,De institutione arithmetica,Erhard Ratdolt,Erhard Ratdolt,1,743530,,,,,,,,neither
bib-248,Additional Work,1491/1492,Florence,ITALIAN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,Aritmetica,Filippo Calandri,"Lorenzo Morgiani, Johann Petri",,996427,,,,,,,,neither
bib-14,Additional Work,1494,Venice,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"Somma di arithmetica, geometria, proporzioni e proporzionalità",Luca Pacioli,Paganino de’ Paganini,,,,,,,,,,neither
1496,Additional Work,1496,,LATIN,,,Tokens,,Yes,Tokens,Yes,Also discusses a board game (https://en.wikipedia.org/wiki/Rithmomachia),TRUE,,Arithmetica decem libris demonstrata,Jacques Lefèvre d'Étaples,,1,,,,,,,,,neither
bib-155,Additional Work,1503,Freiburg,LATIN,,,Tokens,,Yes,Tokens,Yes,Has arithmetical dotted lines (https://www.google.co.il/books/edition/Margarita_philosophica/VVEqTJwyCbUC?hl=en&gbpv=1&pg=PP175&printsec=frontcover); Discusses multiple subjects (I maybe missed a few); MS or print?; No geo dotted;,TRUE,,,Gregor Reisch,Johann Schott,,,,,,,,,,neither
bib-173,Additional Work,1503,Paris,LATIN,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,not a math text - logic?,FALSE,,,Jacques Lefèvre d'Étaples,"Hopyl, Stephanus",,,,,,,,,,neither
bib-174,Additional Work,1503,Paris,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,I'm not sure if practical or purely theoretical.... ; Annotations with token https://books.google.co.il/books?id=A_yT6uJjXxAC&pg=PA27#v=onepage&q&f=false,TRUE,,"Epitome compendiosaque introductio in libros arithmeticos divi Severini Boetii, adjecto familiari commentario dilucidata. Praxis numerandi certis quibusdam regulis constricta. Introductio in geometriam sex libris distincta","Charles de Bovelles, Jacques Lefèvre d'Étaples, Josse Clichtove","Wolfgang Hopyl, Henri Étienne",,142874,,,,,,,,neither
93PZQ5,Additional Work,1505,Toul,"LATIN, FRENCH",2,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,De artificiali perspectiva. Viator,Jean Pélerin,Pierre Jacobi,1,110627,,,,,,,,neither
XXI4KS,Additional Work,1509,Nuremberg,GERMAN,2,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,Von der kunnst perspectiva,"Jean Pélerin, Jörg Glockendon",Jörg Glockendon,1,703591,,,,,,,,neither
