title_page_key,classification_key,is_reprint_nonrepresentative,cluster_key
Alcala_1637,Alcala_1637,False,
Amsterdam_1616,Amsterdam_1616,False,
Amsterdam_1618,Amsterdam_1618,False,
Amsterdam_1626,Amsterdam_1626,False,
Amsterdam_1634,Amsterdam_1634,False,
Amsterdam_1660,Amsterdam_1660,False,
Amsterdam_1662,Amsterdam_1662,False,
Amsterdam_1683,Amsterdam_1683,False,
Amsterdam_1695,Amsterdam_1695,False,
Amsterdam_1697,Amsterdam_1697,False,
Amsterdam_1700,Amsterdam_1700,False,
Amsterdam_1700b,Amsterdam_1700b,False,
Ansbach_1610,Ansbach_1610,False,
Antwerp_1645,Antwerp_1645,False,
Antwerp_1654,Antwerp_1654,False,
Antwerp_1672,Antwerp_1672,False,
Arnhem_1603,Arnhem_1603,False,
Arnhem_1605,Arnhem_1605,False,
Arnhem_1605a,Arnhem_1605a,False,
Augsburg_1555,Augsburg_1555,False,
Bamberg_1677,Bamberg_1677,False,
Basel_1533,Basel_1533,False,
Basel_1537,Basel_1537,False,GY8NU4
Basel_1546,Basel_1537,True,GY8NU4
Basel_1550,Basel_1550,False,
Basel_1558,Basel_1537,True,GY8NU4
Basel_1562,Basel_1562,False,
Bologna_1629,Ingolstadt_1617,True,X65XY0
Bologna_1651,Bologna_1651,False,
Bologna_1651a,Bologna_1651a,False,
Bologna_1684,Bologna_1684,False,
Bologna_1686,Bologna_1686,False,
Brussels_1688,Brussels_1688,False,
Brussels_1689,Brussels_1689,False,
Cambridge_1655,Cambridge_1655,False,
Cambridge_1665,Cambridge_1665,False,
Cologne_1556,Cologne_1556,False,
Cologne_1564,Paris_1557,True,7BDH40
Cologne_1580,Cologne_1580,False,6TZUKK
Cologne_1587,Cologne_1580,True,6TZUKK
Cologne_1591,Cologne_1591,False,
Cologne_1600,Cologne_1600,False,
Cologne_1602,Cologne_1602,False,RRMFS9
Cologne_1607,Cologne_1607,False,
Cologne_1612,Cologne_1612,False,
Cologne_1627,Cologne_1627,False,
Douai_1620,Douai_1620,False,
Douai_1625,Douai_1625,False,U0105U
Douai_1633,Douai_1625,True,U0105U
Ferrara_1628,Ferrara_1628,False,
Florence_1690,Florence_1690,False,
Frankfurt_1607,Frankfurt_1607,False,
Frankfurt_1654,Frankfurt_1654,False,
Frankfurt_1674,Frankfurt_1674,False,
Geneva_1610,Lyon_1557,True,P3Y44J
Geneva_1611,Geneva_1611,False,XE7Q8U
Geneva_1628,Geneva_1611,True,XE7Q8U
Graz_1636,Graz_1636,False,
Hamburg_1633,Hamburg_1633,False,
Hamburg_1638,Hamburg_1638,False,
Ingolstadt_1617,Ingolstadt_1617,False,X65XY0
Kiel_Hamburg_and_Leipzig_1697,Kiel_Hamburg_and_Leipzig_1697,False,
Kiel_and_Leipzig_1699,Kiel_and_Leipzig_1699,False,
Lausanne_1683,Lausanne_1683,False,
Leiden_1606,Leiden_1606,False,
Leiden_1607,Leiden_1607,False,
Leiden_1617,Leiden_1617,False,
Leiden_1691,Leiden_1692,True,IJTAW0
Leiden_1692,Leiden_1692,False,IJTAW0
Leiden_and_Amsterdam_1673,Leiden_and_Amsterdam_1673,False,
Leipzig_1549,Leipzig_1549,False,
Leipzig_1577,Leipzig_1577,False,
London_1570,London_1570,False,
London_1620,London_1620,False,
London_1651,London_1651,False,
London_1654,London_1654,False,
London_1659,London_1659,False,
London_1660,London_1660,False,
London_1661,London_1661,False,
London_1678,London_1685,True,LKF40C
London_1680–81,London_1680–81,False,
London_1685,London_1685,False,LKF40C
London_1685a,London_1685a,False,
London_1686,London_1686,False,
London_1687,London_1678,True,LKF40C
London_1696,London_1696,False,
Lyon_1557,Lyon_1557,False,P3Y44J
Lyon_1645,Lyon_1645,False,
Lyon_1646,Lyon_1646,False,
Lyon_1660,Lyon_1660,False,
Lyon_1672,Lyon_1672,False,
Lyon_1674,Lyon_1674,False,
Lyon_1675,Lyon_1675,False,
Lyon_1690,Lyon_1690,False,
Lübeck_and_Frankfurt_1699,Lübeck_and_Frankfurt_1699,False,
Madrid_1665,Madrid_1665,False,
Milan_1671,Milan_1671,False,
Naples_1679,Naples_1679,False,
Osnabrück_1676,Osnabrück_1676,False,
Oxford_1685,Oxford_1685,False,
Oxford_1701,Oxford_1701,False,
Oxford_1703,Oxford_1703,False,
Oxford_London_1700,Oxford_London_1700,False,
Padua_1694,Padua_1694,False,
Paris_1516,Paris_1516,False,
Paris_1536,Paris_1536,False,511DB1
Paris_1544,Paris_1544,False,NWKWR7
Paris_1545,Paris_1545,False,
Paris_1549,Paris_1549,False,RJJ2ER
Paris_1551,Paris_1544,True,NWKWR7
Paris_1551a,Paris_1551a,False,
Paris_1552,Paris_1552,False,
Paris_1557,Paris_1557,False,7BDH40
Paris_1558,Paris_1558,False,
Paris_1558a,Paris_1549,True,RJJ2ER
Paris_1564,Paris_1564,False,
Paris_1565,Paris_1565,False,NMR5AW
Paris_1566,Paris_1566,False,
Paris_1566a,Paris_1566a,False,
Paris_1573,Paris_1573,False,JG2OCV
Paris_1578,Paris_1578,False,
Paris_1598,Paris_1573,True,JG2OCV
Paris_1598a,Paris_1598a,False,
Paris_1602,Cologne_1602,True,RRMFS9
Paris_1605,Paris_1605,False,
Paris_1609,Paris_1609,False,
Paris_1610,Paris_1610,False,8FLVS0
Paris_1612,Paris_1612,False,
Paris_1613,Paris_1610,True,8FLVS0
Paris_1615,Paris_1615,False,R1Q2YT
Paris_1621,Paris_1615,True,R1Q2YT
Paris_1622,Paris_1622,False,
Paris_1623,Paris_1623,False,
Paris_1624,Paris_1624,False,
Paris_1626a,Paris_1626a,False,
Paris_1629,Paris_1629,False,
Paris_1630,Paris_1630,False,
Paris_1631,Paris_1615,True,R1Q2YT
Paris_1632,Paris_1632,False,
Paris_1632a,Paris_1632a,False,
Paris_1634,Paris_1634,False,
Paris_1639,Paris_1639,False,
Paris_1640,Paris_1640,False,
Paris_1643,Paris_1643,False,
Paris_1643b,Paris_1643b,False,MBTNS7
Paris_1644,Paris_1644,False,
Paris_1644a,Paris_1643b,True,MBTNS7
Paris_1644b,Paris_1644b,False,
Paris_1644c,Paris_1644c,False,
Paris_1652,Paris_1652,False,
Paris_1654,Paris_1654,False,
Paris_1654a,Paris_1654a,False,
Paris_1675,Paris_1675,False,
Paris_1677a,Paris_1677a,False,
Paris_1682,Paris_1682,False,
Paris_1682a,Paris_1682a,False,
Paris_1683,Paris_1683,False,
Paris_1685,Paris_1685,False,
Paris_1690,Paris_1690,False,
Paris_1693,Paris_1693,False,
Paris_1697,Paris_1697,False,
Pesaro_1572,Pesaro_1572,False,
Pesaro_1619,Pesaro_1619,False,
Pesaro_1619a,Urbino_1575,True,O56JUE
Pisa_1658,Rome_1679,True,2LJ5VI
Rome_1545,Rome_1545,False,
Rome_1545a,Rome_1545a,False,
Rome_1574,Rome_1589,True,Y63G5P
Rome_1589,Rome_1589,False,Y63G5P
Rome_1594,Rome_1594,False,
Rome_1603,Rome_1603,False,
Rome_1629,Rome_1629,False,
Rome_1655,Rome_1655,False,
Rome_1680,Rome_1680,False,
Rotterdam_1632,Rotterdam_1632,False,
Rotterdam_1647,Rotterdam_1647,False,PEFQCG
Rotterdam_1661,Rotterdam_1661,False,
Rotterdam_1681,Rotterdam_1681,False,
Rouen_1649,Rouen_1649,False,
Rouen_1676,Rouen_1676,False,
Rouen_and_Paris_1677,Rouen_and_Paris_1677,False,
Rouen_and_Paris_1683,Rouen_and_Paris_1683,False,
Rouen_and_Paris_1685,Rouen_and_Paris_1685,False,
Seville_1576,Seville_1576,False,
Siena_1691,Siena_1691,False,
Strasbourg_1538,Strasbourg_1538,False,
Strasbourg_1559,Strasbourg_1559,False,
Strasbourg_1564,Strasbourg_1564,False,
Strasbourg_1564a,Strasbourg_1564a,False,
Strasbourg_1564b,Strasbourg_1564b,False,
Strasbourg_1566,Strasbourg_1566,False,
Strasbourg_1570,Strasbourg_1570,False,
Strasbourg_1570a,Strasbourg_1570a,False,
Strasbourg_1571,Strasbourg_1571,False,
Strasbourg_1571a,Strasbourg_1571a,False,
Strasbourg_1599,Strasbourg_1599,False,
The_Hague_1690,The_Hague_1690,False,
Urbino_1575,Urbino_1575,False,O56JUE
Utrecht_1647,Rotterdam_1647,True,PEFQCG
Utrecht_n.d,Utrecht_n.d,False,
Venice_1498a,Venice_1498a,False,
Venice_1505,Venice_1505,False,C3FKBW
Venice_1509,Venice_1509,False,
Venice_1510,Venice_1505,True,C3FKBW
Venice_1543,Venice_1565,True,1E9FSI
Venice_1565,Venice_1565,False,1E9FSI
Venice_1569,Venice_1569,False,
Venice_1575,Venice_1575,False,
Venice_1585,Venice_1565,True,1E9FSI
Venice_1586,Venice_1565,True,1E9FSI
Venice_1641,Venice_1641,False,
Vienna_1694,Vienna_1694,False,
Wittenberg_1564,Wittenberg_1564,False,
Wittenberg_1609,Wittenberg_1609,False,6E7B7F
Wittenberg_1634,Wittenberg_1609,True,6E7B7F
Wittenberg_1661,Wittenberg_1661,False,
Würzburg_1661,Würzburg_1661,False,
0CKY65,0CKY65,False,SD2Y3X
0NKS71,0NKS71,False,
10AUQ5,10AUQ5,False,
136K7I,136K7I,False,
144JC3,144JC3,False,
1496,1496,False,
1QQS64,RH6KEE,True,BJ5A61
22INUJ,22INUJ,False,
2BRI1Z,2BRI1Z,False,
2I9HSY,2I9HSY,False,
2L8L55,2L8L55,False,
35H84Y,35H84Y,False,
3WRC2Y,3WRC2Y,False,
3WV6N7,3WV6N7,False,
473J72,473J72,False,
4C287U,4C287U,False,
4TJF1A,E7J0Y4,True,IUOBOR
4ZSED7,4ZSED7,False,
56DVN2,Halle_1758,True,31E054
5J1UUA,5J1UUA,False,
5KCP5R,5KCP5R,False,
5V691B,5V691B,False,
5YK5ZF,5YK5ZF,False,
5ZF83O,5ZF83O,False,
612FNN,612FNN,False,
66HH5T,66HH5T,False,
6AMYTJ,6AMYTJ,False,T5RNN2
6MOFBH,6MOFBH,False,
6PMNRZ,6PMNRZ,False,
6X6R6Y,6X6R6Y,False,
6XTAVU,6XTAVU,False,
70Q8M8,70Q8M8,False,
77RUJE,77RUJE,False,
7UMG6X,bib-155,True,5BXTFG
7Y5IWJ,ZNLALU,True,KNYEAK
8DP4C1,8DP4C1,False,
93LJS8,93LJS8,False,
93PZQ5,93PZQ5,False,
99CARP,99CARP,False,
9D1KT8,9D1KT8,False,
9TXK4F,9TXK4F,False,
ABSZLW,ABSZLW,False,
AVXGNJ,AVXGNJ,False,
AWKSO4,AWKSO4,False,
Amsterdam_1652,Amsterdam_1652,False,
Amsterdam_1660a,Amsterdam_1660a,False,
Amsterdam_1672,Amsterdam_1672,False,
Amsterdam_1701,Amsterdam_1701,False,
Amsterdam_1701b,Amsterdam_1701b,False,
Amsterdam_1702,Amsterdam_1702,False,
Antwerp_1665,Antwerp_1665,False,
Arnhem_1620,Arnhem_1620,False,
B80KIT,B80KIT,False,
B9OW5O,B9OW5O,False,
BCYM68,BCYM68,False,
BFI81M,BFI81M,False,
BKH4JK,BKH4JK,False,
BQ96WF,BQ96WF,False,
Barcelona_1698,Barcelona_1698,False,
Basel_1546a,Basel_1546a,False,
Basel_1546b,Basel_1546b,False,
Basel_1570,Basel_1570,False,
Beaulieu-1,Beaulieu-1,False,
Beijing_1607,Beijing_1607,False,7BZII3
Beijing_1611,Beijing_1607,True,7BZII3
Beijing_1629,Beijing_1629,False,
Berlin_1824,Berlin_1824,False,
Bologna_1620,Bologna_1620,False,
Bologna_1629a,Bologna_1629a,False,
Bologna_1663,Bologna_1663,False,
Bologna_1693,Bologna_1693,False,
Brussels_1701,Brussels_1701,False,
C8SLYQ,C8SLYQ,False,24A2B4
CCS7QJ,HFRLRC,True,298FCC
CG8KPH,CG8KPH,False,
CYFAY3,CYFAY3,False,
Cambridge_1657,Cambridge_1657,False,
Cambridge_1703,Cambridge_1703,False,
Cologne_1607a,Cologne_1607a,False,
D40ZCO,D40ZCO,False,
D7OWCD,ZNLALU,True,KNYEAK
DA54XK,DA54XK,False,
DDUZGF,DDUZGF,False,
DMOHT7,DMOHT7,False,
DN10G5,C8SLYQ,True,24A2B4
E4JQEB,E4JQEB,False,
E7J0Y4,E7J0Y4,False,IUOBOR
E8K2CK,E8K2CK,False,
EFXRG3,EFXRG3,False,41B7F3
EJGRZN,EJGRZN,False,
EN496R,EN496R,False,
EW54CX,EW54CX,False,
Edinburgh_1795,Edinburgh_1795,False,
F2WVY3,Oxford_1705,True,TLOW8P
FA6MQ0,FA6MQ0,False,
Ferrara_1587,Ferrara_1587,False,
Florence_1573,Florence_1573,False,
Florence_1674,Florence_1674,False,
Frankfurt_1506,Frankfurt_1506,False,
G2T7OK,G2T7OK,False,
G5IUDY,G5IUDY,False,
GD0NV0,GD0NV0,False,
GDC2CP,GDC2CP,False,
GDIHEX,GDIHEX,False,
GGD02E,GGD02E,False,7918A9
GY5QLD,GY5QLD,False,
Glasgow_1756,Glasgow_1756,False,
HFRLRC,HFRLRC,False,298FCC
HZ5UVJ,Naples_1810,True,1E43FB
Halle_1758,Halle_1758,False,31E054
Hardy-1,Hardy-1,False,
Hardy-2,Hardy-2,False,
Hardy-3,Hardy-3,False,
Hardy-4,Hardy-4,False,
Hardy-5,Hardy-5,False,
Hardy-6,Hardy-6,False,
I9PE2Y,I9PE2Y,False,
IC4Y79,IC4Y79,False,
Innsbruck_1634,Innsbruck_1634,False,A6ANJ3
