cluster_key,item_count,earliest_year,latest_year,year_span,city_count,cities,language_count,languages,authors_editors,items
290080,2,1557,1610,53,2,Geneva | Lyon,1,LATIN,Jacques Peletier,Lyon_1557 | Geneva_1610
2CDFE7,2,1557,1610,53,2,Geneva | Lyon,1,LATIN,Jacques Peletier,Lyon_1557 | Geneva_1610
433EA3,2,1557,1610,53,2,Geneva | Lyon,1,LATIN,Jacques Peletier,Lyon_1557 | Geneva_1610
541676,2,1557,1610,53,2,Geneva | Lyon,1,LATIN,Jacques Peletier,Lyon_1557 | Geneva_1610
P3Y44J,2,1557,1610,53,2,Geneva | Lyon,1,LATIN,Jacques Peletier,Lyon_1557 | Geneva_1610
1583AD,2,1575,1619,44,2,Pesaro | Urbino,1,ITALIAN,"Federico Commandino, Valerio Spacciuoli",Urbino_1575 | Pesaro_1619a
21B89B,2,1575,1619,44,2,Pesaro | Urbino,1,ITALIAN,"Federico Commandino, Valerio Spacciuoli",Urbino_1575 | Pesaro_1619a
E87DB8,2,1575,1619,44,2,Pesaro | Urbino,1,ITALIAN,"Federico Commandino, Valerio Spacciuoli",Urbino_1575 | Pesaro_1619a
O56JUE,2,1575,1619,44,2,Pesaro | Urbino,1,ITALIAN,"Federico Commandino, Valerio Spacciuoli",Urbino_1575 | Pesaro_1619a
31AD31,2,1617,1629,12,2,Bologna | Ingolstadt,1,LATIN,Johann Lanz,Ingolstadt_1617 | Bologna_1629
7F0AFC,2,1617,1629,12,2,Bologna | Ingolstadt,1,LATIN,Johann Lanz,Ingolstadt_1617 | Bologna_1629
X65XY0,2,1617,1629,12,2,Bologna | Ingolstadt,1,LATIN,Johann Lanz,Ingolstadt_1617 | Bologna_1629
175D0F,2,1557,1564,7,2,Cologne | Paris,1,LATIN,"Jean Magnien, Étienne Gracile",Paris_1557 | Cologne_1564
6199F5,2,1557,1564,7,2,Cologne | Paris,1,LATIN,"Jean Magnien, Étienne Gracile",Paris_1557 | Cologne_1564
7908FD,2,1557,1564,7,2,Cologne | Paris,1,LATIN,"Jean Magnien, Étienne Gracile",Paris_1557 | Cologne_1564
7BDH40,2,1557,1564,7,2,Cologne | Paris,1,LATIN,"Jean Magnien, Étienne Gracile",Paris_1557 | Cologne_1564
7D4571,2,1557,1564,7,2,Cologne | Paris,1,LATIN,"Jean Magnien, Étienne Gracile",Paris_1557 | Cologne_1564
PEFQCG,2,1647,1647,0,2,Rotterdam | Utrecht,1,DUTCH,Jan Pietersz Dou,Rotterdam_1647 | Utrecht_1647
RRMFS9,2,1602,1602,0,2,Cologne | Paris,1,LATIN,François de Foix-Candale,Cologne_1602 | Paris_1602
1E9FSI,4,1543,1586,43,1,Venice,2,ITALIAN | LATIN,Niccolò Tartaglia,Venice_1543 | Venice_1565 | Venice_1585 | Venice_1586
GY8NU4,3,1537,1558,21,1,Basel,1,LATIN,Christian Herlin,Basel_1537 | Basel_1546 | Basel_1558
R1Q2YT,3,1615,1631,16,1,Paris,1,FRENCH,Denis Henrion,Paris_1615 | Paris_1621 | Paris_1631
LKF40C,3,1678,1687,9,1,London,1,LATIN,Isaac Barrow,London_1678 | London_1685 | London_1687
9ZQKIV,3,1527,1534,7,1,Paris,1,LATIN,Johannes de Sacrobosco,Paris_1527 | Paris_1531 | Paris_1534
5A9AEC,2,1629,1655,26,1,Rome,1,LATIN,"Christopher Clavius, Christoph Grienberger",Rome_1629 | Rome_1655
6E7B7F,2,1609,1634,25,1,Wittenberg,1,LATIN,Ambrosius Rhode,Wittenberg_1609 | Wittenberg_1634
JG2OCV,2,1573,1598,25,1,Paris,1,LATIN,"Jean Magnien, Étienne Gracile",Paris_1573 | Paris_1598
1A8E75,2,1537,1558,21,1,Basel,1,LATIN,Christian Herlin,Basel_1537 | Basel_1558
725DB7,2,1565,1586,21,1,Venice,1,LATIN,Niccolò Tartaglia,Venice_1565 | Venice_1586
33F276,2,1565,1585,20,1,Venice,1,LATIN,Niccolò Tartaglia,Venice_1565 | Venice_1585
70EC9A,2,1565,1585,20,1,Venice,1,LATIN,Niccolò Tartaglia,Venice_1565 | Venice_1585
7FA130,2,1565,1585,20,1,Venice,1,LATIN,Niccolò Tartaglia,Venice_1565 | Venice_1585
XE7Q8U,2,1611,1628,17,1,Geneva,1,FRENCH,"Jacques Peletier, Jean de Tournes",Geneva_1611 | Geneva_1628
3A47AD,2,1615,1631,16,1,Paris,1,FRENCH,Denis Henrion,Paris_1615 | Paris_1631
Y63G5P,2,1574,1589,15,1,Rome,1,LATIN,Christopher Clavius,Rome_1574 | Rome_1589
1543E2,2,1537,1546,9,1,Basel,1,LATIN,Christian Herlin,Basel_1537 | Basel_1546
