marker,metadata_elements_count,metadata_elements_denominator,metadata_elements_pct,non_elements_count,non_elements_denominator,non_elements_pct,elements_minus_non_elements_pct_points
Ancient authority/restoration,238,286,83.2,67,557,12.0,71.2
Canonical/textual identity,248,286,86.7,148,557,26.6,60.1
Method/demonstration/order,120,286,42.0,91,557,16.3,25.6
Any named deductive part,165,286,57.7,194,557,34.8,22.9
Ancient restoration,58,286,20.3,14,557,2.5,17.8
Translation/transfer,75,286,26.2,47,557,8.4,17.8
Translation/vernacular,48,286,16.8,15,557,2.7,14.1
Augmentation/composition,117,286,40.9,160,557,28.7,12.2
Selection/extraction,51,286,17.8,39,557,7.0,10.8
Jesuit,25,286,8.7,13,557,2.3,6.4
Access/clarity/pedagogy,45,286,15.7,52,557,9.3,6.4
Completeness/system,48,286,16.8,66,557,11.8,4.9
Augmentation/enrichment,47,286,16.4,70,557,12.6,3.9
Novelty/modernity,26,286,9.1,30,557,5.4,3.7
Demonstration/method,44,286,15.4,67,557,12.0,3.4
Ease/clarity,22,286,7.7,26,557,4.7,3.0
Students/learners,10,286,3.5,6,557,1.1,2.4
Math professor/lecturer,26,286,9.1,38,557,6.8,2.3
Visual aids,45,286,15.7,80,557,14.4,1.4
Abridgment/selection,11,286,3.8,15,557,2.7,1.2
Visual materiality,18,286,6.3,30,557,5.4,0.9
Correction/revision,20,286,7.0,35,557,6.3,0.7
Engineering/military schools,1,286,0.3,1,557,0.2,0.2
Military users,3,286,1.0,6,557,1.1,-0.0
Universities/academies,5,286,1.7,10,557,1.8,-0.0
Engineer/practitioner,5,286,1.7,11,557,2.0,-0.2
Surveyors/engineers,0,286,0.0,8,557,1.4,-1.4
General readers/lovers,11,286,3.8,29,557,5.2,-1.4
Royal/princely patron,4,286,1.4,26,557,4.7,-3.3
Utility/application,12,286,4.2,46,557,8.3,-4.1
Utility/practice/application,22,286,7.7,99,557,17.8,-10.1
