norm_verb,count
augmentee,28
corrigee,21
accessit,21
vermeerdert,18
added,18
reueue,15
oversien,13
augmente,12
contenant,10
verbetert,10
demonstrated,10
traduits,10
composee,10
traduicts,9
edita,9
verklaert,8
illustrata,8
recognita,8
illustrati,8
corrected,8
tradotti,7
compose,7
accesserunt,7
commentez,7
digesta,7
illustratus,7
translated,6
verrijckt,6
locupletati,6
donata,6
gestelt,6
verbeteret,6
over geset,6
complectens,6
adiecta,6
reveue,6
by gevoeght,5
illustrauit,5
demonstree,5
editi,5
emendati,5
contracti,5
imprime,5
made,5
aucta,5
corrige,5
traduit,5
divisee,5
beschreven,5
traduite,5
containing,5
augmented,5
overgeset,5
beschrieben,5
emendatior,4
uytgheleyt,4
verclaert,4
demonstre,4
explicata,4
geadmitteert,4
gegeben,4
additis,4
geordnet,4
interprete,4
edito,4
explaind,4
augmentez,4
ridotto,4
traduict,4
correctior,4
aucti,4
overgheset,4
distributa,4
accedunt,4
auctior,4
tiree,4
corrigez,3
getruckt,3
getranslateert,3
reueu,3
adioustez,3
emendata,3
tradvits,3
corretto,3
commente,3
recueillie,3
demonstrati,3
recogniti,3
restituta,3
polliciti,3
enrichie,3
composees,3
collati,3
published,3
dedie,3
dita,3
demonstrez,3
expliquez,3
addita,3
edit,3
annexed,3
erklaret,3
tire,3
conuersi,3
versa,3
ghegheven,3
adornata,3
traduicte,3
editus,3
uytgeleyt,3
inuente,3
revue,3
illustrated,3
disposita,3
adiecta sunt,3
written,3
castigata,3
adioustees,2
expliqvez,2
traduictz,2
eingerichtet,2
novvellement mise en lvmiere,2
enlarged,2
amended,2
invented,2
ghebracht,2
contracted,2
proposita,2
ge betert,2
purgati,2
tratti,2
demonstrata,2
compvesto,2
ristampate,2
composed,2
augmen tee,2
explained,2
ghecomponeert,2
inventee,2
bewiesen,2
accommodati,2
done,2
gheproeft,2
vertaelt,2
adiectus est,2
illustree,2
vermehrt,2
by gevoegt,2
ridotta,2
cauata da,2
conuersa,2
,2
adicto,2
restitutus,2
contexta,2
bygevoeght,2
dargegeben,2
uyt geleydt,2
collecta,2
descripte,2
rassettato,2
ristampato,2
aggiunta,2
subuersa,2
voluta,2
ordinata,2
te samen gevoeght,2
illustre,2
demonstratvs,2
te samen ghevoeght,2
fecit,2
calculated,2
expurgati,2
tradotte,2
finished,2
desumpta,2
digested,2
adjecta,2
additione,2
decerptum,2
emendat,2
prposita est,2
tradvicts,2
tradvict,2
dediez,2
reueus,2
restitues,2
op nieuws oversien,2
explicantur,2
vorgestellter,2
gevoeght,2
adiuncta,2
gedruckt,2
verteutscht,2
accedvnt,2
inventa,2
angefuget,2
diuisee,2
pubblicata,2
restituit,2
tradotta,2
are added,2
amplifiee,2
enrichy,2
edidit,2
uyt geleyt,2
geziert,2
represente,2
explique,2
ricorretta,2
ristampata,2
ridotti,2
collati sunt,2
restitvta,2
adimpletis,2
accommodauit,2
additvs,2
by gevoegde,2
ghevoecht,2
avcta,2
accommodavit,2
dicati,2
vertaald,2
aperitur,2
impressi,2
adiouste,2
apportando,1
dando,1
auctis,1
comprehensa,1
addidit,1
illustratis,1
elaborata,1
impressa,1
distribvta,1
nouvellement mis en lumiere,1
invente,1
si ristringono,1
ghetranslateert,1
zu sammen getzoge,1
aperuit,1
concinnauit,1
verbeterd,1
accre sciute,1
accresciuta,1
emissus,1
traduites,1
prestitit,1
reassettato,1
nuova aggiunta,1
enarrauit,1
composta,1
adioyned,1
sintrodvce,1
detersit,1
adjoyned,1
contenuz,1
proposees,1
augmentex,1
diuifee,1
reftablies,1
ampliate,1
aggionte,1
approvato,1
discutees,1
appresso,1
absque ulla demonstra tione ad nos transmissa,1
comprehended,1
iam tandem de monstrationibus confirmata,1
congesta,1
vvritten,1
named,1
explication,1
discoursed,1
reuieue,1
diuided,1
framed,1
composto,1
ben corretto,1
di nuouo aggionta,1
riuisto,1
solutum,1
solemniter propositum,1
continentur,1
scripta,1
dressez,1
diligentemente rassettato,1
renueu,1
bring,1
aufgesetzt,1
verfertiget,1
alla integrita ridotto,1
fruere,1
lege,1
eme,1
recens nato,1
intitu le,1
com mente,1
commen te,1
zusammen getragen,1
com mentes,1
tradvictz,1
enrichie de plusieurs figures,1
mise en lvmiere,1
dedicate,1
verfasst,1
nuovamente posta in lvce,1
diligente mente rassettato,1
revu,1
repur gata,1
inserees,1
recveillis,1
gemehret,1
durchsehen,1
erfunden,1
auct,1
stampato,1
expli catum,1
espositione,1
cauata,1
aggionta,1
est adjoute,1
reuiwed,1
fabricata,1
intexitur,1
accedit,1
gecorrigeert,1
grandement augmentee,1
voor oogen gestelt,1
a mis en lumiere,1
adjecto,1
intitulato,1
propositum,1
nuouamente stampato,1
accresciuto,1
emendatiorq,1
ghesuyvert,1
read publiquely,1
sette forth,1
mise,1
augmente e,1
emen dauit,1
perused,1
mise nouvel lement,1
intermixed,1
newly corrected,1
beautified,1
printed,1
making,1
compild,1
extracted,1
gheweest,1
begriffen,1
added by,1
vergadert,1
begrepen,1
tradotto,1
gheleert,1
afgedeeylt,1
beschreuen,1
recueu,1
aenghaende,1
traditur,1
confirmatur,1
ascriptus,1
expose,1
dirigido,1
adapted,1
diligently corrected,1
gedrukt,1
maken,1
recueue,1
geacht werden,1
enrichi de plus de quatre cens planches gravees en taille douce,1
expliquees en francois,1
tirees du grec,1
translatee,1
amplifiees,1
illustrees,1
augmente en plusieurs endroits,1
reveu,1
contenans,1
donati,1
applied to the art of printing,1
vermeedert,1
reveve,1
overzien,1
parte corretti,1
ge macht,1
annex,1
surveighed and reviewed,1
mis en lumiere,1
explained and applied,1
accommodatae,1
interpretat,1
geschriben,1
redvicte,1
design d,1
furnished,1
gesuyvert,1
diuise in cinque parti,1
primum excogitata,1
by voeghselen,1
revee,1
examind,1
mise en lumiere apres la mort de lautheur,1
altered,1
delivered,1
de nouveaux abregez,1
