classification_key,raw_verb,norm_verb
0NKS71,demonstrée,demonstree
22INUJ,MISE AV IOVR,mise av iovr
2L8L55,accefferunt,accefferunt
2L8L55,iterum expofita,iterum expofita
35H84Y,traducta,traducta
35H84Y,confirmata,confirmata
35H84Y,refertum,refertum
35H84Y,ornatum,ornatum
35H84Y,distributum,distributum
35H84Y,ACCESSIT,accessit
35H84Y,dicata,dicata
35H84Y,APPLICATVS,applicatvs
35H84Y,conditus,conditus
3WV6N7,TIREES,tirees
473J72,Demonstrated,demonstrated
5J1UUA,Reueue,reueue
5J1UUA,augmentee,augmentee
5KCP5R,Overgheset,overgheset
5KCP5R,Ghedruct,ghedruct
5KCP5R,doen,doen
5V691B,illustratur,illustratur
5V691B,demonstratur,demonstratur
5YK5ZF,traditurque,traditurque
6MOFBH,inventa,inventa
6PMNRZ,vindicata,vindicata
6X6R6Y,abgetheilet,abgetheilet
6XTAVU,ALTERATIONS,alterations
6XTAVU,ADDITIONS,additions
8DP4C1,ridotti,ridotti
9D1KT8,Ristampata,ristampata
9D1KT8,Ricorretta,ricorretta
ABSZLW,beschrieben,beschrieben
ABSZLW,erzehlet,erzehlet
ABSZLW,geziert,geziert
AVXGNJ,Getruckt,getruckt
Alcala_1637,Traducido,traducido
Alcala_1637,comentado,comentado
Amsterdam_1616,ghevoecht,ghevoecht
Amsterdam_1616,Overgeset,overgeset
Amsterdam_1616,verclaert,verclaert
Amsterdam_1616,uytgeleyt,uytgeleyt
Amsterdam_1616,oversien,oversien
Amsterdam_1616,verbetert,verbetert
Amsterdam_1616,vermeerdert,vermeerdert
Amsterdam_1618,angefüget,angefuget
Amsterdam_1618,verteutscht,verteutscht
Amsterdam_1626,ghevoecht,ghevoecht
Amsterdam_1626,Overgheset,overgheset
Amsterdam_1626,verclaert,verclaert
Amsterdam_1626,uytgheleyt,uytgheleyt
Amsterdam_1626,over-sien,over sien
Amsterdam_1626,verbetert,verbetert
Amsterdam_1626,vermeerdert,vermeerdert
