portfolio_category,portfolio_kind,name,total_representative_cases,metadata_elements_cases,non_elements_cases,elements_share_pct,cities,languages_first,formats,periods,elements_bookgroups,primary_subject_families,elements_keys,non_elements_keys,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social,claim_method_demonstration_order_elements_pct,claim_method_demonstration_order_non_elements_pct,claim_accessibility_clarity_pedagogy_elements_pct,claim_accessibility_clarity_pedagogy_non_elements_pct,claim_utility_practice_application_elements_pct,claim_utility_practice_application_non_elements_pct,claim_correction_revision_accuracy_elements_pct,claim_correction_revision_accuracy_non_elements_pct,claim_augmentation_enrichment_composition_elements_pct,claim_augmentation_enrichment_composition_non_elements_pct,claim_translation_vernacularization_transfer_elements_pct,claim_translation_vernacularization_transfer_non_elements_pct,claim_ancient_authority_restoration_elements_pct,claim_ancient_authority_restoration_non_elements_pct,claim_visual_material_aids_elements_pct,claim_visual_material_aids_non_elements_pct,claim_selection_extraction_abridgment_elements_pct,claim_selection_extraction_abridgment_non_elements_pct,pedagogical_school_arena_elements_pct,pedagogical_school_arena_non_elements_pct,court_state_service_arena_elements_pct,court_state_service_arena_non_elements_pct,military_fortification_arena_elements_pct,military_fortification_arena_non_elements_pct,professional_practical_arena_elements_pct,professional_practical_arena_non_elements_pct,religious_institutional_arena_elements_pct,religious_institutional_arena_non_elements_pct,learned_scholarly_arena_elements_pct,learned_scholarly_arena_non_elements_pct,general_public_lovers_arena_elements_pct,general_public_lovers_arena_non_elements_pct,patronage_prestige_arena_elements_pct,patronage_prestige_arena_non_elements_pct,no_visible_social_arena_elements_pct,no_visible_social_arena_non_elements_pct,sparse_canonical_identity_elements_pct,sparse_canonical_identity_non_elements_pct,procedural_pedagogical_identity_elements_pct,procedural_pedagogical_identity_non_elements_pct,composite_workshop_book_elements_pct,composite_workshop_book_non_elements_pct,utility_public_book_elements_pct,utility_public_book_non_elements_pct,humanist_transfer_book_elements_pct,humanist_transfer_book_non_elements_pct,method_access_book_elements_pct,method_access_book_non_elements_pct
bridge_portfolio,split_person,Denis Henrion,27,9,18,33.3,"Lyon | Paris | Rouen | Rouen, Paris",FRENCH,4 | 8,1600-1649 | 1650-1699,1-15 | 1–15 | 1–6,Cosmos/Earth | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military | Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military | Geometry/Theory | Instruments/Measurement | Cosmos/Earth | Instruments/Measurement | Instruments/Measurement | Cosmos/Earth | No primary family,Paris_1615 | Paris_1623 | Paris_1630 | Paris_1632 | Rouen_1649 | Rouen_1676 | Rouen_and_Paris_1677 | Rouen_and_Paris_1683 | Rouen_and_Paris_1685,MorisS-16-1 | MorisS-16-10 | MorisS-16-11 | MorisS-16-3 | MorisS-16-4 | MorisS-16-5 | MorisS-16-6 | MorisS-16-7 | ustc-18 | ustc-23 | ustc-26 | ustc-3 | ustc-33 | ustc-50 | ustc-55 | ustc-58 | ustc-59 | ustc-60,,claim_method_demonstration_order; claim_utility_practice_application,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer; claim_visual_material_aids,,professional_practical_arena,court_state_service_arena; learned_scholarly_arena; no_visible_social_arena; patronage_prestige_arena,0.0,16.7,33.3,5.6,0.0,27.8,77.8,22.2,88.9,44.4,88.9,33.3,100.0,11.1,44.4,22.2,11.1,5.6,0.0,0.0,11.1,11.1,0.0,0.0,0.0,5.6,0.0,0.0,66.7,50.0,0.0,0.0,11.1,27.8,33.3,44.4,0.0,5.6,100.0,0.0,77.8,38.9,0.0,16.7,88.9,11.1,0.0,5.6
bridge_portfolio,split_person,Pierre Forcadel,21,5,16,23.8,Paris,FRENCH,4 | 8,1550-1599,1-6 | 7-9,Applied Mechanics/Military | Arithmetic/Commerce | Cosmos/Earth | Geometry/Theory | Geometry/Theory | Instruments/Measurement | Instruments/Measurement | Music | No primary family,Paris_1564 | Paris_1565 | Paris_1566a | Paris_1566b | ZNLALU,0CKY65 | 0NKS71 | 5J1UUA | 6AMYTJ | E4JQEB | E7J0Y4 | LQNZBJ | TJONV6 | UEIZFO | X5YBIB | YBCWZV | YCXMIJ | YPQYIR | YQDZSW | bib-10 | bib-263,,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_utility_practice_application; claim_visual_material_aids,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,patronage_prestige_arena,court_state_service_arena; general_public_lovers_arena; learned_scholarly_arena; no_visible_social_arena; pedagogical_school_arena,0.0,43.8,0.0,6.2,0.0,6.2,0.0,18.8,40.0,43.8,60.0,12.5,60.0,12.5,0.0,12.5,40.0,25.0,60.0,43.8,60.0,68.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,43.8,60.0,43.8,0.0,18.8,40.0,31.2,0.0,0.0,20.0,0.0,20.0,25.0,0.0,0.0,40.0,6.2,0.0,0.0
small_crossover,split_person,Claude-François Milliet Dechales,17,16,1,94.1,"Amsterdam | Lausanne | London | Lyon | Oxford | Oxford, London | Paris",ENGLISH | FRENCH | LATIN,12 | 18 | 4 | 6 | 8,1650-1699 | 1700+,"1-6, 11-12 | 1–14 | 1–6, 11–12",Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military | No primary family | Visual/Spatial Arts | Applied Mechanics/Military,Amsterdam_1700 | Lausanne_1683 | London_1685a | London_1696 | London_1703 | Lyon_1660 | Lyon_1672 | Lyon_1674 | Lyon_1675 | Lyon_1690 | Oxford_1685 | Oxford_London_1700 | Paris_1677a | Paris_1682 | Paris_1683 | Paris_1690,bib-54,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_utility_practice_application,,claim_augmentation_enrichment_composition; claim_visual_material_aids,learned_scholarly_arena; no_visible_social_arena; patronage_prestige_arena,,religious_institutional_arena,68.8,0.0,68.8,0.0,50.0,0.0,37.5,0.0,43.8,100.0,0.0,0.0,100.0,0.0,12.5,100.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2,100.0,18.8,0.0,0.0,0.0,12.5,0.0,18.8,0.0,6.2,0.0,81.2,0.0,25.0,100.0,43.8,0.0,0.0,0.0,62.5,0.0
few_elements_many_non_elements_within_sample,split_person,Marin Mersenne,17,1,16,5.9,Paris,FRENCH | LATIN,4,1600-1649 | 1650-1699,1–18 (enunciations),Applied Mechanics/Military | Cosmos/Earth | Geometry/Theory | Geometry/Theory | Cosmos/Earth | Music | No primary family | Visual/Spatial Arts,Paris_1644c,MorisS-21-1 | MorisS-21-10 | MorisS-21-11 | MorisS-21-12 | MorisS-21-13 | MorisS-21-2 | MorisS-21-4 | MorisS-21-5 | MorisS-21-6 | MorisS-21-7 | MorisS-21-8 | MorisS-21-9 | bib-55 | ustc-24 | ustc-45 | ustc-5,,claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_utility_practice_application,,,learned_scholarly_arena; professional_practical_arena; religious_institutional_arena,no_visible_social_arena,0.0,6.2,0.0,0.0,0.0,6.2,0.0,0.0,0.0,12.5,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,6.2,0.0,6.2,0.0,0.0,0.0,0.0,100.0,87.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
bridge_portfolio,split_person,Jan Pietersz Dou,15,12,3,80.0,Amsterdam | Dordrecht | Leiden | Rotterdam,DUTCH | GERMAN,4 | 8,1600-1649 | 1650-1699 | 1700+,1-6 | 1–6,Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Geometry/Theory | Instruments/Measurement | Geometry/Theory | Instruments/Measurement | Cosmos/Earth | No primary family,Amsterdam_1616 | Amsterdam_1618 | Amsterdam_1626 | Amsterdam_1634 | Amsterdam_1700b | Amsterdam_1701 | Leiden_1606 | Leiden_1607 | Rotterdam_1632 | Rotterdam_1647 | Rotterdam_1661 | Rotterdam_1681,bib-205 | bib-209 | bib-210,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer; claim_utility_practice_application; claim_visual_material_aids,,,court_state_service_arena; general_public_lovers_arena; pedagogical_school_arena; professional_practical_arena,,no_visible_social_arena,100.0,0.0,41.7,0.0,33.3,0.0,66.7,0.0,75.0,0.0,16.7,0.0,100.0,0.0,66.7,0.0,66.7,0.0,41.7,0.0,8.3,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,100.0,0.0,75.0,0.0,0.0,0.0,16.7,0.0,41.7,0.0
bridge_portfolio,split_person,[No named author/editor],15,6,9,40.0,Basel | London | Paris | Simmern | Strasbourg | Venice,DUTCH | ENGLISH | FRENCH | GERMAN | GREEK | LATIN,2 | 6 | 8,1550-1599 | 1600-1649 | 1650-1699 | pre-1550,1 | 1-6,Arithmetic/Commerce | Arithmetic/Commerce | Music | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Geometry/Theory | Arithmetic/Commerce | Music | Geometry/Theory | Cosmos/Earth | Geometry/Theory | Visual/Spatial Arts | No primary family,Basel_1546a | Basel_1570 | Paris_1626b | Strasbourg_1559 | Venice_1491 | s.l_1650,C8SLYQ | bib-222 | bib-74 | ustc-17 | ustc-20 | ustc-27 | ustc-4 | ustc-52 | ustc-56,claim_ancient_authority_restoration; claim_method_demonstration_order; claim_translation_vernacularization_transfer,claim_accessibility_clarity_pedagogy; claim_selection_extraction_abridgment; claim_utility_practice_application,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_visual_material_aids,religious_institutional_arena,general_public_lovers_arena,no_visible_social_arena,16.7,0.0,0.0,22.2,0.0,11.1,33.3,22.2,33.3,44.4,16.7,0.0,33.3,0.0,33.3,11.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,11.1,0.0,0.0,66.7,88.9,0.0,11.1,0.0,11.1,33.3,33.3,0.0,11.1,16.7,0.0,0.0,0.0
bridge_portfolio,split_person,Christopher Clavius,13,9,4,69.2,Cologne | Frankfurt | Graz | Mainz | Rome,LATIN,12 | 2 | 4 | 8,1550-1599 | 1600-1649 | 1650-1699 | unknown,1-16 | 1-6 | 1–16 | 1–6,Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | No primary family,Cologne_1591 | Frankfurt_1607 | Frankfurt_1654 | Graz_1636 | Mainz_1611_1612 | Rome_1589 | Rome_1603 | Rome_1629 | Rome_1655,TDJC06 | X2T7PY | ZGOHUR | bib-6,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_selection_extraction_abridgment; claim_visual_material_aids,,claim_augmentation_enrichment_composition; claim_method_demonstration_order,learned_scholarly_arena,no_visible_social_arena,religious_institutional_arena,55.6,25.0,0.0,0.0,0.0,0.0,77.8,0.0,88.9,50.0,0.0,0.0,100.0,0.0,55.6,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,100.0,0.0,77.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Conrad Dasypodius,10,10,0,100.0,Strasbourg,GREEK | LATIN,4 | 8,1550-1599,1 | 1-6 | 1–15 | 2,Geometry/Theory | Geometry/Theory | Cosmos/Earth | No primary family | Visual/Spatial Arts | Cosmos/Earth | Music,Strasbourg_1557 | Strasbourg_1564 | Strasbourg_1564a | Strasbourg_1564b | Strasbourg_1566 | Strasbourg_1570 | Strasbourg_1570a | Strasbourg_1571 | Strasbourg_1571a | Strasbourg_1572,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,learned_scholarly_arena; no_visible_social_arena; pedagogical_school_arena,,,50.0,,0.0,,0.0,,0.0,,30.0,,80.0,,90.0,,10.0,,0.0,,40.0,,0.0,,0.0,,0.0,,0.0,,40.0,,0.0,,0.0,,60.0,,0.0,,40.0,,30.0,,0.0,,70.0,,0.0,
few_elements_many_non_elements_within_sample,split_person,Claude Hardy,9,1,8,11.1,Paris,FRENCH | GREEK,4,1600-1649,,Geometry/Theory | No primary family,Paris_1625,Hardy-1 | Hardy-2 | Hardy-3 | Hardy-4 | Hardy-5 | Hardy-6 | MorisS-15-1 | MorisS-15-2,claim_augmentation_enrichment_composition,claim_method_demonstration_order,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,court_state_service_arena; learned_scholarly_arena,no_visible_social_arena,,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,12.5,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Isaac Barrow,9,9,0,100.0,Cambridge | London | Osnabrück,ENGLISH | LATIN,12 | 6 | 8,1650-1699 | 1700+,1-15 | 1–15,Geometry/Theory | No primary family,Cambridge_1655 | Cambridge_1657 | London_1659 | London_1660 | London_1678 | London_1685 | London_1686 | London_1705 | Osnabrück_1676,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,,no_visible_social_arena; pedagogical_school_arena,,,100.0,,11.1,,0.0,,33.3,,22.2,,22.2,,100.0,,0.0,,11.1,,11.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,88.9,,0.0,,100.0,,22.2,,0.0,,22.2,,11.1,
