portfolio_kind,name,total_representative_cases,metadata_elements_cases,non_elements_cases,elements_share_pct,cities,languages_first,formats,periods,elements_bookgroups,primary_subject_families,elements_keys,non_elements_keys,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social,claim_method_demonstration_order_elements_pct,claim_method_demonstration_order_non_elements_pct,claim_accessibility_clarity_pedagogy_elements_pct,claim_accessibility_clarity_pedagogy_non_elements_pct,claim_utility_practice_application_elements_pct,claim_utility_practice_application_non_elements_pct,claim_correction_revision_accuracy_elements_pct,claim_correction_revision_accuracy_non_elements_pct,claim_augmentation_enrichment_composition_elements_pct,claim_augmentation_enrichment_composition_non_elements_pct,claim_translation_vernacularization_transfer_elements_pct,claim_translation_vernacularization_transfer_non_elements_pct,claim_ancient_authority_restoration_elements_pct,claim_ancient_authority_restoration_non_elements_pct,claim_visual_material_aids_elements_pct,claim_visual_material_aids_non_elements_pct,claim_selection_extraction_abridgment_elements_pct,claim_selection_extraction_abridgment_non_elements_pct,pedagogical_school_arena_elements_pct,pedagogical_school_arena_non_elements_pct,court_state_service_arena_elements_pct,court_state_service_arena_non_elements_pct,military_fortification_arena_elements_pct,military_fortification_arena_non_elements_pct,professional_practical_arena_elements_pct,professional_practical_arena_non_elements_pct,religious_institutional_arena_elements_pct,religious_institutional_arena_non_elements_pct,learned_scholarly_arena_elements_pct,learned_scholarly_arena_non_elements_pct,general_public_lovers_arena_elements_pct,general_public_lovers_arena_non_elements_pct,patronage_prestige_arena_elements_pct,patronage_prestige_arena_non_elements_pct,no_visible_social_arena_elements_pct,no_visible_social_arena_non_elements_pct,sparse_canonical_identity_elements_pct,sparse_canonical_identity_non_elements_pct,procedural_pedagogical_identity_elements_pct,procedural_pedagogical_identity_non_elements_pct,composite_workshop_book_elements_pct,composite_workshop_book_non_elements_pct,utility_public_book_elements_pct,utility_public_book_non_elements_pct,humanist_transfer_book_elements_pct,humanist_transfer_book_non_elements_pct,method_access_book_elements_pct,method_access_book_non_elements_pct
raw_author_or_editor,Denis Henrion,26,9,17,34.6,"Lyon | Paris | Rouen | Rouen, Paris",FRENCH,4 | 8,1600-1649 | 1650-1699,1-15 | 1–15 | 1–6,Cosmos/Earth | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military | Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military | Geometry/Theory | Instruments/Measurement | Cosmos/Earth | Instruments/Measurement | Instruments/Measurement | Cosmos/Earth | No primary family,Paris_1615 | Paris_1623 | Paris_1630 | Paris_1632 | Rouen_1649 | Rouen_1676 | Rouen_and_Paris_1677 | Rouen_and_Paris_1683 | Rouen_and_Paris_1685,MorisS-16-1 | MorisS-16-10 | MorisS-16-11 | MorisS-16-3 | MorisS-16-4 | MorisS-16-5 | MorisS-16-7 | ustc-18 | ustc-23 | ustc-26 | ustc-3 | ustc-33 | ustc-50 | ustc-55 | ustc-58 | ustc-59 | ustc-60,,claim_method_demonstration_order; claim_utility_practice_application,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,court_state_service_arena; learned_scholarly_arena; no_visible_social_arena; patronage_prestige_arena,0.0,17.6,33.3,5.9,0.0,29.4,77.8,17.6,88.9,41.2,88.9,35.3,100.0,11.8,44.4,23.5,11.1,5.9,0.0,0.0,11.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,66.7,52.9,0.0,0.0,11.1,23.5,33.3,47.1,0.0,5.9,100.0,0.0,77.8,41.2,0.0,17.6,88.9,11.8,0.0,5.9
raw_author_or_editor,Pierre Forcadel,17,4,13,23.5,Paris,FRENCH,4 | 8,1550-1599,1-6 | 7-9,Applied Mechanics/Military | Arithmetic/Commerce | Cosmos/Earth | Geometry/Theory | Instruments/Measurement | Music | No primary family,Paris_1564 | Paris_1565 | Paris_1566a | Paris_1566b,0CKY65 | 0NKS71 | 5J1UUA | 6AMYTJ | E4JQEB | E7J0Y4 | LQNZBJ | UEIZFO | YBCWZV | YCXMIJ | YPQYIR | YQDZSW | bib-263,,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_utility_practice_application,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,patronage_prestige_arena,court_state_service_arena; general_public_lovers_arena; learned_scholarly_arena; no_visible_social_arena; pedagogical_school_arena,0.0,38.5,0.0,7.7,0.0,7.7,0.0,7.7,50.0,30.8,50.0,7.7,75.0,15.4,0.0,0.0,50.0,30.8,75.0,53.8,75.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,75.0,53.8,75.0,53.8,0.0,7.7,25.0,30.8,0.0,0.0,25.0,0.0,25.0,7.7,0.0,0.0,50.0,7.7,0.0,0.0
raw_author_or_editor,Marin Mersenne,16,1,15,6.2,Paris,FRENCH | LATIN,4,1600-1649 | 1650-1699,1–18 (enunciations),Applied Mechanics/Military | Cosmos/Earth | Geometry/Theory | Geometry/Theory | Cosmos/Earth | Music | No primary family,Paris_1644c,MorisS-21-1 | MorisS-21-10 | MorisS-21-11 | MorisS-21-12 | MorisS-21-13 | MorisS-21-2 | MorisS-21-4 | MorisS-21-5 | MorisS-21-6 | MorisS-21-7 | MorisS-21-8 | MorisS-21-9 | ustc-24 | ustc-45 | ustc-5,,claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,,learned_scholarly_arena; religious_institutional_arena,no_visible_social_arena,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,6.7,0.0,0.0,0.0,0.0,100.0,93.3,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0
raw_author_or_editor,[No named author/editor],15,6,9,40.0,Basel | London | Paris | Simmern | Strasbourg | Venice,DUTCH | ENGLISH | FRENCH | GERMAN | GREEK | LATIN,2 | 6 | 8,1550-1599 | 1600-1649 | 1650-1699 | pre-1550,1 | 1-6,Arithmetic/Commerce | Arithmetic/Commerce | Music | Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Geometry/Theory | Arithmetic/Commerce | Music | Geometry/Theory | Cosmos/Earth | Geometry/Theory | Visual/Spatial Arts | No primary family,Basel_1546a | Basel_1570 | Paris_1626b | Strasbourg_1559 | Venice_1491 | s.l_1650,C8SLYQ | bib-222 | bib-74 | ustc-17 | ustc-20 | ustc-27 | ustc-4 | ustc-52 | ustc-56,claim_ancient_authority_restoration; claim_method_demonstration_order; claim_translation_vernacularization_transfer,claim_accessibility_clarity_pedagogy; claim_selection_extraction_abridgment; claim_utility_practice_application,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_visual_material_aids,religious_institutional_arena,general_public_lovers_arena,no_visible_social_arena,16.7,0.0,0.0,22.2,0.0,11.1,33.3,22.2,33.3,44.4,16.7,0.0,33.3,0.0,33.3,11.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,11.1,0.0,0.0,66.7,88.9,0.0,11.1,0.0,11.1,33.3,33.3,0.0,11.1,16.7,0.0,0.0,0.0
raw_author_or_editor,Claude-François Milliet Dechales,14,13,1,92.9,"Amsterdam | Lausanne | London | Lyon | Oxford | Oxford, London | Paris",ENGLISH | FRENCH | LATIN,12 | 18 | 4 | 6 | 8,1650-1699 | 1700+,"1-6, 11-12 | 1–6, 11–12",Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military | No primary family | Visual/Spatial Arts | Applied Mechanics/Military,Amsterdam_1700 | Lausanne_1683 | London_1696 | Lyon_1660 | Lyon_1672 | Lyon_1674 | Lyon_1675 | Oxford_1685 | Oxford_London_1700 | Paris_1677a | Paris_1682 | Paris_1683 | Paris_1690,bib-54,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_utility_practice_application,claim_visual_material_aids,claim_augmentation_enrichment_composition,learned_scholarly_arena; no_visible_social_arena; patronage_prestige_arena,,religious_institutional_arena,69.2,0.0,69.2,0.0,61.5,0.0,30.8,0.0,38.5,100.0,0.0,0.0,100.0,0.0,0.0,100.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,100.0,15.4,0.0,0.0,0.0,15.4,0.0,23.1,0.0,7.7,0.0,84.6,0.0,15.4,100.0,53.8,0.0,0.0,0.0,61.5,0.0
raw_author_or_editor,Jan Pietersz Dou,11,10,1,90.9,Amsterdam | Dordrecht | Leiden | Rotterdam,DUTCH,4 | 8,1600-1649 | 1650-1699 | 1700+,1-6 | 1–6,Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | No primary family,Amsterdam_1616 | Amsterdam_1626 | Amsterdam_1700b | Amsterdam_1701 | Leiden_1606 | Leiden_1607 | Rotterdam_1632 | Rotterdam_1647 | Rotterdam_1661 | Rotterdam_1681,bib-205,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer; claim_utility_practice_application; claim_visual_material_aids,,,court_state_service_arena; general_public_lovers_arena; pedagogical_school_arena; professional_practical_arena,,no_visible_social_arena,100.0,0.0,50.0,0.0,40.0,0.0,80.0,0.0,80.0,0.0,20.0,0.0,100.0,0.0,60.0,0.0,80.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,100.0,0.0,80.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0
raw_author_or_editor,Christopher Clavius,10,6,4,60.0,Cologne | Frankfurt | Mainz | Rome,LATIN,2 | 4 | 8,1550-1599 | 1600-1649 | 1650-1699 | unknown,1-16 | 1–16,Geometry/Theory | Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | No primary family,Cologne_1591 | Frankfurt_1607 | Frankfurt_1654 | Mainz_1611_1612 | Rome_1589 | Rome_1603,TDJC06 | X2T7PY | ZGOHUR | bib-6,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_selection_extraction_abridgment; claim_visual_material_aids,,claim_augmentation_enrichment_composition; claim_method_demonstration_order,,no_visible_social_arena,religious_institutional_arena,83.3,25.0,0.0,0.0,0.0,0.0,100.0,0.0,83.3,50.0,0.0,0.0,100.0,0.0,83.3,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,100.0,0.0,83.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_author_or_editor,Claude Hardy,9,1,8,11.1,Paris,FRENCH | GREEK,4,1600-1649,,Geometry/Theory | No primary family,Paris_1625,Hardy-1 | Hardy-2 | Hardy-3 | Hardy-4 | Hardy-5 | Hardy-6 | MorisS-15-1 | MorisS-15-2,claim_augmentation_enrichment_composition,claim_method_demonstration_order,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,court_state_service_arena; learned_scholarly_arena,no_visible_social_arena,,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,12.5,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
raw_author_or_editor,Conrad Dasypodius,9,9,0,100.0,Strasbourg,GREEK | LATIN,4 | 8,1550-1599,1 | 1–15 | 2,Geometry/Theory | Geometry/Theory | Cosmos/Earth | No primary family | Visual/Spatial Arts | Cosmos/Earth | Music,Strasbourg_1557 | Strasbourg_1564 | Strasbourg_1564a | Strasbourg_1564b | Strasbourg_1570 | Strasbourg_1570a | Strasbourg_1571 | Strasbourg_1571a | Strasbourg_1572,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,learned_scholarly_arena; no_visible_social_arena; pedagogical_school_arena,,,55.6,,0.0,,0.0,,0.0,,22.2,,88.9,,88.9,,11.1,,0.0,,44.4,,0.0,,0.0,,0.0,,0.0,,44.4,,0.0,,0.0,,55.6,,0.0,,44.4,,22.2,,0.0,,77.8,,0.0,
raw_author_or_editor,François Viète,9,0,9,0.0,Paris | Tours,FRENCH | LATIN,,1550-1599 | 1600-1649,,Geometry/Theory,,Tours_1593 | bib-64 | bib-65 | bib-66 | bib-67 | ustc-19 | ustc-47 | ustc-48 | ustc-49,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,,court_state_service_arena; learned_scholarly_arena; no_visible_social_arena,,,44.4,,0.0,,0.0,,0.0,,44.4,,44.4,,11.1,,0.0,,0.0,,0.0,,11.1,,0.0,,0.0,,0.0,,33.3,,0.0,,0.0,,55.6,,11.1,,0.0,,44.4,,0.0,,0.0,,0.0
