classification_key,subject,final_value,classification_source,source_revision,source_id
0CKY65,Architecture,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Arithmetic,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Astronomy,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Cartography,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Commercial Mathematics,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Construction,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Cosmography,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Geography,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Gnomonics & Horology,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Instrument Construction,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Instrument Use,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Mechanics,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Military Engineering,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Music Theory,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Navigation,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Perspective,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Practical Geometry,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Surveying,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Theoretical Mathematics,secondary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0CKY65,Trigonometry,unrelated,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_m3rp8u
0NKS71,Architecture,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Arithmetic,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Astronomy,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Cartography,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Commercial Mathematics,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Construction,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Cosmography,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Geography,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Gnomonics & Horology,primary,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Instrument Construction,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Instrument Use,secondary,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Mechanics,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Military Engineering,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Music Theory,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Navigation,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Perspective,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Practical Geometry,secondary,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
0NKS71,Surveying,unrelated,old_155_handoff,final_hybrid_v1_2026_06_03,final_hybrid_handoff
