title_page_key,classification_key,is_reprint_nonrepresentative,cluster_key,short_title,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry
Alcala_1637,Alcala_1637,False,,,1637,Alcala,"DUTCH, LATIN",Luis Carducci,,4,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Amsterdam_1616,Amsterdam_1616,False,,,1616,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz.,8,1,,,,Practical Geometry | Theoretical Mathematics,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
Amsterdam_1618,Amsterdam_1618,False,,,1618,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",Wilhelm Janss,4,1,,,,,Practical Geometry,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
Amsterdam_1626,Amsterdam_1626,False,,,1626,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz. Blaeuw,8,1,-,,,,Practical Geometry,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
Amsterdam_1634,Amsterdam_1634,False,,"Die sechs ersten Bücher Euclidis, Deß Hochgelährten weitberümbten, Griechischen Philosophi und Mathematici: Von den Anfängen und fundamenten der Geometriae : Dabey dann mancherley auß diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Specie",1634,Amsterdam,"GERMAN, LATIN","Jan Pietersz Dou, Sebastian Curtius",Ioann Iansz,8,1,2022211,,,Theoretical Mathematics,Practical Geometry,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Amsterdam_1660,Amsterdam_1660,False,,,1660,Amsterdam,DUTCH,Jacob Willemsz,Jan van Ravesteyn,4,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1662,Amsterdam_1662,False,,,1662,Amsterdam,DUTCH,Frans van Schooten,Iacob van Leest,12,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1683,Amsterdam_1683,False,,,1683,Amsterdam,LATIN,André Tacquet,Henricum Wetstenium,8,1,,,,Theoretical Mathematics,,Mechanics,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1695,Amsterdam_1695,False,,,1695,Amsterdam,DUTCH,Claas Janszen Vooght,Johannes van Keulen,4,1,-,,,Theoretical Mathematics,,Navigation,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1697,Amsterdam_1697,False,,,1697,Amsterdam,FRENCH,Jacques Ozanam,George Gallet,8,5,,,,Arithmetic | Theoretical Mathematics | Trigonometry,,,3,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary
Amsterdam_1700,Amsterdam_1700,False,,,1700,Amsterdam,FRENCH,Claude-François Milliet Dechales,Estienne Roger,12,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Amsterdam_1700b,Amsterdam_1700b,False,,,1700,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,8,1,-,,,Theoretical Mathematics,Practical Geometry,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Ansbach_1610,Ansbach_1610,False,,Die ersten sechs Bücher Elementorum Euclidis,1610,Ansbach,"GERMAN, LATIN",Simon Marius,Paulum Böhm,2,1,,,,Practical Geometry | Theoretical Mathematics,Construction | Surveying,Arithmetic | Military Engineering,2,2,2,unrelated,unknown,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,primary,secondary,primary,unrelated
