person,controlled_pairs,strict_same_format_pairs,elements_cases,non_elements_cases,elements_case_count,non_elements_case_count,claim_deltas_25pp_or_more,social_deltas_25pp_or_more
Christopher Clavius,2,0,Rome_1589 | Rome_1603,X2T7PY | bib-6,2,2,claim_method_demonstration_order:+100pp; claim_correction_revision_accuracy:+100pp; claim_ancient_authority_restoration:+100pp; claim_visual_material_aids:+100pp,
Claude-François Milliet Dechales,2,0,Paris_1677a | Paris_1682,bib-54,2,1,claim_method_demonstration_order:+100pp; claim_accessibility_clarity_pedagogy:+50pp; claim_utility_practice_application:+50pp; claim_augmentation_enrichment_composition:-50pp; claim_ancient_authority_restoration:+100pp; claim_visual_material_aids:-100pp,
Denis Henrion,30,0,Paris_1615 | Paris_1623 | Paris_1630 | Paris_1632,MorisS-16-1 | MorisS-16-11 | MorisS-16-3 | MorisS-16-4 | MorisS-16-5 | MorisS-16-6 | MorisS-16-7 | ustc-18 | ustc-23 | ustc-26 | ustc-3 | ustc-33 | ustc-50 | ustc-55 | ustc-58 | ustc-59 | ustc-60,4,17,claim_utility_practice_application:-30pp; claim_correction_revision_accuracy:+60pp; claim_augmentation_enrichment_composition:+43pp; claim_translation_vernacularization_transfer:+67pp; claim_ancient_authority_restoration:+93pp,court_state_service_arena:+37pp; learned_scholarly_arena:+43pp; no_visible_social_arena:-37pp
Federico Commandino,1,0,Pesaro_1572,bib-42,1,1,claim_augmentation_enrichment_composition:+100pp; claim_translation_vernacularization_transfer:+100pp; claim_ancient_authority_restoration:+100pp; claim_visual_material_aids:+100pp,
Honorat de Meynier,1,0,Paris_1624,Paris_1626,1,1,claim_utility_practice_application:-100pp,
Jacques Ozanam,4,0,Paris_1693 | Paris_1697,bib-250 | bib-58 | bib-80,2,3,claim_method_demonstration_order:-25pp; claim_accessibility_clarity_pedagogy:-25pp; claim_utility_practice_application:-50pp; claim_correction_revision_accuracy:+25pp; claim_augmentation_enrichment_composition:-50pp; claim_ancient_authority_restoration:+100pp,military_fortification_arena:+100pp; professional_practical_arena:-25pp; general_public_lovers_arena:+100pp; no_visible_social_arena:-75pp
Jean Errard,4,0,Paris_1598a | Paris_1605,bib-280 | ustc-29,2,2,claim_correction_revision_accuracy:+50pp; claim_augmentation_enrichment_composition:+100pp; claim_ancient_authority_restoration:+100pp; claim_selection_extraction_abridgment:+100pp,
Marin Mersenne,3,0,Paris_1644c,MorisS-21-10 | MorisS-21-11 | MorisS-21-12,1,3,claim_augmentation_enrichment_composition:-33pp,
Oronce Finé,1,0,Paris_1536,Paris_1532,1,1,claim_method_demonstration_order:+100pp; claim_utility_practice_application:-100pp; claim_correction_revision_accuracy:+100pp; claim_translation_vernacularization_transfer:+100pp; claim_ancient_authority_restoration:+100pp,
Pierre Bourdín,1,0,Paris_1643,bib-37,1,1,claim_method_demonstration_order:+100pp; claim_accessibility_clarity_pedagogy:+100pp; claim_ancient_authority_restoration:+100pp; claim_selection_extraction_abridgment:+100pp,
Pierre Forcadel,38,15,Paris_1564 | Paris_1565 | Paris_1566a | Paris_1566b | ZNLALU,0CKY65 | 0NKS71 | 6AMYTJ | E4JQEB | E7J0Y4 | UEIZFO | YBCWZV | YCXMIJ | YPQYIR | YQDZSW | bib-10 | bib-263,5,12,claim_method_demonstration_order:-42pp; claim_translation_vernacularization_transfer:+50pp; claim_ancient_authority_restoration:+37pp,court_state_service_arena:-32pp; no_visible_social_arena:+32pp
Pierre de la Ramée,1,0,Paris_1545,bib-177,1,1,claim_ancient_authority_restoration:+100pp,
Thomas Rudd,1,0,London_1651,bib-133,1,1,claim_utility_practice_application:-100pp; claim_ancient_authority_restoration:+100pp; claim_visual_material_aids:-100pp,pedagogical_school_arena:-100pp; military_fortification_arena:+100pp; learned_scholarly_arena:-100pp
