corpus,field,bucket,part,count,denominator,pct
all,period,1550-1599,scholia_commentary,23,180,12.8
all,period,1550-1599,demonstrations_proofs,20,180,11.1
all,period,1550-1599,figures_diagrams,11,180,6.1
all,period,1550-1599,principles,10,180,5.6
all,period,1550-1599,propositions,8,180,4.4
all,period,1550-1599,notes_observations,7,180,3.9
all,period,1550-1599,enunciations,5,180,2.8
all,period,1550-1599,examples,4,180,2.2
all,period,1550-1599,operations_constructions,4,180,2.2
all,period,1550-1599,theorems,2,180,1.1
all,period,1550-1599,definitions,1,180,0.6
all,period,1550-1599,problems,1,180,0.6
all,period,1600-1649,demonstrations_proofs,33,323,10.2
all,period,1600-1649,figures_diagrams,26,323,8.0
all,period,1600-1649,scholia_commentary,26,323,8.0
all,period,1600-1649,notes_observations,18,323,5.6
all,period,1600-1649,operations_constructions,14,323,4.3
all,period,1600-1649,theorems,14,323,4.3
all,period,1600-1649,principles,13,323,4.0
all,period,1600-1649,problems,13,323,4.0
all,period,1600-1649,propositions,12,323,3.7
all,period,1600-1649,examples,8,323,2.5
all,period,1600-1649,definitions,3,323,0.9
all,period,1600-1649,enunciations,3,323,0.9
all,period,1600-1649,paradoxes,2,323,0.6
all,period,1600-1649,axioms_common_notions,1,323,0.3
all,period,1600-1649,corollaries,1,323,0.3
all,period,1650-1699,demonstrations_proofs,36,203,17.7
all,period,1650-1699,propositions,27,203,13.3
all,period,1650-1699,theorems,17,203,8.4
all,period,1650-1699,figures_diagrams,16,203,7.9
all,period,1650-1699,principles,14,203,6.9
all,period,1650-1699,scholia_commentary,13,203,6.4
all,period,1650-1699,notes_observations,8,203,3.9
all,period,1650-1699,problems,7,203,3.4
all,period,1650-1699,operations_constructions,5,203,2.5
all,period,1650-1699,axioms_common_notions,1,203,0.5
all,period,1650-1699,corollaries,1,203,0.5
all,period,1650-1699,definitions,1,203,0.5
all,period,1650-1699,examples,1,203,0.5
all,period,1700+,demonstrations_proofs,9,55,16.4
all,period,1700+,figures_diagrams,7,55,12.7
all,period,1700+,principles,6,55,10.9
all,period,1700+,propositions,6,55,10.9
all,period,1700+,notes_observations,4,55,7.3
all,period,1700+,theorems,4,55,7.3
all,period,1700+,operations_constructions,3,55,5.5
all,period,1700+,problems,3,55,5.5
all,period,1700+,scholia_commentary,2,55,3.6
all,period,1700+,corollaries,1,55,1.8
all,period,1700+,definitions,1,55,1.8
all,period,1700+,examples,1,55,1.8
all,period,pre-1550,scholia_commentary,11,81,13.6
all,period,pre-1550,demonstrations_proofs,4,81,4.9
all,period,pre-1550,figures_diagrams,4,81,4.9
all,period,pre-1550,notes_observations,2,81,2.5
all,period,pre-1550,corollaries,1,81,1.2
all,period,pre-1550,examples,1,81,1.2
all,period,pre-1550,principles,1,81,1.2
all,period,pre-1550,problems,1,81,1.2
all,period,pre-1550,propositions,1,81,1.2
all,period,pre-1550,theorems,1,81,1.2
elements,period,1550-1599,scholia_commentary,13,55,23.6
elements,period,1550-1599,demonstrations_proofs,8,55,14.5
elements,period,1550-1599,propositions,7,55,12.7
elements,period,1550-1599,enunciations,5,55,9.1
elements,period,1550-1599,notes_observations,3,55,5.5
elements,period,1550-1599,principles,3,55,5.5
elements,period,1550-1599,examples,2,55,3.6
elements,period,1550-1599,operations_constructions,1,55,1.8
elements,period,1600-1649,demonstrations_proofs,19,75,25.3
elements,period,1600-1649,figures_diagrams,10,75,13.3
elements,period,1600-1649,principles,10,75,13.3
elements,period,1600-1649,scholia_commentary,10,75,13.3
elements,period,1600-1649,notes_observations,5,75,6.7
elements,period,1600-1649,enunciations,3,75,4.0
elements,period,1600-1649,propositions,3,75,4.0
elements,period,1600-1649,definitions,2,75,2.7
elements,period,1600-1649,axioms_common_notions,1,75,1.3
elements,period,1600-1649,corollaries,1,75,1.3
elements,period,1600-1649,examples,1,75,1.3
elements,period,1600-1649,problems,1,75,1.3
elements,period,1600-1649,theorems,1,75,1.3
elements,period,1650-1699,demonstrations_proofs,24,83,28.9
elements,period,1650-1699,propositions,13,83,15.7
elements,period,1650-1699,theorems,12,83,14.5
elements,period,1650-1699,principles,8,83,9.6
elements,period,1650-1699,scholia_commentary,6,83,7.2
elements,period,1650-1699,figures_diagrams,5,83,6.0
elements,period,1650-1699,corollaries,1,83,1.2
elements,period,1650-1699,definitions,1,83,1.2
elements,period,1650-1699,notes_observations,1,83,1.2
elements,period,1700+,demonstrations_proofs,7,40,17.5
elements,period,1700+,figures_diagrams,5,40,12.5
elements,period,1700+,principles,5,40,12.5
elements,period,1700+,propositions,5,40,12.5
elements,period,1700+,theorems,4,40,10.0
elements,period,1700+,notes_observations,2,40,5.0
elements,period,1700+,operations_constructions,2,40,5.0
elements,period,1700+,problems,2,40,5.0
elements,period,1700+,scholia_commentary,2,40,5.0
elements,period,1700+,corollaries,1,40,2.5
elements,period,1700+,definitions,1,40,2.5
elements,period,pre-1550,scholia_commentary,8,32,25.0
elements,period,pre-1550,demonstrations_proofs,2,32,6.2
elements,period,pre-1550,figures_diagrams,1,32,3.1
elements,period,pre-1550,principles,1,32,3.1
elements,period,pre-1550,problems,1,32,3.1
elements,period,pre-1550,propositions,1,32,3.1
non_elements,period,1550-1599,demonstrations_proofs,12,125,9.6
non_elements,period,1550-1599,figures_diagrams,11,125,8.8
non_elements,period,1550-1599,scholia_commentary,10,125,8.0
non_elements,period,1550-1599,principles,7,125,5.6
non_elements,period,1550-1599,notes_observations,4,125,3.2
non_elements,period,1550-1599,operations_constructions,3,125,2.4
non_elements,period,1550-1599,examples,2,125,1.6
non_elements,period,1550-1599,theorems,2,125,1.6
non_elements,period,1550-1599,definitions,1,125,0.8
non_elements,period,1550-1599,problems,1,125,0.8
non_elements,period,1550-1599,propositions,1,125,0.8
non_elements,period,1600-1649,figures_diagrams,16,248,6.5
non_elements,period,1600-1649,scholia_commentary,16,248,6.5
non_elements,period,1600-1649,demonstrations_proofs,14,248,5.6
non_elements,period,1600-1649,operations_constructions,14,248,5.6
non_elements,period,1600-1649,notes_observations,13,248,5.2
non_elements,period,1600-1649,theorems,13,248,5.2
non_elements,period,1600-1649,problems,12,248,4.8
non_elements,period,1600-1649,propositions,9,248,3.6
non_elements,period,1600-1649,examples,7,248,2.8
non_elements,period,1600-1649,principles,3,248,1.2
non_elements,period,1600-1649,paradoxes,2,248,0.8
non_elements,period,1600-1649,definitions,1,248,0.4
non_elements,period,1650-1699,propositions,14,120,11.7
non_elements,period,1650-1699,demonstrations_proofs,12,120,10.0
non_elements,period,1650-1699,figures_diagrams,11,120,9.2
non_elements,period,1650-1699,notes_observations,7,120,5.8
non_elements,period,1650-1699,problems,7,120,5.8
non_elements,period,1650-1699,scholia_commentary,7,120,5.8
non_elements,period,1650-1699,principles,6,120,5.0
non_elements,period,1650-1699,operations_constructions,5,120,4.2
non_elements,period,1650-1699,theorems,5,120,4.2
non_elements,period,1650-1699,axioms_common_notions,1,120,0.8
non_elements,period,1650-1699,examples,1,120,0.8
non_elements,period,1700+,demonstrations_proofs,2,15,13.3
non_elements,period,1700+,figures_diagrams,2,15,13.3
non_elements,period,1700+,notes_observations,2,15,13.3
non_elements,period,1700+,examples,1,15,6.7
non_elements,period,1700+,operations_constructions,1,15,6.7
non_elements,period,1700+,principles,1,15,6.7
non_elements,period,1700+,problems,1,15,6.7
non_elements,period,1700+,propositions,1,15,6.7
