deductive_parts,count,examples
demonstrations_proofs,59,144JC3;1496;473J72;5V691B;6AMYTJ;Arnhem_1603;Arnhem_1605a;Bologna_1663
scholia_commentary,45,612FNN;E4JQEB;I9PE2Y;London_1570;MMJVXG;Mainz_1611_1612;Oxford_1705;Paris_1500
propositions,29,Amsterdam_1662;Amsterdam_1700;Brussels_1688;Cologne_1556;Frankfurt_1506;Hardy-6;Lausanne_1683;Leiden_1617
theorems,26,5YK5ZF;6PMNRZ;77RUJE;Amsterdam_1683;Amsterdam_1701b;Antwerp_1654;Antwerp_1665;Antwerp_1672
figures_diagrams,22,Amsterdam_1634;C8SLYQ;MorisS-22-3;MorisS-22-4;MorisS-4-3;Paris_1661;Paris_1739;S105XB
principles,18,Amsterdam_1616;Amsterdam_1626;Amsterdam_1660;Amsterdam_1695;Amsterdam_1702;FA6MQ0;Hamburg_1633;Leiden_1606
notes_observations,15,Amsterdam_1652;Florence_1573;KVSFF1;MorisS-13-1;MorisS-16-5;MorisS-21-12;MorisS-27-2;Venice_1575
operations_constructions,13,4C287U;5ZF83O;Augsburg_1555;MorisS-26-1;MorisS-28-1;bib-185;bib-191;bib-23
demonstrations_proofs;figures_diagrams,11,Bologna_1629a;Lyon_1645;Lyon_1646;MorisS-3-3;Paris_1622;Paris_1632a;X5YBIB;bib-10
problems,11,IC4Y79;Leiden_1615;MorisS-3-2;MorisS-3-4;Nuremberg_1625;VQDBOK;bib-215;bib-250
figures_diagrams;examples,7,Ansbach_1610;bib-187;bib-190;bib-277;bib-279;ustc-28;ustc-36
figures_diagrams;principles,6,Amsterdam_1700b;Amsterdam_1701;Leiden_1607;Rotterdam_1647;Rotterdam_1661;Rotterdam_1681
figures_diagrams;scholia_commentary,6,Berlin_1824;Graz_1636;Paris_1632;Rouen_1676;Rouen_and_Paris_1677;Rouen_and_Paris_1683
demonstrations_proofs;scholia_commentary,6,Cologne_1591;Frankfurt_1607;Frankfurt_1654;GDC2CP;Rome_1589;Rome_1603
demonstrations_proofs;propositions,6,London_1685a;London_1703;Paris_1640;Paris_1667;bib-264;ustc-12
scholia_commentary;notes_observations,5,bib-139;bib-140;bib-141;bib-142;bib-161
problems;operations_constructions,4,6XTAVU;London_1747;MorisS-16-1;ustc-26
examples,4,Basel_1562;MorisS-8-2;Q4F538;bib-40
notes_observations;principles,4,JXC181;Paris_1639;Paris_1644;bib-218
enunciations,4,Leiden_1599;Leipzig_1607;Paris_1626a;Paris_1644c
demonstrations_proofs;notes_observations,3,Paris_1634;Paris_1644b;Uppsala_1642
propositions;enunciations,3,Strasbourg_1570a;Strasbourg_1571a;Strasbourg_1572
propositions;scholia_commentary,3,bib-106;bib-107;bib-108
scholia_commentary;notes_observations;principles,2,BFI81M;bib-276
operations_constructions;principles,2,DA54XK;bib-76
demonstrations_proofs;principles,2,London_1678a;London_1680–81
demonstrations_proofs;theorems,2,London_1705;Rome_1679
problems;figures_diagrams,2,MorisS-16-10;bib-82
theorems;notes_observations,2,MorisS-17-3;Strasbourg_1625
theorems;operations_constructions,2,MorisS-22-6;bib-115
theorems;figures_diagrams,2,bib-150;bib-99
propositions;problems,2,ustc-13;ustc-41
demonstrations_proofs;figures_diagrams;paradoxes,1,35H84Y
demonstrations_proofs;propositions;corollaries;definitions;axioms_common_notions,1,Antwerp_1645
demonstrations_proofs;propositions;notes_observations;examples;principles,1,Basel_1550
demonstrations_proofs;scholia_commentary;principles,1,Basel_1570
propositions;theorems;figures_diagrams;corollaries,1,Cambridge_1703
propositions;corollaries,1,London_1661
demonstrations_proofs;propositions;problems,1,London_1695
propositions;notes_observations;principles,1,London_1789
demonstrations_proofs;enunciations,1,Messina_1558
propositions;problems;operations_constructions,1,MorisS-12-1
demonstrations_proofs;definitions,1,Naples_1810
propositions;scholia_commentary;operations_constructions,1,OGXS5A
theorems;definitions;principles,1,Paris_1624
theorems;definitions;paradoxes,1,Paris_1626
demonstrations_proofs;definitions;principles,1,Rome_1680
demonstrations_proofs;propositions;scholia_commentary,1,Strasbourg_1564a
demonstrations_proofs;propositions;notes_observations,1,Turin_1671
figures_diagrams;scholia_commentary;principles,1,Venice_1509
figures_diagrams;operations_constructions,1,XOIASP
demonstrations_proofs;figures_diagrams;principles,1,bib-133
figures_diagrams;axioms_common_notions;principles,1,bib-143
problems;notes_observations,1,bib-235
figures_diagrams;operations_constructions;principles,1,bib-238
definitions,1,bib-24
figures_diagrams;scholia_commentary;notes_observations;principles,1,bib-251
demonstrations_proofs;problems;notes_observations;operations_constructions,1,bib-85
demonstrations_proofs;corollaries,1,bib-9
problems;scholia_commentary;notes_observations,1,ustc-19
propositions;theorems;problems;scholia_commentary;examples,1,ustc-47
scholia_commentary;examples,1,ustc-49
notes_observations;examples,1,ustc-6
