pair,count,examples
demonstrations_proofs + figures_diagrams,13,35H84Y;Bologna_1629a;Lyon_1645;Lyon_1646;MorisS-3-3;Paris_1622;Paris_1632a;X5YBIB
figures_diagrams + principles,11,Amsterdam_1700b;Amsterdam_1701;Leiden_1607;Rotterdam_1647;Rotterdam_1661;Rotterdam_1681;Venice_1509;bib-133
demonstrations_proofs + propositions,11,Antwerp_1645;Basel_1550;London_1685a;London_1695;London_1703;Paris_1640;Paris_1667;Strasbourg_1564a
scholia_commentary + notes_observations,9,BFI81M;bib-139;bib-140;bib-141;bib-142;bib-161;bib-251;bib-276
notes_observations + principles,9,BFI81M;Basel_1550;JXC181;London_1789;Paris_1639;Paris_1644;bib-218;bib-251
demonstrations_proofs + scholia_commentary,8,Basel_1570;Cologne_1591;Frankfurt_1607;Frankfurt_1654;GDC2CP;Rome_1589;Rome_1603;Strasbourg_1564a
figures_diagrams + scholia_commentary,8,Berlin_1824;Graz_1636;Paris_1632;Rouen_1676;Rouen_and_Paris_1677;Rouen_and_Paris_1683;Venice_1509;bib-251
figures_diagrams + examples,7,Ansbach_1610;bib-187;bib-190;bib-277;bib-279;ustc-28;ustc-36
problems + operations_constructions,6,6XTAVU;London_1747;MorisS-12-1;MorisS-16-1;bib-85;ustc-26
demonstrations_proofs + notes_observations,6,Basel_1550;Paris_1634;Paris_1644b;Turin_1671;Uppsala_1642;bib-85
demonstrations_proofs + principles,6,Basel_1550;Basel_1570;London_1678a;London_1680–81;Rome_1680;bib-133
propositions + scholia_commentary,6,OGXS5A;Strasbourg_1564a;bib-106;bib-107;bib-108;ustc-47
scholia_commentary + principles,5,BFI81M;Basel_1570;Venice_1509;bib-251;bib-276
propositions + problems,5,London_1695;MorisS-12-1;ustc-13;ustc-41;ustc-47
demonstrations_proofs + definitions,3,Antwerp_1645;Naples_1810;Rome_1680
propositions + corollaries,3,Antwerp_1645;Cambridge_1703;London_1661
propositions + notes_observations,3,Basel_1550;London_1789;Turin_1671
theorems + figures_diagrams,3,Cambridge_1703;bib-150;bib-99
operations_constructions + principles,3,DA54XK;bib-238;bib-76
propositions + enunciations,3,Strasbourg_1570a;Strasbourg_1571a;Strasbourg_1572
problems + notes_observations,3,bib-235;bib-85;ustc-19
demonstrations_proofs + corollaries,2,Antwerp_1645;bib-9
propositions + examples,2,Basel_1550;ustc-47
propositions + principles,2,Basel_1550;London_1789
notes_observations + examples,2,Basel_1550;ustc-6
propositions + theorems,2,Cambridge_1703;ustc-47
demonstrations_proofs + problems,2,London_1695;bib-85
demonstrations_proofs + theorems,2,London_1705;Rome_1679
propositions + operations_constructions,2,MorisS-12-1;OGXS5A
problems + figures_diagrams,2,MorisS-16-10;bib-82
theorems + notes_observations,2,MorisS-17-3;Strasbourg_1625
theorems + operations_constructions,2,MorisS-22-6;bib-115
theorems + definitions,2,Paris_1624;Paris_1626
definitions + principles,2,Paris_1624;Rome_1680
figures_diagrams + operations_constructions,2,XOIASP;bib-238
problems + scholia_commentary,2,ustc-19;ustc-47
scholia_commentary + examples,2,ustc-47;ustc-49
demonstrations_proofs + paradoxes,1,35H84Y
figures_diagrams + paradoxes,1,35H84Y
demonstrations_proofs + axioms_common_notions,1,Antwerp_1645
propositions + definitions,1,Antwerp_1645
propositions + axioms_common_notions,1,Antwerp_1645
corollaries + definitions,1,Antwerp_1645
corollaries + axioms_common_notions,1,Antwerp_1645
definitions + axioms_common_notions,1,Antwerp_1645
demonstrations_proofs + examples,1,Basel_1550
examples + principles,1,Basel_1550
propositions + figures_diagrams,1,Cambridge_1703
theorems + corollaries,1,Cambridge_1703
figures_diagrams + corollaries,1,Cambridge_1703
demonstrations_proofs + enunciations,1,Messina_1558
scholia_commentary + operations_constructions,1,OGXS5A
theorems + principles,1,Paris_1624
theorems + paradoxes,1,Paris_1626
definitions + paradoxes,1,Paris_1626
figures_diagrams + axioms_common_notions,1,bib-143
axioms_common_notions + principles,1,bib-143
figures_diagrams + notes_observations,1,bib-251
demonstrations_proofs + operations_constructions,1,bib-85
notes_observations + operations_constructions,1,bib-85
theorems + problems,1,ustc-47
theorems + scholia_commentary,1,ustc-47
theorems + examples,1,ustc-47
problems + examples,1,ustc-47
