part,all_count,all_pct,metadata_elements_count,metadata_elements_pct,non_elements_count,non_elements_pct,elements_minus_non_elements_pct_points
demonstrations_proofs,102,12.1,60,21.0,42,7.5,13.4
propositions,54,6.4,29,10.1,25,4.5,5.7
theorems,38,4.5,17,5.9,21,3.8,2.2
problems,25,3.0,4,1.4,21,3.8,-2.4
figures_diagrams,64,7.6,21,7.3,43,7.7,-0.4
scholia_commentary,75,8.9,39,13.6,36,6.5,7.2
notes_observations,39,4.6,11,3.8,28,5.0,-1.2
corollaries,4,0.5,3,1.0,1,0.2,0.9
definitions,6,0.7,4,1.4,2,0.4,1.0
axioms_common_notions,2,0.2,1,0.3,1,0.2,0.2
postulates,0,0.0,0,0.0,0,0.0,0.0
lemmas,0,0.0,0,0.0,0,0.0,0.0
enunciations,8,0.9,8,2.8,0,0.0,2.8
examples,15,1.8,3,1.0,12,2.2,-1.1
operations_constructions,26,3.1,3,1.0,23,4.1,-3.1
principles,44,5.2,27,9.4,17,3.1,6.4
paradoxes,2,0.2,0,0.0,2,0.4,-0.4
