classification_key,short_title,year,city,language,author_or_editor,publisher,primary_classes,secondary_classes,primary_subject_family,rich_claim_text,rich_social_text,claim_method_demonstration_order,claim_utility_practice_application,claim_correction_revision_accuracy,claim_augmentation_enrichment_composition,claim_translation_vernacularization_transfer,professional_practical_arena,pedagogical_school_arena,general_public_lovers_arena,no_visible_social_arena
Amsterdam_1672,,1672,Amsterdam,DUTCH,Georg Mohr,,Instrument Use | Practical Geometry,Gnomonics & Horology | Perspective,Geometry/Theory | Instruments/Measurement,"voorgesteld | de ses eerste boecken euclidis | handeldt van de meetkonstige werckstucken | de ses eerste boecken euclidis | alleenigh met een passer te wercken (sonder rye ofte liniael te gebruycken) door snijding van roeden | geeft aanleyding om verscheyde werckstucken te maecken, als van snijding, raecking, deeling, perspectie en sonnewijssers | aanleyding om verscheyde werckstucken te maecken | euclides danicus | euclides danicus | euclidis",,False,False,False,False,False,False,False,False,True
N61RR8,Troisieme volume des memoires mathematiques,1605,Leiden,DUTCH,Simon Stevin,Jean Tuning,Perspective,,Visual/Spatial Arts,descrit | troisiesme volvme des memoires mathe- matiqves des perspectives | contenant ce en quoy s'est exercé | de bruges,"de bruges | le tres-illvstre, tres-excellent prince & seigneur mavrice prince d'orange, comte de nassau, catzenellenboghen, vianden, moers, &c. marquis de la vere & vlissingues, &c. seigneur de la ville de grave, & du païs de cuyck, sainct vyt, daesburgh, &c. gouverneur de guelres, hollande, zeelande, westfrise, zutphen, vtrecht, & overyffel, &c. chef general de l'armée des provinces unies du païs bas; admiral general de la mer, &c",False,False,False,False,False,False,False,False,False
bib-183,"Institutiones astronomicæ & geographicæ, Fondamentale ende grondelijcke onderwysinge van de sterrekonst, ende beschryvinghe der aerden",1614,Franeker,DUTCH,Adriaan Metius,"Franeker, Thomas Lamberts Salwarda, Willem Jansz",Astronomy | Cosmography | Geography | Gnomonics & Horology | Instrument Use | Navigation,,Instruments/Measurement | Cosmos/Earth,"beschreven | inhoudende | schippers ende stuerluyden | alle liefhebbers der selver konst | mathe-seos professorem in de universiteit van friesland | mitsgaders een korte ende klare onderrechtinghe van de noodighe konst der zeevaert | inhoudende nieu inventie practijcque instrumenten, sonwijse practijken ende teykenen daer toe dienende",schippers ende stuerluyden | alle liefhebbers der selver konst | universiteit van friesland | mathe-seos professorem in de universiteit van friesland,False,False,False,False,False,False,True,True,False
bib-187,,1615,Leiden,DUTCH,Ludolph van Ceulen,Joris Abrahamz,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,Arithmetic,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,"gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft | voor de land-meters | vanden circkel | daer in gheleert werdt te vinden den naesten proportie des circkels-diameters teghen sijn om- loop / daer door alle circkels (met alle figuren / ofte lijnen met com- munen hoeken) recht ghemeten kunnen werden | item alle figurens- nyden in den circkel beschreven / beginnende van den 3,4,5,6,7,8 tot in fractionale getallen te beschrijven, al hadde hy de figure heel hondert-duysent hoeken | item / by 7,11,13,17,19,23. gecor- rigieerde proportien soecken | twee­de editie | van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen | met het ghebruyck van dien, hoogh-noodigh voor de land-meters | met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | met noch seer hantvvoedige dingen | noch de tafelen sinuum, tangentium, ende secantium, met het ghebruyck van dien, hoogh-noodigh voor de land-meters: met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | ten laetsten, van interest / met alderhande tafelen daer toe dienende / met het ghebruyck / door veel constighe exempelen gheleert, ende door 't gheheel werk beschreven, ende gheproeft | van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen / waer in door den autheur uber- langhe tijden verbetert, int hembaer quaet ghehouden des circkels / uyt-ghegeven door symon vander eycke. met noch seer hantvvoedige dingen / in aenghecleende geometrische questien | de tafelen sinuum, tangentium, ende secantium | van interest | tafelen sinuum, tangentium, ende secantium | interest",voor de land-meters,False,False,True,True,False,False,False,False,True
bib-189,,1615,Leiden,DUTCH,Ludolph van Ceulen,"Joost van Colster, Jacob Marcus",Arithmetic | Theoretical Mathematics | Trigonometry,,Geometry/Theory | Arithmetic/Commerce,"de arithmetische en geometrische fondamenten | met het ghebruyck van dien in veele verscheydene constighe questien, soo geometrice door linien, als arithmetice door irrationale ghetallen, oock door den regel coß, ende de tafelen sinuum ghesolvvert",,False,False,False,False,False,False,False,False,True
bib-202,Pacht-tafelen. Waer door alle on-ervarene inde reken-konste konnen calculeren de pacht,1649,Middelburg,DUTCH,Cornelis Francoiszoon Eversdijck,Anthony de Later,Arithmetic | Commercial Mathematics,,Arithmetic/Commerce,by-gevoecht | alle on-erfarene inde reken-konste | de proporien van verscheyden landt-maten | eenigh seer faculteuse mathematische questiën,alle on-erfarene inde reken-konste,False,True,False,False,False,False,False,True,False
bib-205,,1664,Dordrecht,DUTCH,Jan Pietersz Dou,Matheus van Nispen,Arithmetic | Practical Geometry | Surveying,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,gemaeckt | geadmitteert | gedrukt | in sijn leven land- meter tot leyden | reekenmr. ’s lands en graefs- lyckheyt van zeelandt | met eenige dingen ter saken die nieuwe be­meereert,in sijn leven land- meter tot leyden | reekenmr. ’s lands en graefs- lyckheyt van zeelandt,False,False,False,False,False,False,False,False,True
bib-207,,1669,Dordrecht,DUTCH,Mattheus van Nispen,Mattheus van Nispen,Practical Geometry | Surveying,,Geometry/Theory | Instruments/Measurement,"gestelt | vermeerdert | gesuyvert | gevoeght | geadmitteert | voor leerlingen en jonge practisijns | voor alle liefhebbers | voor alle lief-hebbers van geometrische speculatien | de beknopte lant-meet-konst | leerende in’t korte, alles wat in’t gemeen, in de practijcke des landt-meetens voor-komen kan | den tweeden druck: in vele plaetsen vermeerdert, en van voorgaende fauten gesuyvert | het tractaet van de landt-maeten | het tractaet van de landt-maeten | tractaet van de landt-maeten",voor leerlingen en jonge practisijns | voor alle liefhebbers | voor alle lief-hebbers van geometrische speculatien,False,False,False,True,False,False,False,True,False
bib-208,,1689,Dordrecht,DUTCH,Mattheus van Nispen,Mattheus van Nispen,Practical Geometry | Surveying,Construction,Geometry/Theory | Instruments/Measurement,"gestelt | vermeerdert | gevoeght | geadmitteert | verklaert | voor leerlingen en jonge practisijns | voor alle lieden | voorder voor alle liefhebbers van geometrische speculatien | den derden druck: in vele plaetsen vermeerdert | hier by gevoeght, het tractaet van de landt-maeten | geadmitteert landt-meter | j. p. dou | c. everdijck | met noodige figuuren en demonstratien | voornamelijk met saecken, dijckagien, en inbraecken van polders",voor leerlingen en jonge practisijns | voor alle lieden | voorder voor alle liefhebbers van geometrische speculatien | geadmitteert landt-meter | j. p. dou | c. everdijck,True,False,False,True,False,False,False,True,False
bib-209,,1600,Leiden,DUTCH,"Johan Sems, Jan Pietersz Dou",Jan Bouwmeester,Practical Geometry | Surveying,Instrument Use,Geometry/Theory | Instruments/Measurement,ghecomponeert | ghegheven | geadmitteert | nieuws | geadmitteert lantmeeter by den hove van west-vrieslant | geadmitteert lantmeeter by den hove van hollant | nieuw gehaeculeerde tafelen,den hove van west-vrieslant | den hove van hollant | geadmitteert lantmeeter by den hove van west-vrieslant | geadmitteert lantmeeter by den hove van hollant,False,False,False,False,False,False,False,False,True
bib-210,,1600,Leiden,DUTCH,"Johan Sems, Jan Pietersz Dou",Jan Bouwmeester,Cartography | Instrument Use | Practical Geometry | Surveying,Architecture,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,ghecomponeert | ghegheven,,False,False,False,False,False,False,False,False,True
bib-213,Een nieu constich boeck inde geometrie ende astronomiæ,1608,Rees,DUTCH,S.D.V.B.,Abraham Wylicks,Astronomy | Instrument Use | Practical Geometry | Surveying,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,"afgedeeylt | begrepen | gestelt | vergadert | gheweest | liefhebber der vrye consten | apiani | een nieuwen wett-schrift, gestelt men noem het den jacobstaff",liefhebber der vrye consten | liefhebber der vrye consten | apiani,False,False,False,False,False,False,False,False,True
