classification_key,year,city,language,author_or_editor,publisher,format_group,elements_books,elements_books_group,primary_classes,primary_subject_family,natural_dominant_mode,mode_pedagogical_method,mode_vernacular_transfer,mode_institutional_authority,mode_composite_apparatus,mode_practical_public,mode_corrected_updated,mode_humanist_ancient,rich_claim_text,rich_social_text,action_verbs,audience,content_description,edition_details,editor_description,enriched_with,institutions
Alcala_1637,1637,Alcala,"DUTCH, LATIN",Luis Carducci,,quarto,1–6,books_1_6,,No primary family,humanist/vernacular transfer,0,1,1,0,0,0,1,traducido | comentado | elementos geometricos de evclides | philo-sopho megarense svs seys primeros libros | mathematico de su magestad | elementos geometricos de evclides | evclides,mathematico de su magestad | al exmo sr d. gaspar de gvzman conde de olibares dvcq de s. lvcar la mayor camarero y caballerico mayor de sv mag,Traducido | comentado,,PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,,Mathematico de su Magestad,,
Amsterdam_1616,1616,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz.,octavo,1–6,books_1_6,Practical Geometry | Theoretical Mathematics,Geometry/Theory,practical-pedagogical,1,1,1,1,1,1,1,"ghevoecht | overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer conste | de ses eerste boucken evclidis | van de beginselen ende fondamenten der geometrie | van nieus oversien, ende verbetert | der stadt leyden landtmeter ende wijnroeyer | de ses eerste boucken evclidis | eenighe nut-ticheden, uyt de selve boecken ghetrocken | specien in geometrische figueren | bygevouchde nutticheden mette spetien in geometrische figueren | evclidis","van alle leergierighe, liefhebbers der selver vryer conste | der stadt leyden landtmeter ende wijnroeyer",ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert,"van alle leergierighe, liefhebbers der selver vryer Conste",Van de beginselen ende fondamenten der Geometrie,"Van nieus oversien, ende verbetert",der stadt Leyden Landtmeter ende Wijnroeyer,"eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren",
Amsterdam_1626,1626,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz. Blaeuw,octavo,1–6,books_1_6,,No primary family,practical-pedagogical,1,0,1,1,1,1,1,"ghevoecht | overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer conste | de ses eerste boecken evclidis | van de beginselen ende fondamenten der geometrie | van nieus over-sien, ende verbetert | der stadt leyden landtmeter ende wijnroeyer | de ses eerste boecken evclidis | waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve boecken ghetrocken; mitsgaders de specien in geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | mitsgaders de byghevoechde nutticheden, mette specien in geometrische figueren breeder verclaert ende vermeerdert deur den selven autheur | evclidis",alle leergierighe liefhebbers der selver vryer conste | der stadt leyden landtmeter ende wijnroeyer,ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert,alle leergierighe liefhebbers der selver vryer Conste,Van de beginselen ende fondamenten der Geometrie,"Van nieus over-sien, ende verbetert",der stadt Leyden Landtmeter ende Wijnroeyer,"Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur",
Amsterdam_1660,1660,Amsterdam,DUTCH,Jacob Willemsz,Jan van Ravesteyn,quarto,1–6,books_1_6,Theoretical Mathematics,Geometry/Theory,pedagogical/method,1,1,1,0,0,0,0,vertaald | euklides ses eerste boekken | van de beginselen der wiskonsten | van haerlem | euklides ses eerste boekken | neerduyts | euklides,van haerlem,vertaald,,Van de Beginselen der WISKONSTEN,,van Haerlem,,
Amsterdam_1700b,1700,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,octavo,1–6,books_1_6,Theoretical Mathematics,Geometry/Theory,practical-pedagogical,1,0,1,1,1,1,1,"by-gevoeght | over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde | van alle leer-gierige liefhebbers der selver vrye konste | de zes eerste boecken euclidis | van de beginselen ende fon-damenten der geometrie | desen laetsten druk, van nieuws oversien en verbetert | lant-meter ende wijn-roeyer der stadt leyden | de zes eerste boecken euclidis | by-gevoeght zijn eenige nuttigheden, uyt deselve boecken getroken | mitsgaders de specien in geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen | mitsgaders de by-gevoegde nuttigheden, met de specien in geometrische figuren breeder verklaert ende vermeerdert | euclidis",van alle leer-gierige liefhebbers der selver vrye konste | lant-meter ende wijn-roeyer der stadt leyden,by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde,van alle leer-gierige Liefhebbers der selver vrye Konste,Van de beginselen ende fon-damenten der Geometrie,"Desen laetsten Druk, van nieuws oversien en verbetert",Lant-meter ende Wijn-roeyer der Stadt LEYDEN,"by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen | Mitsgaders de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert",
Amsterdam_1701,1701,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,octavo,1–6,books_1_6,Practical Geometry | Theoretical Mathematics,Geometry/Theory,practical-pedagogical,1,0,1,1,1,1,1,"by-gevoeght | by-gevoegde | over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert | alle leer-gierige liefhebbers der selver vrye konste | de zes eerste boecken euclidis | van de beginselen ende fondamenten der geometrie | desen laetsten druk, van nieuws oversien en verbetert | lant-meter ende wijn-roeyer der stadt leyden | de zes eerste boecken euclidis | by-gevoeght zijn eenige nut-tigheden, uyt deselve boecken getrocken: mitsgaders de specien in geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | over-geset, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige liefhebbers der selver vrye konste | by-gevoegde nuttigheden, met de specien in geometrische figuren breeder verklaert ende vermeerdert | euclidis",alle leer-gierige liefhebbers der selver vrye konste | lant-meter ende wijn-roeyer der stadt leyden,by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert,alle leer-gierige Liefhebbers der selver vrye Konste,Van de beginselen ende fondamenten der Geometrie,"Desen laetsten Druk, van nieuws oversien en verbetert",Lant-meter ende Wijn-roeyer der Stadt LEYDEN,"by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | Over-geset, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste | by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert",
Amsterdam_1702,1702,Amsterdam,DUTCH,Henrick Coets,Henrick en de Weduwe van Dirck Boom,octavo,1–6,books_1_6,Theoretical Mathematics,Geometry/Theory,pedagogical/method,1,0,1,0,0,0,1,gedemonstreert | de ses eerste boeken der beginselen euclidis | lector in de mathesis tot leyden | de ses eerste boeken der beginselen euclidis | euclidis,lector in de mathesis tot leyden,GEDEMONSTREERT,,,,Lector in de MATHESIS tot LEYDEN,,
Hamburg_1633,1633,Hamburg,DUTCH,Jacob Willemsz,Volrad Gaubisch,quarto,1–6,books_1_6,Theoretical Mathematics,Geometry/Theory,humanist/vernacular transfer,1,1,0,0,0,0,1,vertaelt | verroten | evclides zes eerste boekken | vande beginselen der vviskonsten | evclides zes eerste boekken | neerdvyts | evclides,,VERTAELT | Verroten,,VANDE BEGINSELEN DER VViskonsten,,,,
Hamburg_1638,1638,Hamburg,DUTCH,Jacob Willemsz,Hendrik Werner,quarto,1–6,books_1_6,Theoretical Mathematics,Geometry/Theory,institutional/authority,0,1,1,0,0,0,0,vertaald | euklides zes eerste boekken | vande beginse- len der wiskonsten | verrooten van haerlem | euklides zes eerste boekken | neerduids | euklides,verrooten van haerlem,vertaald,,VANDE BEGINSE- LEN DER WISKONSTEN,,VERROOTEN van Haerlem,,
Leiden_1606,1606,Leiden,DUTCH,Jan Pietersz Dou,Jan Bouwensz,quarto,1-6,books_1_6,Theoretical Mathematics,Geometry/Theory,institutional-composite,1,0,1,1,0,0,1,verclaert | over-gheset | uytgheleyt | de ses eerste boucken evclidis | van de beginselen ende fon-damenten der geometri | der stadt leyden lantmeter ende wijn-roeyer | de ses eerste boucken evclidis | een cort byvouchsel | de specien in geometrische figueren | evclidis,der stadt leyden lantmeter ende wijn-roeyer,verclaert | Over-gheset | uytgheleyt,,Van de beginselen ende fon-damenten der Geometri,,der stadt Leyden Lantmeter ende Wijn-roeyer,een cort byvouchsel | de specien in Geometrische figueren,
Leiden_1607,1607,Leiden,DUTCH,Jan Pietersz Dou,Ian Iansz. Orlers,quarto,1–6,books_1_6,Practical Geometry,Geometry/Theory,practical-pedagogical,1,0,1,1,1,0,1,"gevoecht | overgheset | verclaert | uytgheleyt | alle leergierige, liefhebbers der selver vryer conste | de ses eerste boucken evclidis | van de beginselen ende fonda-menten der geometri | der stadt leyden lantmeter ende wijnroeyer | de ses eerste boucken evclidis | by gevoecht sijn eenige nutticheden, uyt de selve boecken ghetrocken | mitsgaders de specien in geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | overgheset, verclaert, ende uytgheleyt | evclidis","alle leergierige, liefhebbers der selver vryer conste | der stadt leyden lantmeter ende wijnroeyer",gevoecht | Overgheset | verclaert | uytgheleyt,"alle leergierige, liefhebbers der selver vryer Conste",Van de beginselen ende fonda-menten der Geometri,,der stadt Leyden Lantmeter ende Wijnroeyer,"by gevoecht sijn eenige nutticheden, uyt de selve Boecken ghetrocken | Mitsgaders de Specien in Geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | Overgheset, verclaert, ende uytgheleyt",
Rotterdam_1632,1632,Rotterdam,DUTCH,Jan Pietersz Dou,,octavo,1–6,books_1_6,Practical Geometry,Geometry/Theory,practical-pedagogical,1,0,1,1,1,1,1,ghevoeght | overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer konste | de ses eerste boecken evclidis | van de beginselen ende fondamenten der geometrie | van nieus oversien ende verbetert | der stadt leyden lant-meter ende wijnroeyer | de ses eerste boecken evclidis | eenighe nut-tigheden | specien in geometrische figueren | byghevoeghde nut-tigheden | evclidis,van alle leergierighe lief hebbers der selver vryer konste | der stadt leyden lant-meter ende wijnroeyer,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert,van alle leergierighe lief hebbers der selver vryer Konste,Van de beginselen ende fondamenten der Geometrie,Van nieus oversien ende verbetert,der stadt Leyden Lant-meter ende Wijnroeyer,eenighe nut-tigheden | Specien in Geometrische figueren | byghevoeghde nut-tigheden,
Rotterdam_1647,1647,Rotterdam,DUTCH,Jan Pietersz Dou,Pieter van Waesberghe,octavo,1–6,books_1_6,,No primary family,practical-pedagogical,1,1,1,1,1,1,1,"bygevoeght | overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye konste | de ses eerste boecken euclidis | van de beginselen ende fonda-menten der geometrie | waer bygevoeght zijn eenige nuttigheden | van nieus oversien ende verbetert | der stadt leyden lant-meter ende wijnroyer | de ses eerste boecken euclidis | eenige nuttigheden, uyt de selve boecken getrocken | de specien in geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in geometrische figuren | eenige nuttigheden, uyt de selve boecken getrocken | specien in geometrische figuren | bygevoegde nuttigheden, met de specien in geometrische figuren | euclidis",alle leergierige liefhebbers der selver vrye konste | der stadt leyden lant-meter ende wijnroyer,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert,alle leergierige liefhebbers der selver vrye Konste,Van de beginselen ende fonda-menten der Geometrie,Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert,der stadt Leyden Lant-meter ende Wijnroyer,"eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geometrische figuren | eenige nuttigheden, uyt de selve Boecken getrocken | Specien in Geometrische figuren | bygevoegde nuttigheden, met de specien in Geometrische figuren",
Rotterdam_1661,1661,Rotterdam,DUTCH,Jan Pietersz Dou,Abraham van Waesberge,octavo,1–6,books_1_6,Theoretical Mathematics,Geometry/Theory,practical-pedagogical,1,0,1,1,1,1,1,by-gevoeght | over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | by-gevoeghde | alle leer-gierige liefhebbers der selver vrye konste | de ses eerste boecken euclidis | van de beginselen ende fonda-menten der geometrie | van nieuws oversien ende verbetert | landt-meter ende wijn-roeyer der stadt leyden | de ses eerste boecken euclidis | eenige nuttigheden | specien in geometrische figuren | by-gevoeghde nuttigheden | euclidis,alle leer-gierige liefhebbers der selver vrye konste | landt-meter ende wijn-roeyer der stadt leyden,by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | by-gevoeghde,alle leer-gierige Liefhebbers der selver vrye Konste,Van de beginselen ende fonda-menten der Geometrie,Van nieuws oversien ende verbetert,Landt-meter ende Wijn-roeyer der Stadt LEYDEN,eenige nuttigheden | Specien in Geometrische figuren | by-gevoeghde nuttigheden,
Rotterdam_1681,1681,Rotterdam,DUTCH,Jan Pietersz Dou,Abraham van Waesberge,octavo,1–6,books_1_6,,No primary family,practical-pedagogical,1,0,1,1,1,1,1,"by-gevoeght | over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige liefhebbers der selver vrye konste | de ses eerste boecken euclidis | van de beginselen ende fondamenten der geometrie | desen laetsten druck, van nieuws oversien ende verbetert | landt-meter ende wijn-roeyer der stadt leyden | de ses eerste boecken euclidis | eenige nut-tigheden | specien in geometrische figuren | by-gevoegde nuttigheden | euclidis",alle leer-gierige liefhebbers der selver vrye konste | landt-meter ende wijn-roeyer der stadt leyden,by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert,alle leer-gierige Liefhebbers der selver vrye Konste,Van de beginselen ende fondamenten der Geometrie,"Desen laetsten druck, van nieuws oversien ende verbetert",Landt-meter ende Wijn-roeyer der Stadt LEYDEN,eenige nut-tigheden | Specien in Geometrische figuren | by-gevoegde nuttigheden,
