classification_key,year,city,language,primary_classes,secondary_classes,euclid_elements_dominant_mode,base_content,elements_designation,references_to_euclid,rich_claim_text_raw,rich_social_text_raw,metadata_title,author_or_editor,title_translation,case_type,why_it_matters
Venice_1482,1482,Venice,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,Elementorum Euclidis megarensis,Elementorum Euclidis megarensis,Euclidis,Elementorum Euclidis megarensis | in artem geometrie incipit | Elementorum Euclidis megarensis | Euclidis megarensis | Euclidis,,"Preclarissimus liber elementorum Euclidis perspicacissimi, in artem geometrie incipit quam foelicissime",Erhard Ratdolt,"The most renowned work, The Elements by Euclid of Megara, begins most auspiciously in the art of geometry.",Sparse canonical incunable Euclid,A baseline case: Euclid as recognizable ancient/textual authority. Useful for showing that some title pages need very little social or pedagogical rhetoric.
TTORPR,1528,Vienna,LATIN,,,euclid_sparse_canonical,"ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria","ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria",EV- clidis,"decerp- tum | Continet | ad omnium Mathemati- ces candidatorum | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | EV- clidis",ad omnium Mathemati- ces candidatorum | collegij Viennẽsis | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis,Elementale geometricum ex Euclidis geometria,"Johannes Vögelin, Johann Alexander Brassicanus","THE ELEMENTS OF GEOMETRY, FROM EU- clid's Geometry, by JOHANN Voegelin of Heilbronn, Colle- gian of the civic college of Vienna, excerpted for the usefulness of all candidates of Mathema- tics, OF BRASSICANUS. This booklet contains excellent fruit in solid brevity With exact faith, terse everywhere Worthy also that any cultivator of astronomy should read it through If only he wishes to learn with its sure harvest.",Extracted school/candidate Euclid,"Euclid becomes an elementary excerpt for candidates/students of mathematics; not just complete canon, but pedagogical extraction."
FA6MQ0,1551,London,ENGLISH,Instrument Use | Practical Geometry,,elements_language_no_euclid,THE FIRST PRINciples of Geometrie,,,"CONTAINING | for all sortes of men | THE FIRST PRINciples of Geometrie | as they may moste aptly be applied vnto practise, bothe for vse of instrumentes Geometricall, and astronomicall and also for proiection of plattes in euerye kinde, and therfore much necessary",for all sortes of men,"The Pathway to Knowledg, containing the First Principles of Geometrie",Robert Recorde,"The Pathway to Knowledge, Containing the First Principles of Geometry, as they may most aptly be applied to practice, both for the use of geometrical instruments, and astronomical ones also; and likewise for the projection of plans of every kind, and therefore very necessary for all sorts of people. Geometry’s Verdict All fresh, fine wits by me are refined, All gross, dull wits wish me exiled: Though no man’s wit will I reject, Yet as they are, I will them test.",Principles without explicit Euclid,Recorde gives first principles of geometry for “all sorts of men” and instrument/practice. Good edge case for elemental language outside explicit Euclid.
Amsterdam_1616,1616,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,,euclid_composite_workshop,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,EVCLIDIS,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren…","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer",,Jan Pietersz Dou,"The first six Books of EUCLID, On the principles and foundations of Geometry. To which are added some utilities, drawn from the same Books; Together with the Species in Geometric figures, such as making, changing, combining, subtracting, multiplying, and dividing. Translated, explained, and interpreted, for the advancement and practice, of all curious, enthusiasts of the same liberal Art. By IAN PIETERSZOON DOV, Land Surveyor and Wine Gauger of the city of Leiden. Newly reviewed, and improved: …",Vernacular procedural Euclid,"A perfect “transmission machine”: translated, explained, interpreted, reviewed, corrected, augmented, for curious lovers; editor as land surveyor/wine gauger."
London_1685a,1685,London,ENGLISH,,,euclid_composite_workshop,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID | EVCLID,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite,,"Claude-François Milliet Dechales, Reeve Williams",,Euclid made easy/useful/illustrated,"English Dechales: new easy method, uses of every proposition, corrected, augmented, illustrated. Strong pedagogical-intellectual case."
35H84Y,1642,Bologna,LATIN,Mechanics,Practical Geometry,euclid_utility_public,EVCLIDES APPLICATVS,EVCLIDES APPLICATVS,EVCLIDES | Euclideorum,"traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLIDES APPLICATVS | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | EVCLIDES APPLICATVS | noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | c…","Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c","Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)",Mario Bettini,"BEEHIVES OF ALL MATHEMATICAL PHILOSOPHY, IN WHICH PARADOXES, And many new Machines applied to excellent uses, and confirmed by very easy demonstrations, To the Most Illustrious and Excellent Lord MATTHIAS GALASSO COUNT OF THE HOLY ROMAN EMPIRE, etc. Dedicated by the Tridentine College of the Society of Jesus. A WORK Not only for Mathematical Philosophers, but also for Physicists, Anatomists, Military men, and professors of Mechanics, Music, Poetry, Agriculture, Architecture, Commerce, etc., mos…",Euclid applied across professions,"Extreme social-intellectual case: Euclid applied to philosophers, military men, mechanics, music, agriculture, architecture, commerce, with Jesuit/institutional credentials."
Lisbon_1735,1735,Lisbon,PORTUGUESE,Theoretical Mathematics,,euclid_geometry_theory_primary,"ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES","ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES",EUCLIDES,"ACRESCENTADOS COM TRÊS UTEIS | PARA USO DA REAL AULA | ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES | ACRESCENTADOS COM TRÊS UTEIS | PADRE | Da mesma Companhia | Archimedes | Dinostrato | ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES | o primeiro da Logística das Proporções | o segundo dos Theoremas selectos de Archimedes | o terceiro da Quadratriz de Dinostrato | TRÊS UTEIS Appendices: o primeiro da Logística das Proporções: o segundo dos Theoremas …",PARA USO DA REAL AULA | Collegio de Santo Antão da Companhia de Jesus de Lisboa Occidental | Companhia de Jesus | PADRE | Da mesma Companhia | D. JOÃO V | Archimedes | Dinostrato,"Elementos de geometria plana, e solida, segundo a ordem de Euclides",Manoel de Campos,"ELEMENTS OF PLANE AND SOLID GEOMETRY, ACCORDING TO THE ORDER OF EUCLID, PRINCE OF GEOMETERS: Enlarged with three useful appendices: the first on the Logistic of Proportions; the second on selected Theorems of Archimedes; and the third on the Quadratrix of Dinostratus, for squaring the Circle and trisecting the Angle. FOR THE USE OF THE ROYAL CLASS Of the Sphere at the College of Santo Antão of the Society of Jesus in Lisbon Occidental. DEDICATED TO THE MAJESTY OF THE KING OUR LORD DOM JOÃO V. B…",Royal/Jesuit classroom Euclid,"Euclid ordered for a royal class, with Jesuit college context and Archimedes/Dinostratus appendices. Strong social-institutional case."
Paris_1667,1667,Paris,FRENCH,Theoretical Mathematics,,elements_language_no_euclid,NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE,NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE,,"contenant | CONTENANT | NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE | Outre un ordre tout nouveau, & de nouvelles demonstrations des propositions les plus com- munes, De nouveaux moyens de faire voir quelles lignes sont incommensurables, De nouvelles mesures de l’angle, dont on ne s’estoit point encore avisé, Et de nouvelles manières de trouver & de demonstrer la proportion des Lignes | SECONDE EDITION | NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE | de nouvel…",,Nouveaux Élémens de géométrie,Antoine Arnauld,"NEW ELEMENTS OF GEOMETRY; CONTAINING, Besides an entirely new order, and new demonstrations of the most common propositions, New methods of showing which lines are incommensurable, New measures of the angle, which no one had yet devised, And new ways of finding and demonstrating the proportion of Lines.",New elements without Euclid,"Arnauld’s Nouveaux Elemens: “elements” as innovation, order, new demonstrations, not simple Euclidean designation."
Cambridge_1703,1703,Cambridge,LATIN,,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE,,"André Tacquet, William Whiston","V. CL. ANDREÆ TACQUET OF THE SOCIETY OF JESUS Priest, & Professor of Mathematics ELEMENTS OF PLANE AND SOLID GEOMETRY, & SELECT THEOREMS FROM ARCHIMEDES. To which in this new Edition are added not a few COROLLARIES suited to illustrate the Elements, & containing various applications of many propositions. Corrected with the utmost care, & illustrated with XL new diagrams engraved on copper. By WILLIAM WHISTON, A. M. Lucasian Professor of Mathematics at CAMBRIDGE.",Tacquet/Whiston composite elements,"No explicit Euclid, but plane/solid geometry with Archimedes, corollaries, uses, diagrams, Jesuit plus Lucasian professor. Excellent “elements beyond Euclid” case."
bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,Astronomy | Theoretical Mathematics,elements_language_no_euclid,Body of Arithmetick,,,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE Whole Nature of NUMBERS, with their Simple and Comparative Elements in all the Parts of ARITHMETICK, are plainly Declared, and fully Handled | Merchant | Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights, Measures, &c. Ancient and Modern, in …","Merchants, and all that would understand ACCOUNTS, or the Mathematical and Mechanical ARTS and SCIENCES | Merchant",,Samuel Jeake,,Arithmetic elements for merchants,Elements/principles language shifts into arithmetic and commercial publics; shows the pedagogical grammar crossing subject boundaries.
Beijing_1607,1607,Beijing,CHINESE,,,euclid_no_primary_subject,幾何原本,幾何原本,,幾何原本 | 幾何原本,,,"Xu Guangqi, Matteo Ricci",Elements of Geometry,Translation and global Euclid,"Chinese Euclid/Elements, likely sparse in current TPS but historically crucial for transmission and language movement. Needs image/metadata spot-checking."
Lausanne_1683,1683,Lausanne,FRENCH,,,euclid_composite_workshop,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,EXPLIQVEZ | LES ELEMENS D’EUCLIDE | EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EUCLIDE | AVEC L’VSAGE DE CHAQVE Proposition | EUCLIDE,P,"Les Élémens d'Euclide, expliquez d'une manière nouvelle … par le P. Claude-François Milliet-Dechales",Claude-François Milliet Dechales,THE ELEMENTS OF EUCLID EXPLAINED IN A new & very easy MANNER. WITH THE USE OF EACH Proposition for all parts of Mathematics. BY P. CLAUDE FRANÇOIS MILLIET DECHALES.,Easy method and use of propositions,Concise Dechales case: Euclid explained in a new/easy manner with uses for all parts of mathematics; good comparison to London_1685a.
