classification_key,year,city,language,primary_classes,secondary_classes,euclid_elements_dominant_mode,base_content,elements_designation,references_to_euclid,rich_claim_text_raw,rich_social_text_raw
ZQA6JR,1669,Rome,LATIN,,,elements_language_no_euclid,ELEMENTA GEOMETRIAE PLANAE,ELEMENTA GEOMETRIAE PLANAE,,ELEMENTA GEOMETRIAE PLANAE | SOC. IESV | In Collegio Romano Mathe- seos professore | ELEMENTA GEOMETRIAE PLANAE,Collegio Romano | SOC. IESV | SOC. IESV | In Collegio Romano Mathe- seos professore
bib-74,1684,London,ENGLISH,,,elements_language_no_euclid,THE ELEMENTS,THE ELEMENTS,,THE ELEMENTS | OR PRINCIPLES OF GEOMETRIE | THE ELEMENTS,
bib-143,1690,Rome,LATIN,,,elements_language_no_euclid,,,,"additis | Rerum omnium ad universam planè Mathesim quocunque modo, directè, vel indirectè spectantium | Tyronum | Continens Terminum, praesertim exoticorum, dilucidationem, Nominis rationem, atque Etymologiam, Principia, Praecepta communia, Axiomata, &c. ac brevem, & exactam Doctrinae traditionem | additis, ubi opus est, schematibus","Rerum omnium ad universam planè Mathesim quocunque modo, directè, vel indirectè spectantium | Tyronum"
bib-216,1694,London,ENGLISH,,Arithmetic | Commercial Mathematics,elements_language_no_euclid,,,,"added | Children and Youth | Men of all Degrees, and Qualities | School-master at St. Georges Church in Southwark | An Appendix containing the Principles of Arith- metick; with an Account of Coins, Weights, Measure, Time, &c | THE ENGLISH","Children and Youth | Men of all Degrees, and Qualities | St. Georges Church in Southwark | Universities | City of London | School-master at St. Georges Church in Southwark"
Cambridge_1703,1703,Cambridge,LATIN,,,elements_language_no_euclid,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE
FA6MQ0,1551,London,ENGLISH,Instrument Use | Practical Geometry,,elements_language_no_euclid,THE FIRST PRINciples of Geometrie,,,"CONTAINING | for all sortes of men | THE FIRST PRINciples of Geometrie | as they may moste aptly be applied vnto practise, bothe for vse of instrumentes Geometricall, and astronomicall and also for proiection of plattes in euerye kinde, and therfore much necessary",for all sortes of men
bib-169,1552,Paris,FRENCH,Astronomy | Cosmography | Geography,Cartography,elements_language_no_euclid,L’SPHERE DU MON- DE,,,"composée | divisée | comprenant | touchant | L’SPHERE DU MON- DE | PROPREMENT DITTE COS- mographie, composée nouvellement en françois, & divisée en cinq livres, comprenant la première partie de l’astronomie, & les principes universels de la géographie & hydrographie | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris | Avec une épistre, touchant la dignité, perfection & utilité des sciences mathematiques | en françois",l’université de Paris | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris
bib-59,1594,Leiden,LATIN,Practical Geometry,,elements_language_no_euclid,CYCLOMETRICA ELEMENTA DUO,CYCLOMETRICA ELEMENTA DUO,,CYCLOMETRICA ELEMENTA DUO | CYCLOMETRICA ELEMENTA DUO,"Illustres Nobiliss. Ampliss. Hollandiae, Westfrisiae, et Zeelandiae ORDINES"
bib-76,1598,Venice,LATIN,Cosmography,Arithmetic | Practical Geometry | Theoretical Mathematics,elements_language_no_euclid,COSMOGRAPHIA,,,"DISTRIBVTA | recognita | aucta | COSMOGRAPHIA | IN QUATVOR LIBROS DISTRIBVTA,  SVMMO ORDINE, MIRAQ. FACILITATE, ac brevitate ad Magnam Ptolemaei Mathematicam Constructionem, ad universamque Astrologiam instituens | nuper in hac secunda editione ab ipso Authore | IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco | aucta | Communia Mathematica | Arithmetica | Geometrica principia | Index eorum | Communia Mathematica | Arithmetica | Geometrica principia | Index","IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco"
Leiden_1615,1615,Leiden,LATIN,Arithmetic | Trigonometry,Theoretical Mathematics,elements_language_no_euclid,FUNDAMENTA ARITHMETICA ET GEOMETRICA,,,"translatae | FUNDAMENTA ARITHMETICA ET GEOMETRICA | cum communi usu In variis problematis, Geometricis, partim solo linearum ductu, partim per numeros irrationales, & tabulas sinuum, & Algebram solutis | vernaculo | in Latinum",
