language_first,n_euclid_elements_language,mode,count,pct,overall_euclid_pct,delta
DUTCH,21,euclid_sparse_canonical,2,9.5,9.9,-0.4
DUTCH,21,euclid_procedural_pedagogical,14,66.7,59.6,7.0
DUTCH,21,euclid_composite_workshop,8,38.1,32.8,5.3
DUTCH,21,euclid_utility_public,0,0.0,6.3,-6.3
DUTCH,21,euclid_humanist_transfer,6,28.6,23.5,5.1
DUTCH,21,euclid_method_access,5,23.8,10.5,13.3
DUTCH,21,elements_language_no_euclid,1,4.8,9.3,-4.6
DUTCH,21,euclid_no_primary_subject,4,19.0,27.7,-8.7
DUTCH,21,euclid_geometry_theory_primary,17,81.0,63.6,17.4
DUTCH,21,euclid_practical_geometry_primary,5,23.8,12.0,11.8
ENGLISH,29,euclid_sparse_canonical,2,6.9,9.9,-3.0
ENGLISH,29,euclid_procedural_pedagogical,24,82.8,59.6,23.1
ENGLISH,29,euclid_composite_workshop,13,44.8,32.8,12.0
ENGLISH,29,euclid_utility_public,6,20.7,6.3,14.4
ENGLISH,29,euclid_humanist_transfer,5,17.2,23.5,-6.3
ENGLISH,29,euclid_method_access,9,31.0,10.5,20.5
ENGLISH,29,elements_language_no_euclid,10,34.5,9.3,25.1
ENGLISH,29,euclid_no_primary_subject,9,31.0,27.7,3.3
ENGLISH,29,euclid_geometry_theory_primary,17,58.6,63.6,-4.9
ENGLISH,29,euclid_practical_geometry_primary,6,20.7,12.0,8.6
FRENCH,63,euclid_sparse_canonical,4,6.3,9.9,-3.6
FRENCH,63,euclid_procedural_pedagogical,40,63.5,59.6,3.9
FRENCH,63,euclid_composite_workshop,27,42.9,32.8,10.0
FRENCH,63,euclid_utility_public,5,7.9,6.3,1.6
FRENCH,63,euclid_humanist_transfer,23,36.5,23.5,13.0
FRENCH,63,euclid_method_access,9,14.3,10.5,3.7
FRENCH,63,elements_language_no_euclid,5,7.9,9.3,-1.4
FRENCH,63,euclid_no_primary_subject,21,33.3,27.7,5.6
FRENCH,63,euclid_geometry_theory_primary,37,58.7,63.6,-4.8
FRENCH,63,euclid_practical_geometry_primary,5,7.9,12.0,-4.1
GERMAN,20,euclid_sparse_canonical,3,15.0,9.9,5.1
GERMAN,20,euclid_procedural_pedagogical,8,40.0,59.6,-19.6
GERMAN,20,euclid_composite_workshop,1,5.0,32.8,-27.8
GERMAN,20,euclid_utility_public,5,25.0,6.3,18.7
GERMAN,20,euclid_humanist_transfer,0,0.0,23.5,-23.5
GERMAN,20,euclid_method_access,0,0.0,10.5,-10.5
GERMAN,20,elements_language_no_euclid,0,0.0,9.3,-9.3
GERMAN,20,euclid_no_primary_subject,5,25.0,27.7,-2.7
GERMAN,20,euclid_geometry_theory_primary,14,70.0,63.6,6.4
GERMAN,20,euclid_practical_geometry_primary,8,40.0,12.0,28.0
GREEK,16,euclid_sparse_canonical,0,0.0,9.9,-9.9
GREEK,16,euclid_procedural_pedagogical,5,31.2,59.6,-28.4
GREEK,16,euclid_composite_workshop,6,37.5,32.8,4.7
GREEK,16,euclid_utility_public,0,0.0,6.3,-6.3
GREEK,16,euclid_humanist_transfer,8,50.0,23.5,26.5
GREEK,16,euclid_method_access,0,0.0,10.5,-10.5
GREEK,16,elements_language_no_euclid,0,0.0,9.3,-9.3
GREEK,16,euclid_no_primary_subject,6,37.5,27.7,9.8
GREEK,16,euclid_geometry_theory_primary,7,43.8,63.6,-19.8
GREEK,16,euclid_practical_geometry_primary,0,0.0,12.0,-12.0
ITALIAN,21,euclid_sparse_canonical,2,9.5,9.9,-0.4
ITALIAN,21,euclid_procedural_pedagogical,7,33.3,59.6,-26.3
ITALIAN,21,euclid_composite_workshop,1,4.8,32.8,-28.1
ITALIAN,21,euclid_utility_public,1,4.8,6.3,-1.6
ITALIAN,21,euclid_humanist_transfer,5,23.8,23.5,0.3
ITALIAN,21,euclid_method_access,2,9.5,10.5,-1.0
ITALIAN,21,elements_language_no_euclid,0,0.0,9.3,-9.3
ITALIAN,21,euclid_no_primary_subject,5,23.8,27.7,-3.9
ITALIAN,21,euclid_geometry_theory_primary,15,71.4,63.6,7.9
ITALIAN,21,euclid_practical_geometry_primary,8,38.1,12.0,26.0
LATIN,149,euclid_sparse_canonical,16,10.7,9.9,0.8
LATIN,149,euclid_procedural_pedagogical,97,65.1,59.6,5.5
LATIN,149,euclid_composite_workshop,52,34.9,32.8,2.1
LATIN,149,euclid_utility_public,1,0.7,6.3,-5.7
LATIN,149,euclid_humanist_transfer,29,19.5,23.5,-4.0
LATIN,149,euclid_method_access,10,6.7,10.5,-3.8
LATIN,149,elements_language_no_euclid,15,10.1,9.3,0.7
LATIN,149,euclid_no_primary_subject,40,26.8,27.7,-0.9
LATIN,149,euclid_geometry_theory_primary,94,63.1,63.6,-0.5
LATIN,149,euclid_practical_geometry_primary,6,4.0,12.0,-8.0
SPANISH,8,euclid_sparse_canonical,1,12.5,9.9,2.6
SPANISH,8,euclid_procedural_pedagogical,3,37.5,59.6,-22.1
SPANISH,8,euclid_composite_workshop,1,12.5,32.8,-20.3
SPANISH,8,euclid_utility_public,3,37.5,6.3,31.2
SPANISH,8,euclid_humanist_transfer,2,25.0,23.5,1.5
SPANISH,8,euclid_method_access,0,0.0,10.5,-10.5
SPANISH,8,elements_language_no_euclid,0,0.0,9.3,-9.3
SPANISH,8,euclid_no_primary_subject,0,0.0,27.7,-27.7
SPANISH,8,euclid_geometry_theory_primary,7,87.5,63.6,23.9
SPANISH,8,euclid_practical_geometry_primary,2,25.0,12.0,13.0
