period,n_euclid_elements_period,mode,count,pct,overall_euclid_pct,delta
1550-1599,63,euclid_sparse_canonical,5,7.9,9.9,-2.0
1550-1599,63,euclid_procedural_pedagogical,31,49.2,59.6,-10.4
1550-1599,63,euclid_composite_workshop,20,31.7,32.8,-1.1
1550-1599,63,euclid_utility_public,3,4.8,6.3,-1.6
1550-1599,63,euclid_humanist_transfer,27,42.9,23.5,19.4
1550-1599,63,euclid_method_access,2,3.2,10.5,-7.4
1550-1599,63,elements_language_no_euclid,4,6.3,9.3,-3.0
1550-1599,63,euclid_no_primary_subject,13,20.6,27.7,-7.1
1550-1599,63,euclid_geometry_theory_primary,36,57.1,63.6,-6.4
1550-1599,63,euclid_practical_geometry_primary,6,9.5,12.0,-2.5
1600-1649,93,euclid_sparse_canonical,8,8.6,9.9,-1.3
1600-1649,93,euclid_procedural_pedagogical,66,71.0,59.6,11.3
1600-1649,93,euclid_composite_workshop,35,37.6,32.8,4.8
1600-1649,93,euclid_utility_public,5,5.4,6.3,-0.9
1600-1649,93,euclid_humanist_transfer,26,28.0,23.5,4.5
1600-1649,93,euclid_method_access,13,14.0,10.5,3.4
1600-1649,93,elements_language_no_euclid,5,5.4,9.3,-4.0
1600-1649,93,euclid_no_primary_subject,27,29.0,27.7,1.3
1600-1649,93,euclid_geometry_theory_primary,61,65.6,63.6,2.0
1600-1649,93,euclid_practical_geometry_primary,15,16.1,12.0,4.1
1650-1699,100,euclid_sparse_canonical,7,7.0,9.9,-2.9
1650-1699,100,euclid_procedural_pedagogical,57,57.0,59.6,-2.6
1650-1699,100,euclid_composite_workshop,23,23.0,32.8,-9.8
1650-1699,100,euclid_utility_public,8,8.0,6.3,1.7
1650-1699,100,euclid_humanist_transfer,11,11.0,23.5,-12.5
1650-1699,100,euclid_method_access,12,12.0,10.5,1.5
1650-1699,100,elements_language_no_euclid,16,16.0,9.3,6.7
1650-1699,100,euclid_no_primary_subject,32,32.0,27.7,4.3
1650-1699,100,euclid_geometry_theory_primary,65,65.0,63.6,1.4
1650-1699,100,euclid_practical_geometry_primary,10,10.0,12.0,-2.0
1700+,42,euclid_sparse_canonical,6,14.3,9.9,4.3
1700+,42,euclid_procedural_pedagogical,26,61.9,59.6,2.3
1700+,42,euclid_composite_workshop,14,33.3,32.8,0.5
1700+,42,euclid_utility_public,4,9.5,6.3,3.2
1700+,42,euclid_humanist_transfer,6,14.3,23.5,-9.2
1700+,42,euclid_method_access,8,19.0,10.5,8.5
1700+,42,elements_language_no_euclid,6,14.3,9.3,4.9
1700+,42,euclid_no_primary_subject,11,26.2,27.7,-1.5
1700+,42,euclid_geometry_theory_primary,30,71.4,63.6,7.9
1700+,42,euclid_practical_geometry_primary,5,11.9,12.0,-0.1
pre-1550,31,euclid_sparse_canonical,6,19.4,9.9,9.4
pre-1550,31,euclid_procedural_pedagogical,16,51.6,59.6,-8.0
pre-1550,31,euclid_composite_workshop,16,51.6,32.8,18.8
pre-1550,31,euclid_utility_public,0,0.0,6.3,-6.3
pre-1550,31,euclid_humanist_transfer,8,25.8,23.5,2.3
pre-1550,31,euclid_method_access,0,0.0,10.5,-10.5
pre-1550,31,elements_language_no_euclid,0,0.0,9.3,-9.3
pre-1550,31,euclid_no_primary_subject,9,29.0,27.7,1.3
pre-1550,31,euclid_geometry_theory_primary,16,51.6,63.6,-11.9
pre-1550,31,euclid_practical_geometry_primary,2,6.5,12.0,-5.6
unknown,3,euclid_sparse_canonical,1,33.3,9.9,23.4
unknown,3,euclid_procedural_pedagogical,2,66.7,59.6,7.0
unknown,3,euclid_composite_workshop,1,33.3,32.8,0.5
unknown,3,euclid_utility_public,1,33.3,6.3,27.0
unknown,3,euclid_humanist_transfer,0,0.0,23.5,-23.5
unknown,3,euclid_method_access,0,0.0,10.5,-10.5
unknown,3,elements_language_no_euclid,0,0.0,9.3,-9.3
unknown,3,euclid_no_primary_subject,0,0.0,27.7,-27.7
unknown,3,euclid_geometry_theory_primary,3,100.0,63.6,36.4
unknown,3,euclid_practical_geometry_primary,2,66.7,12.0,54.6
