intellectual_evidence_family,representatives,pct
identity_naming,547,64.9
content_definition,357,42.3
edition_transformation,567,67.3
addition_composition,418,49.6
language_transfer,141,16.7
authority_reference,351,41.6
pedagogical_social_bridge,392,46.5
FIELD:base_content,547,64.9
FIELD:elements_designation,304,36.1
FIELD:content_description,357,42.3
FIELD:action_verbs,560,66.4
FIELD:edition_details,283,33.6
FIELD:enriched_with,350,41.5
FIELD:bound_with,167,19.8
FIELD:bound_with_minimal,165,19.6
FIELD:origin_language,83,9.8
FIELD:destination_language,113,13.4
FIELD:references_to_euclid,293,34.8
FIELD:description_of_euclid,46,5.5
FIELD:educational_authorities_references,124,14.7
