subject_family,value,classification_key,year,city,language,primary_classes,evidence
Arithmetic/Commerce,clarity_ease,bib-119,1646,Amsterdam,LATIN,Arithmetic | Military Engineering | Practical Geometry | Surveying,"audience: den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser ; content_description: Beneffens de Stock-rekenninghe ofte Rabdologia J. Nepperi, cortelick en duydelick | In het welcke Beneffens de Stockrekeninge ofte Rhabdologia I. Neperi, kortelijck ende duydelijck ; edition_details: nieu verrijckt met een nieuwe inventie | De tweede Editie ; action_verbs: verrijckt | gecorrigeert ; enriched_with: nieu verrijckt met een nieuwe inventie om alle ronde vatten hare wanhgheden af te pegelen ; educational_authorities_references: J. Nepperi | I. Neperi"
Arithmetic/Commerce,clarity_ease,bib-191,1649,London,ENGLISH,Arithmetic | Commercial Mathematics,"content_description: The first of Vulgar Arithmetick with easie Rules to worke all the first four parts of Arithmetick, in whole Numbers and Fractions | The second of Decimall Arithmetick, whereby all  ; edition_details: The First Edition ; action_verbs: added ; enriched_with: Tables of Interest exactly calculated at 10, 8, 7, and 6 per cent | The Reduction of Weights, Value of Leases and Annuities | The weight and value of English Gold | Rebate at 8 per"
Arithmetic/Commerce,clarity_ease,bib-218,1634,London,ENGLISH,Arithmetic,"content_description: WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant ; action_verbs: making ; enriched_with: WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations"
Arithmetic/Commerce,clarity_ease,bib-284,1687,London,ENGLISH,Arithmetic,"content_description: The perfect Work and Practice of ARITHMETICK both in Whole Numbers & Fractions ; edition_details: Newly Corrected and Contracted, and made more plain and easie ; action_verbs: Added | intermixed | Corrected | Contracted | made ; enriched_with: Many RULES and TABLES of Interest, Rebate, and Purchases, &c | The Art of DECIMAL FRACTIONS, intermixed with Common Fractions"
Arithmetic/Commerce,clarity_ease,ustc-53,1646,Paris,FRENCH,Arithmetic | Commercial Mathematics | Surveying,"content_description: les Regles necessaires tant pour les Finances, que pour la Marchandife, auec vne Methode facile & familiere | Dans lequel les Tables necessaires pour cette faci- lité auec leur vfa ; edition_details: Nouuellement augmenté d'vn traicté d'Arpentage ; action_verbs: CONTENANT | augmenté ; enriched_with: d'vn traicté d'Arpentage"
Arithmetic/Commerce,utility_use,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"audience: voor de Land-meters ; content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeke ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | No"
Arithmetic/Commerce,utility_use,IC4Y79,1501,Venice,LATIN,Arithmetic | Theoretical Mathematics,content_description: difficultates omnes fere exponuntur ; educational_authorities_references: Boetio | Hippocrate | Paulo | Galeni
Arithmetic/Commerce,utility_use,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑per ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées  ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
Arithmetic/Commerce,utility_use,bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,"audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; content_description: In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule"
Arithmetic/Commerce,utility_use,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE FRANÇOISE ; content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pa ; action_verbs: reueuë | corrigée | augmentée"
Arithmetic/Commerce,correction_revision,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"audience: voor de Land-meters ; content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeke ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | No"
Arithmetic/Commerce,correction_revision,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE Françoiſe ; content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑per ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées  ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
Arithmetic/Commerce,correction_revision,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,"audience: EN FAVEVR DE LA NOBLESSE FRANÇOISE ; content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pa ; action_verbs: reueuë | corrigée | augmentée"
