intellectual_value,classification_key,year,city,language,primary_classes,evidence
ease_clarity_accessibility,bib-218,1634,London,ENGLISH,Arithmetic,"content_description: WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant ; action_verbs: making ; enriched_with: WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations ; bound_with_minimal: The five ordinary parts of ARITHME- TICK | Rules of PRACTICE | The doctrine of FRACTIONS | Recreations extraordinary"
ease_clarity_accessibility,Paris_1640,1640,Paris,FRENCH,Theoretical Mathematics,"content_description: illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires, & reduit à 62. Propositions ; action_verbs: illustré | reduit ; enriched_with: illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires | AVEC VN DISCOURS DE LA MANIERE d’expliquer les sciences en François ; bound_with_minimal: TRAITE' DES QVANTITEZ INCOMENSVRABLES | LES ERREVRS DE STEVIN ; educational_authorities_references: STEVIN ; destination_language: François ; elements_designation: LE DIZIEME LIVRE D’EVCLIDE ; references_to_euclid: EVCLIDE"
ease_clarity_accessibility,bib-191,1649,London,ENGLISH,Arithmetic | Commercial Mathematics,"content_description: The first of Vulgar Arithmetick with easie Rules to worke all the first four parts of Arithmetick, in whole Numbers and Fractions | The second of Decimall Arithmetick, whereby all Fractionall Operations are wrought in wh ; edition_details: The First Edition ; action_verbs: added ; enriched_with: Tables of Interest exactly calculated at 10, 8, 7, and 6 per cent | The Reduction of Weights, Value of Leases and Annuities | The weight and value of English Gold | Rebate at 8 per cent"
ease_clarity_accessibility,bib-119,1646,Amsterdam,LATIN,Arithmetic | Military Engineering | Practical Geometry | Surveying,"content_description: Beneffens de Stock-rekenninghe ofte Rabdologia J. Nepperi, cortelick en duydelick | In het welcke Beneffens de Stockrekeninge ofte Rhabdologia I. Neperi, kortelijck ende duydelijck ’t gene den Land-meters ende Ingenieurs ; edition_details: nieu verrijckt met een nieuwe inventie | De tweede Editie ; action_verbs: verrijckt | gecorrigeert ; enriched_with: nieu verrijckt met een nieuwe inventie om alle ronde vatten hare wanhgheden af te pegelen ; educational_authorities_references: J. Nepperi | I. Neperi"
ease_clarity_accessibility,Paris_1624,1624,Paris,FRENCH,,"enriched_with: Ensemble les Definitions Theoremes & Maximes, d’Euclides, d’Archime- des, de Proclus, de Sacrobosco, & d’Aristote | Auec un abregé des reigles de la Geometrie, & des principales Ma- ximes & regles des Arts, de for- tifie ; bound_with_minimal: d’Euclides | d’Archimedes | de Proclus | de Sacrobosco | d’Aristote ; educational_authorities_references: d’Euclides | d’Archimedes | de Proclus | de Sacrobosco | d’Aristote ; references_to_euclid: d’Euclides"
ease_clarity_accessibility,bib-284,1687,London,ENGLISH,Arithmetic,"content_description: The perfect Work and Practice of ARITHMETICK both in Whole Numbers & Fractions ; edition_details: Newly Corrected and Contracted, and made more plain and easie ; action_verbs: Added | intermixed | Corrected | Contracted | made ; enriched_with: Many RULES and TABLES of Interest, Rebate, and Purchases, &c | The Art of DECIMAL FRACTIONS, intermixed with Common Fractions ; bound_with_minimal: RULES and TABLES of Interest, Rebate, and Purchases | The Art of DECIMAL FRACTIONS"
ease_clarity_accessibility,ustc-52,1632,Paris,FRENCH,Arithmetic | Commercial Mathematics,"content_description: Par le moyen de laquelle on peut resou- dre en son esprit toutes reigles qui con- cernent le negoce & trafic de toutes sortes de marchandises, sans user d'au- cuns chiffres ny gettons | En suite de laquelle est une succi"
ease_clarity_accessibility,ustc-10,1626,Paris,FRENCH,Instrument Use | Practical Geometry,content_description: REDVITE EN VNE FACILE ET BRIEFVE pratique ; edition_details: enrichy de huict diuisions par dessus le com- mun & ordinaire | composé en Italien par Michel Connette | Traduit en François ; action_verbs: enrichy | composé | Traduit ; enriched_with: enrichy de huict diuisions ; bound_with_minimal: PANTOMETRE OV COMPAS | L’VSAGE DV COMPAS A huict pointes ; educational_authorities_references: Fabrice Mordente | Alexandre Farnese ; origin_language: en Italien ; destination_language: en François
ease_clarity_accessibility,bib-192,1722,London,ENGLISH,Surveying,"content_description: Or, the WHOLE ART of SURVEYING OF LAND, BY A New INSTRUMENT lately invented; As also by the Plain Table, Circumferentor, the Theodolite as now improv’d, or by the Chain only ; edition_details: The Whole Altered and Amended, and Two entire Books added by the AUTHOR long before his Death | THE FIFTH EDITION, in IX BOOKS ; action_verbs: Altered | Amended | added | examin’d | Added ; enriched_with: Two entire Books added | APPENDIX Added to the Whole, Consisting of Practical Observations in Land Surveying"
ease_clarity_accessibility,bib-235,1702,London,ENGLISH,Astronomy | Instrument Use | Navigation | Theoretical Mathematics | Trigonometry,"content_description: and it’s Application to Plain, Mercator’s and Middle-Latitude Sailing ; enriched_with: New Tables of the Sun’s Declination ; bound_with_minimal: Problems in Astronomy | The Method of finding the Variation of the Compass ; elements_designation: The Elements of Plain Trigonometry"
utility_application_practice,bib-187,1615,Leiden,DUTCH,Commercial Mathematics | Practical Geometry | Surveying | Trigonometry,"content_description: Daer in gheleert werdt te vinden  den naesten proportie des Circkels-Diameters teghen sijn om-  loop / daer door alle Circkels (met alle Figuren / ofte Lijnen met com-  munen hoeken) recht ghemeten kunnen werden | Item a ; edition_details: Twee­de Editie | Van nieuws oversien / ende van alle de voor-gaende fauten verbeteret / ende aen-ghevuld vermeerdert met by-voeghselen ; action_verbs: gecor- rigieerde | oversien | verbeteret | verbetert | vermeerdert | by-voeghselen | ghehouden | uyt-ghegeven | beschreven | ghebracht | gheproeft ; enriched_with: met het ghebruyck van dien, hoogh-noodigh voor de Land-meters | Met veel andere konstighe stucken, dierghelijcke noyt in druck uyt-ghegeven | Met noch seer hantvvoedige dingen | Noch de Tafelen Sinuum, Tangentium, ende S ; bound_with_minimal: Tafelen Sinuum, Tangentium, ende Secantium | Interest"
utility_application_practice,IC4Y79,1501,Venice,LATIN,Arithmetic | Theoretical Mathematics,content_description: difficultates omnes fere exponuntur ; bound_with_minimal: De Arithmetica | De Musica | De Geometria | De tota Astrologia | De Physiologia | De Medicina | Problematum | De Grammatica | De Dialectica | De Poetica | De Rhetorica | De Morali Philosophia | De Oeconomia | Politicon | ; educational_authorities_references: Boetio | Hippocrate | Paulo | Galeni ; elements_designation: elementorum Euclidis ; references_to_euclid: Euclidis
utility_application_practice,MorisS-16-1,1623,Paris,FRENCH,Arithmetic | Construction | Military Engineering | Practical Geometry | Trigonometry,"content_description: Construction des tables des Sinus, Tou‑chantes & Couppantes ; Doctrine des triangles Rectilignes ; Pratique de diuers Problemes Geometriques ; Dimenſion des lignes droictes, Su‑perficies & Corps ; Pratique du Compas de p ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées aux pays bas ; action_verbs: reueuë | corrigée | augmentée ; enriched_with: d’explication & augmentation | vne brieue instruction ; bound_with_minimal: Fortifications de Monſieur Errard ; educational_authorities_references: Monſieur Errard ; destination_language: Françoiſe"
utility_application_practice,bib-215,1653,London,ENGLISH,Gnomonics & Horology | Instrument Use,"content_description: A Collection of many Problemes, extracted out of the Ancient and Modern Philo­- sophers, as Secrets and Experiments in Arithmetick, Geometry, Cosmographie, Horologiographie, Astronomie, Navigation, Musick, Opticks, Archi ; edition_details: Written first in Greeke and Latin, lately compil’d in French, by Henry Van Etten, and now in English, with the Examinations and Augmentations of divers Modern Mathematicians ; action_verbs: extracted | compil’d | added | Invented | written ; enriched_with: the Examinations and Augmentations of divers Modern Mathematicians | the Description and Use of the Generall Horologicall Ring | The Double Horizontall Diall ; bound_with_minimal: Description and Use of the Generall Horologicall Ring | Double Horizontall Diall ; origin_language: Greeke | Latin | French ; destination_language: now in English"
utility_application_practice,bib-140,1644,Arnhem,DUTCH,,"edition_details: Den derden Drucx, op nieuws oversien ende verbetert ; action_verbs: Te samen ghevoeght | Ghetranslateert | verrijckt | vermeerdert | verbeteret | op nieuws oversien | verbetert ; enriched_with: Te samen ghevoeght Van verscheyden ghenuchtijcke ende boertige Werck-stucken, soo uyt Arithmetica, Geometria, Astronomia, Geographia, Cosmographia, Musica, Physica, Optica, Catoptrica, Architectonica, Scioterica, als uyt ; origin_language: Fransch ; destination_language: Ne-derduytsche tale"
utility_application_practice,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,"content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des lignes droites, perficies & Corps ; Pra ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pays bas ; action_verbs: reueuë | corrigée | augmentée"
utility_application_practice,bib-7,1571,London,ENGLISH,Practical Geometry,"content_description: diuided into three Bookes, Longimetra, Planimetra and Stereometria, containing Rules manifolde for mensuration of all lines, Superficies and Solides: with sundry strange conclusions both by instrument and without, and al ; action_verbs: named | diuided | framed | finished | adioyned ; enriched_with: adioyned a Mathematicall treatise of the fiue regulare Platonical solides, and their Metamorphosis or transformation into fiue other equilater and uniforme solides Geometricall, of his owne inuention, hitherto not mentio"
