value_a,value_b,count
demonstration_method_order,visual_materiality_diagrams,40
augmentation_enrichment_completeness,demonstration_method_order,31
utility_application_practice,demonstration_method_order,28
ease_clarity_accessibility,demonstration_method_order,27
utility_application_practice,augmentation_enrichment_completeness,25
novelty_invention_modernity,demonstration_method_order,22
correction_revision_accuracy,demonstration_method_order,22
correction_revision_accuracy,augmentation_enrichment_completeness,21
ease_clarity_accessibility,utility_application_practice,19
translation_vernacularization,ancient_restoration_humanist,18
translation_vernacularization,demonstration_method_order,17
utility_application_practice,correction_revision_accuracy,17
augmentation_enrichment_completeness,ancient_restoration_humanist,16
ease_clarity_accessibility,novelty_invention_modernity,16
augmentation_enrichment_completeness,novelty_invention_modernity,15
novelty_invention_modernity,ancient_restoration_humanist,14
augmentation_enrichment_completeness,abridgment_contraction_selection,14
demonstration_method_order,ancient_restoration_humanist,14
correction_revision_accuracy,visual_materiality_diagrams,13
utility_application_practice,novelty_invention_modernity,13
ease_clarity_accessibility,augmentation_enrichment_completeness,12
augmentation_enrichment_completeness,visual_materiality_diagrams,12
augmentation_enrichment_completeness,translation_vernacularization,12
ease_clarity_accessibility,ancient_restoration_humanist,11
correction_revision_accuracy,translation_vernacularization,11
ease_clarity_accessibility,abridgment_contraction_selection,10
ease_clarity_accessibility,translation_vernacularization,10
utility_application_practice,ancient_restoration_humanist,10
novelty_invention_modernity,translation_vernacularization,10
correction_revision_accuracy,novelty_invention_modernity,9
utility_application_practice,translation_vernacularization,9
ancient_restoration_humanist,abridgment_contraction_selection,8
ease_clarity_accessibility,correction_revision_accuracy,8
novelty_invention_modernity,visual_materiality_diagrams,7
translation_vernacularization,visual_materiality_diagrams,7
demonstration_method_order,abridgment_contraction_selection,7
correction_revision_accuracy,ancient_restoration_humanist,7
utility_application_practice,visual_materiality_diagrams,7
ease_clarity_accessibility,visual_materiality_diagrams,5
utility_application_practice,abridgment_contraction_selection,4
ancient_restoration_humanist,visual_materiality_diagrams,3
visual_materiality_diagrams,abridgment_contraction_selection,3
translation_vernacularization,abridgment_contraction_selection,1
novelty_invention_modernity,abridgment_contraction_selection,1
correction_revision_accuracy,abridgment_contraction_selection,1
