social_marker,value,n_in,pct_in,pct_out,delta
community_professional,community_professional,99,100.0,0.0,100.0
community_professional,enrichment_addition,99,33.3,11.7,21.6
community_professional,utility_use,99,24.2,6.5,17.8
community_professional,demonstration_method,99,20.2,10.8,9.4
community_professional,correction_revision,99,16.2,9.1,7.0
community_professional,restoration_ancient_authority,99,11.1,5.1,6.0
community_professional,novelty_invention,99,11.1,6.0,5.1
community_professional,translation_language,99,10.1,5.1,5.0
community_professional,clarity_ease,99,2.0,5.4,-3.4
has_audience,community_professional,205,23.9,7.8,16.1
has_audience,utility_use,205,12.2,7.4,4.8
has_audience,enrichment_addition,205,17.6,13.2,4.4
has_audience,demonstration_method,205,13.7,11.3,2.4
has_audience,novelty_invention,205,7.3,6.4,0.9
has_audience,translation_language,205,6.3,5.5,0.9
has_audience,clarity_ease,205,4.9,5.0,-0.1
has_audience,correction_revision,205,9.3,10.2,-0.9
has_audience,restoration_ancient_authority,205,4.4,6.3,-1.9
has_institutions,community_professional,249,20.1,8.2,11.8
has_institutions,restoration_ancient_authority,249,11.2,3.5,7.7
has_institutions,enrichment_addition,249,18.1,12.6,5.4
has_institutions,novelty_invention,249,9.6,5.4,4.3
has_institutions,translation_language,249,6.4,5.4,1.0
has_institutions,clarity_ease,249,5.2,4.9,0.3
has_institutions,demonstration_method,249,11.6,12.0,-0.3
has_institutions,correction_revision,249,8.4,10.6,-2.2
has_institutions,utility_use,249,6.8,9.3,-2.4
has_professional_audience,community_professional,28,100.0,8.7,91.3
has_professional_audience,enrichment_addition,28,50.0,13.0,37.0
has_professional_audience,correction_revision,28,35.7,9.1,26.6
has_professional_audience,demonstration_method,28,32.1,11.2,21.0
has_professional_audience,utility_use,28,28.6,7.9,20.7
has_professional_audience,translation_language,28,14.3,5.4,8.9
has_professional_audience,novelty_invention,28,10.7,6.5,4.2
has_professional_audience,clarity_ease,28,0.0,5.2,-5.2
has_professional_audience,restoration_ancient_authority,28,0.0,6.0,-6.0
