subject_family,value,n_in,pct_in,pct_out,delta
Applied Mechanics/Military,community_professional,57,22.8,10.9,11.9
Applied Mechanics/Military,utility_use,57,17.5,7.9,9.7
Applied Mechanics/Military,correction_revision,57,17.5,9.4,8.1
Applied Mechanics/Military,novelty_invention,57,8.8,6.5,2.3
Applied Mechanics/Military,demonstration_method,57,10.5,12.0,-1.4
Applied Mechanics/Military,clarity_ease,57,3.5,5.1,-1.6
Applied Mechanics/Military,translation_language,57,3.5,5.9,-2.3
Applied Mechanics/Military,enrichment_addition,57,10.5,14.5,-4.0
Applied Mechanics/Military,restoration_ancient_authority,57,1.8,6.1,-4.4
Arithmetic/Commerce,correction_revision,144,16.0,8.7,7.2
Arithmetic/Commerce,utility_use,144,11.8,7.9,3.9
Arithmetic/Commerce,demonstration_method,144,13.9,11.4,2.4
Arithmetic/Commerce,enrichment_addition,144,16.0,13.9,2.1
Arithmetic/Commerce,community_professional,144,12.5,11.6,0.9
Arithmetic/Commerce,clarity_ease,144,5.6,4.9,0.7
Arithmetic/Commerce,novelty_invention,144,4.9,7.0,-2.1
Arithmetic/Commerce,restoration_ancient_authority,144,1.4,6.7,-5.3
Arithmetic/Commerce,translation_language,144,0.7,6.7,-6.0
Cosmos/Earth,enrichment_addition,80,20.0,13.6,6.4
Cosmos/Earth,utility_use,80,10.0,8.4,1.6
Cosmos/Earth,clarity_ease,80,5.0,5.0,0.0
Cosmos/Earth,novelty_invention,80,6.2,6.7,-0.4
Cosmos/Earth,community_professional,80,10.0,11.9,-1.9
Cosmos/Earth,demonstration_method,80,8.8,12.2,-3.4
Cosmos/Earth,translation_language,80,1.2,6.2,-4.9
Cosmos/Earth,restoration_ancient_authority,80,1.2,6.3,-5.0
Cosmos/Earth,correction_revision,80,1.2,10.9,-9.6
Geometry/Theory,restoration_ancient_authority,424,8.5,3.1,5.4
Geometry/Theory,community_professional,424,13.4,10.0,3.4
Geometry/Theory,translation_language,424,7.3,4.1,3.3
Geometry/Theory,enrichment_addition,424,15.6,12.9,2.7
Geometry/Theory,utility_use,424,9.7,7.4,2.3
Geometry/Theory,demonstration_method,424,12.0,11.7,0.3
Geometry/Theory,clarity_ease,424,4.2,5.7,-1.5
Geometry/Theory,correction_revision,424,9.2,10.7,-1.5
Geometry/Theory,novelty_invention,424,5.4,7.9,-2.5
Instruments/Measurement,utility_use,104,20.2,6.9,13.3
Instruments/Measurement,demonstration_method,104,18.3,11.0,7.3
Instruments/Measurement,clarity_ease,104,8.7,4.5,4.2
Instruments/Measurement,enrichment_addition,104,17.3,13.8,3.5
Instruments/Measurement,novelty_invention,104,9.6,6.2,3.4
Instruments/Measurement,community_professional,104,13.5,11.5,2.0
Instruments/Measurement,correction_revision,104,10.6,9.9,0.7
Instruments/Measurement,restoration_ancient_authority,104,1.9,6.4,-4.4
Instruments/Measurement,translation_language,104,1.0,6.4,-5.4
Music,translation_language,18,16.7,5.5,11.2
Music,restoration_ancient_authority,18,11.1,5.7,5.4
Music,enrichment_addition,18,16.7,14.2,2.5
Music,community_professional,18,11.1,11.8,-0.6
Music,utility_use,18,5.6,8.6,-3.1
Music,clarity_ease,18,0.0,5.1,-5.1
Music,novelty_invention,18,0.0,6.8,-6.8
Music,correction_revision,18,0.0,10.2,-10.2
Music,demonstration_method,18,0.0,12.1,-12.1
Visual/Spatial Arts,utility_use,110,7.3,8.7,-1.5
Visual/Spatial Arts,translation_language,110,3.6,6.0,-2.4
Visual/Spatial Arts,novelty_invention,110,3.6,7.1,-3.5
Visual/Spatial Arts,community_professional,110,7.3,12.4,-5.1
Visual/Spatial Arts,demonstration_method,110,7.3,12.6,-5.3
Visual/Spatial Arts,restoration_ancient_authority,110,0.9,6.5,-5.6
Visual/Spatial Arts,clarity_ease,110,0.0,5.7,-5.7
Visual/Spatial Arts,correction_revision,110,4.5,10.8,-6.2
Visual/Spatial Arts,enrichment_addition,110,5.5,15.6,-10.1
