classification_key,metadata_elements_title_page_keys,year,city,language,author_or_editor,publisher,elements_books,natural_dominant_mode,natural_mode_count,rich_claim_text_raw,rich_social_text_raw
London_1680–81,London_1680–81,1680/1681,London,ENGLISH,Jonas Moore,Robert Scott,"1–6, 11–12",practical-pedagogical,4,"CONTAIN-ING | Composed | demonstrated | the first Six Books of Euclid’s ELEMENTS | as also the Eleventh and Twelfth, symbolically demonstrated | Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY | the first Six Books of Euclid’s ELEMENTS | Euclid’s ELEMENTS","Royal Foundation of the Mathematical SCHOOL | ROYAL SOCIETY | Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY"
London_1685a,London_1685a,1685,London,ENGLISH,"Claude-François Milliet Dechales, Reeve Williams",Philip Lea,"1–6, 11–12",practical-pedagogical,7,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite
Oxford_1685,Oxford_1685,1685,Oxford,ENGLISH,Claude-François Milliet Dechales,L. Lichfield,"1–6, 11–12",practical-pedagogical,7,"Explain’d | Written | done | purg’d | THE ELEMENTS OF EUCLID | Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks | purg’d from a multitude of Errors, which had escap’d in the Original | Exccellent Math-ematician | of the So-ciety of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",So-ciety of JESUS | Exccellent Math-ematician | of the So-ciety of JESUS
London_1696,London_1696,1696,London,ENGLISH,Claude-François Milliet Dechales,M. Gillyflower and W. Freeman,"1–6, 11–12",practical-pedagogical,7,"Explain’d | Written | made | Cor-rected | THE ELEMENTS OF EUCLID | in a New, but most Easie method | The Second Edition | Now made English, and a multitude of Errors Cor-rected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS
Oxford_London_1700,Oxford_London_1700,1700,"Oxford, London",ENGLISH,Claude-François Milliet Dechales,M. Gillyflower,"1–6, 11–12",practical-pedagogical,7,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS
London_1703,London_1703,1703,London,ENGLISH,"Claude-François Milliet Dechales, Reeve Williams",A. Lea,"1–6, 11–12",practical-pedagogical,7,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Done out of FRENCH | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID,a Jesuite
473J72,473J72,1726,London,ENGLISH,Henry Hill,William Pearson,"1-6, 11-12",practical-pedagogical,5,"Demonstrated | THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | Demonstrated after a New, Plain, and Eafie METHOD | A. M | Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | EUCLID's",A. M
QX7XH4,QX7XH4,1756,Glasgow,ENGLISH,Robert Simson,"Andrew Foulis, Robert Foulis","1-6, 11-12",pedagogical/method,4,"Corrected | Restored | THE ELEMENTS OF EUCLID | THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH | In this Edition | M.D | Professor of Mathematics in the University of Glasgow | THEON | THE ELEMENTS OF EUCLID, VIZ. THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH | EUCLID | EUCLID's",University of Glasgow | M.D | Professor of Mathematics in the University of Glasgow | THEON
London_1789,London_1789,1789,London,ENGLISH,John Bonnycastle,J. Johnson,"1-6, 11-12",practical-pedagogical,5,"CONTAINING | ELEMENTS OF   GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF   GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH"
Lyon_1672,Lyon_1672,1672,Lyon,FRENCH,Claude-François Milliet Dechales,Benoist Coral,"1-6, 11-12",sparse/canonical,3,RENDVS | HVICT LIVRES DES ELEMENTS DEVCLIDE | R. P | HVICT LIVRES DES ELEMENTS DEVCLIDE | DEVCLIDE,Compagnie de IESVS | R. P
