family,metric,pkg_count,pkg_pct,other_elements_pct,all_elements_pct,delta_vs_other
natural_mode,mode_practical_public,23,59.0,23.5,28.3,35.5
social,religious_institutional_arena,19,48.7,16.6,21.0,32.1
claim,claim_method_demonstration_order,25,64.1,38.5,42.0,25.6
archetype,utility_public_book,10,25.6,1.2,4.5,24.4
claim,claim_utility_practice_application,11,28.2,4.5,7.7,23.8
claim,claim_accessibility_clarity_pedagogy,14,35.9,12.6,15.7,23.3
feature,institutions_has,25,64.1,41.3,44.4,22.8
archetype,method_access_book,11,28.2,6.9,9.8,21.3
feature,editor_name_has,37,94.9,74.5,77.3,20.4
feature,editor_description_has,33,84.6,64.8,67.5,19.8
social,military_fortification_arena,8,20.5,0.8,3.5,19.7
claim,claim_ancient_authority_restoration,38,97.4,81.0,83.2,16.5
claim,claim_novelty_modernity_invention,9,23.1,7.3,9.4,15.8
feature,elements_designation_has,38,97.4,82.2,84.3,15.2
natural_mode,mode_institutional_authority,35,89.7,74.5,76.6,15.2
feature,publisher_in_imprint_has,39,100.0,85.0,87.1,15.0
natural_mode,mode_humanist_ancient,38,97.4,83.0,85.0,14.4
feature,action_verbs_has,35,89.7,76.1,78.0,13.6
social,learned_scholarly_arena,17,43.6,30.4,32.2,13.2
claim,claim_canonical_textual_identity,38,97.4,85.0,86.7,12.4
feature,edition_details_has,22,56.4,44.1,45.8,12.3
social,pedagogical_school_arena,13,33.3,21.9,23.4,11.5
archetype,procedural_pedagogical_identity,26,66.7,55.5,57.0,11.2
natural_mode,mode_pedagogical_method,31,79.5,68.8,70.3,10.7
feature,audience_has,12,30.8,20.2,21.7,10.5
natural_mode,mode_corrected_updated,23,59.0,49.0,50.3,10.0
feature,date_in_imprint_has,37,94.9,85.4,86.7,9.4
claim,claim_correction_revision_accuracy,12,30.8,21.9,23.1,8.9
feature,location_in_imprint_has,37,94.9,86.2,87.4,8.6
feature,base_content_has,38,97.4,89.1,90.2,8.4
subject,Trigonometry,4,10.3,2.8,3.8,7.4
feature,educational_authorities_references_has,11,28.2,21.1,22.0,7.2
feature,content_description_has,20,51.3,45.7,46.5,5.5
subject,Practical Geometry,4,10.3,5.7,6.3,4.6
claim,claim_completeness_totality_system,8,20.5,16.2,16.8,4.3
subject,Arithmetic/Commerce,3,7.7,4.9,5.2,2.8
subject,Navigation,1,2.6,0.0,0.3,2.6
subject,Applied Mechanics/Military,1,2.6,0.4,0.7,2.2
social,general_public_lovers_arena,3,7.7,6.1,6.3,1.6
claim,claim_selection_extraction_abridgment,7,17.9,17.8,17.8,0.1
subject,Visual/Spatial Arts,1,2.6,3.2,3.1,-0.7
subject,Cosmos/Earth,2,5.1,6.1,5.9,-0.9
subject,Geometry/Theory,24,61.5,62.8,62.6,-1.2
social,patronage_prestige_arena,3,7.7,8.9,8.7,-1.2
archetype,sparse_canonical_identity,2,5.1,6.9,6.6,-1.8
social,professional_practical_arena,1,2.6,4.5,4.2,-1.9
subject,Astronomy,1,2.6,6.1,5.6,-3.5
feature,enriched_with_has,17,43.6,47.8,47.2,-4.2
feature,references_to_euclid_has,31,79.5,83.8,83.2,-4.3
feature,origin_language_has,6,15.4,20.2,19.6,-4.9
natural_mode,mode_sparse_canonical,4,10.3,16.2,15.4,-5.9
subject,Theoretical Mathematics,21,53.8,59.9,59.1,-6.1
claim,claim_visual_material_aids,4,10.3,16.6,15.7,-6.3
feature,description_of_euclid_has,3,7.7,14.6,13.6,-6.9
social,court_state_service_arena,2,5.1,12.1,11.2,-7.0
feature,destination_language_has,7,17.9,26.3,25.2,-8.4
natural_mode,mode_composite_apparatus,23,59.0,70.0,68.5,-11.1
feature,dedicatee_name_has,4,10.3,23.9,22.0,-13.6
feature,bound_with_minimal_has,7,17.9,32.0,30.1,-14.0
feature,bound_with_has,7,17.9,32.4,30.4,-14.4
natural_mode,mode_vernacular_transfer,9,23.1,39.3,37.1,-16.2
claim,claim_augmentation_enrichment_composition,10,25.6,43.3,40.9,-17.7
archetype,composite_workshop_book,7,17.9,38.5,35.7,-20.5
archetype,humanist_transfer_book,1,2.6,28.3,24.8,-25.8
claim,claim_translation_vernacularization_transfer,1,2.6,30.0,26.2,-27.4
social,no_visible_social_arena,7,17.9,47.8,43.7,-29.8
