bucket,classification_key,year,city,language,natural_dominant_mode,mode_count,primary_classes,claim_text,social_text,title_page_keys
english_dechales_easy_use,London_1685a,1685,London,ENGLISH,practical-pedagogical,7,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite,London_1685a
english_dechales_easy_use,Oxford_1685,1685,Oxford,ENGLISH,practical-pedagogical,7,,"Explain’d | Written | done | purg’d | THE ELEMENTS OF EUCLID | Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks | purg’d from a multitude of Errors, which had escap’d in the Original | Exccellent Math-ematician | of the So-ciety of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | French | …",So-ciety of JESUS | Exccellent Math-ematician | of the So-ciety of JESUS,Oxford_1685
english_dechales_easy_use,London_1696,1696,London,ENGLISH,practical-pedagogical,7,Theoretical Mathematics,"Explain’d | Written | made | Cor-rected | THE ELEMENTS OF EUCLID | in a New, but most Easie method | The Second Edition | Now made English, and a multitude of Errors Cor-rected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the …",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,London_1696
english_dechales_easy_use,Oxford_London_1700,1700,"Oxford, London",ENGLISH,practical-pedagogical,7,,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Toge…",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,Oxford_London_1700
english_dechales_easy_use,London_1703,1703,London,ENGLISH,practical-pedagogical,7,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Done out of FRENCH | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID,a Jesuite,London_1703
english_dechales_easy_use,London_1789,1789,London,ENGLISH,practical-pedagogical,5,Theoretical Mathematics,"CONTAINING | ELEMENTS OF GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH",London_1789
french_dechales_easy_use,Paris_1682,1682,Paris,FRENCH,practical-pedagogical,6,,LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1682
french_dechales_easy_use,Paris_1683,1683,Paris,FRENCH,practical-pedagogical,6,,EXPLIQUEZ | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1683
french_dechales_easy_use,Paris_1690,1690,Paris,FRENCH,practical-pedagogical,6,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1690
french_dechales_easy_use,Amsterdam_1700,1700,Amsterdam,FRENCH,practical-pedagogical,6,Theoretical Mathematics,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | P,Amsterdam_1700
