classification_key,year,city,language_first,author_or_editor,elements_books_group,elements_books,natural_dominant_mode,natural_mode_count,primary_classes,mode_practical_public,utility_public_book,method_access_book,claim_method_demonstration_order,claim_accessibility_clarity_pedagogy,claim_utility_practice_application,claim_translation_vernacularization_transfer,claim_augmentation_enrichment_composition,religious_institutional_arena,military_fortification_arena,no_visible_social_arena,rich_claim_text_raw,rich_social_text_raw
2L8L55,1719,Bologna,LATIN,Geminiano Rondelli,books_1_6,1-6,institutional-composite,5,Theoretical Mathematics,False,False,False,False,False,False,False,True,False,False,True,"accefferunt | iterum expofita | SEX PRIORA EUCLIDIS ELEMENTA | Quibus accefferunt Undecimum, & Duodecimum | iterum expofita | In Bononienfi Archigymnafio Hydrometriæ Profeffore | SEX PRIORA EUCLIDIS ELEMENTA | Undecimum, & Duodecimum | Hydrometriæ | Hydrometriæ | EUCLIDIS",Bononienfi Archigymnafio | BONONIÆ SENATUS | In Bononienfi Archigymnafio Hydrometriæ Profeffore | BONONIÆ SENATUS PATRIBUS Scientiarum omnium Mæcenatibus
8DP4C1,1613,Bologna,ITALIAN,Pietro Antonio Cataldi,books_1_6,1-6,sparse/canonical,3,Practical Geometry,True,False,False,False,False,False,False,False,False,False,True,ridotti | I primi sei libri de gl’Elementi d’Euclide | I primi sei libri de gl’Elementi d’Euclide | Euclide,
Alcala_1637,1637,Alcala,DUTCH,Luis Carducci,books_1_6,1–6,humanist/vernacular transfer,3,,False,False,False,False,False,False,True,False,False,False,False,Traducido | comentado | ELEMENTOS GEOMETRICOS DE EVCLIDES | PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS | Mathematico de su Magestad | ELEMENTOS GEOMETRICOS DE EVCLIDES | EVCLIDES,Mathematico de su Magestad | AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG
Amsterdam_1616,1616,Amsterdam,DUTCH,Jan Pietersz Dou,books_1_6,1–6,practical-pedagogical,7,Practical Geometry | Theoretical Mathematics,True,False,True,True,True,True,True,True,False,False,False,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren | EVCLIDIS","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer"
Amsterdam_1618,1618,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",books_1_6,1–6,institutional-composite,6,,False,False,False,True,False,False,False,False,False,False,True,"angefüget | verteutscht | Die sechs ersten Bücher EVCLIDIS | Von den anfängen vnd fundamenten der Geometriæ | Niderlandischen andern Edition | H. Ioann Petersz Dou | Die sechs ersten Bücher EVCLIDIS | angefüget seind: sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen | Per Demonstra-tiones Lineales | Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici | Niderlandischen | Griechischen | EVCLIDIS",Teütschen Schuln in Nurnberg | H. Ioann Petersz Dou
Amsterdam_1626,1626,Amsterdam,DUTCH,Jan Pietersz Dou,books_1_6,1–6,practical-pedagogical,6,,True,False,True,True,True,True,False,True,False,False,False,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer
Amsterdam_1634,1634,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",books_1_6,1-6,institutional-composite,6,Theoretical Mathematics,False,False,False,True,False,False,False,True,False,False,True,"angefüget | verteutscht | Die sechs ersten Bücher EVCLIDIS | Von den Anfängen vnd fundamenten der Geometriæ | Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht | Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg | H. Ioann Petersz | Die sechs ersten Bücher EVCLIDIS | Nutzbarkeiten angefüget | Speciebus in Geometrischen Figuren | Per Demonstra-tiones Lineales | Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici | Niderländischen | EVCLIDIS",der Teuschen Schuln in Nürnberg | Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg | H. Ioann Petersz
Amsterdam_1660,1660,Amsterdam,DUTCH,Jacob Willemsz,books_1_6,1–6,pedagogical/method,4,Theoretical Mathematics,False,False,False,True,False,False,False,False,False,False,True,vertaald | EUKLIDES SES EERSTE BOEKKEN | Van de Beginselen der WISKONSTEN | van Haerlem | EUKLIDES SES EERSTE BOEKKEN | Neerduyts | EUKLIDES,van Haerlem
Amsterdam_1700b,1700,Amsterdam,DUTCH,Jan Pietersz Dou,books_1_6,1–6,practical-pedagogical,6,Theoretical Mathematics,True,False,False,True,False,False,False,True,False,False,False,"by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde | van alle leer-gierige Liefhebbers der selver vrye Konste | De zes eerste Boecken EUCLIDIS | Van de beginselen ende fon-damenten der Geometrie | Desen laetsten Druk, van nieuws oversien en verbetert | Lant-meter ende Wijn-roeyer der Stadt LEYDEN | De zes eerste Boecken EUCLIDIS | by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen | Mitsgaders de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert | EUCLIDIS",van alle leer-gierige Liefhebbers der selver vrye Konste | Lant-meter ende Wijn-roeyer der Stadt LEYDEN
Amsterdam_1701,1701,Amsterdam,DUTCH,Jan Pietersz Dou,books_1_6,1–6,practical-pedagogical,6,Practical Geometry | Theoretical Mathematics,True,False,False,True,False,False,False,True,False,False,False,"by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De zes eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten Druk, van nieuws oversien en verbetert | Lant-meter ende Wijn-roeyer der Stadt LEYDEN | De zes eerste Boecken EUCLIDIS | by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | Over-geset, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste | by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert | EUCLIDIS",alle leer-gierige Liefhebbers der selver vrye Konste | Lant-meter ende Wijn-roeyer der Stadt LEYDEN
Amsterdam_1702,1702,Amsterdam,DUTCH,Henrick Coets,books_1_6,1–6,pedagogical/method,3,Theoretical Mathematics,False,False,False,True,False,False,False,False,False,False,False,GEDEMONSTREERT | DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS | Lector in de MATHESIS tot LEYDEN | DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS | EUCLIDIS,Lector in de MATHESIS tot LEYDEN
