author_or_editor,plain_1_6_count,plain_1_6_pct,plus_solids_count,plus_solids_pct,delta_plus_solids_minus_plain
Claude-François Milliet Dechales,0,0.0,13,33.3,33.3
André Tacquet,0,0.0,6,15.4,15.4
Jacques Ozanam,0,0.0,3,7.7,7.7
"Claude-François Milliet Dechales, Reeve Williams",0,0.0,2,5.1,5.1
Anton Ernst Burckhard von Pirckenstein,0,0.0,2,5.1,5.1
Sebastián Fernández de Medrano,0,0.0,2,5.1,5.1
Henry Hill,0,0.0,1,2.6,2.6
Jacobo Kresa,0,0.0,1,2.6,2.6
Jonas Moore,0,0.0,1,2.6,2.6
Samuel Klingenstierna,0,0.0,1,2.6,2.6
"A. Kuypers, Johann Samuel König",0,0.0,1,2.6,2.6
John Keill,0,0.0,1,2.6,2.6
John Bonnycastle,0,0.0,1,2.6,2.6
Vincenzio Viviani,0,0.0,1,2.6,2.6
"André Tacquet, William Whiston",0,0.0,1,2.6,2.6
Guido Grandi,0,0.0,1,2.6,2.6
Robert Simson,1,1.2,1,2.6,1.3
Luis Carducci,1,1.2,0,0.0,-1.2
John Playfair,1,1.2,0,0.0,-1.2
Johannes Scheubel,1,1.2,0,0.0,-1.2
"Johann Wilhelm von Camerer, Karl Friedrich Hauber",1,1.2,0,0.0,-1.2
Leonardo Fioravanti,1,1.2,0,0.0,-1.2
Pietro Antonio Cataldi,1,1.2,0,0.0,-1.2
Martinus Erici Gestrinius,1,1.2,0,0.0,-1.2
Mårten Strömer,1,1.2,0,0.0,-1.2
Pierre Forcadel,1,1.2,0,0.0,-1.2
Johann Friedrich Lorenz,1,1.2,0,0.0,-1.2
Porpora,1,1.2,0,0.0,-1.2
Rodorigo de Zamorano,1,1.2,0,0.0,-1.2
Simon Marius,1,1.2,0,0.0,-1.2
Thomas Rudd,1,1.2,0,0.0,-1.2
Thomas Simpson,1,1.2,0,0.0,-1.2
Vincenzo Flauti,1,1.2,0,0.0,-1.2
Wilhelm Xylander,1,1.2,0,0.0,-1.2
"Xu Guangqi, Matteo Ricci",1,1.2,0,0.0,-1.2
Johann Lanz,1,1.2,0,0.0,-1.2
"Xu Guangqi, Matteo Ricci, Li Zhizao",1,1.2,0,0.0,-1.2
"Joachim Kammermeister, Georg Joachim Rhäticus",1,1.2,0,0.0,-1.2
Henrick Coets,1,1.2,0,0.0,-1.2
Denis Henrion,1,1.2,0,0.0,-1.2
Edmund Scarburgh,1,1.2,0,0.0,-1.2
"Conrad Dasypodius, Christian Herlin",1,1.2,0,0.0,-1.2
Jean Errard,1,1.2,0,0.0,-1.2
Geminiano Rondelli,1,1.2,0,0.0,-1.2
"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",1,1.2,0,0.0,-1.2
Christian Melder,1,1.2,0,0.0,-1.2
Henry Briggs,1,1.2,0,0.0,-1.2
Jacques Peletier,1,1.2,0,0.0,-1.2
"Jacques Peletier, Jean de Tournes",1,1.2,0,0.0,-1.2
Jacques Rohault,1,1.2,0,0.0,-1.2
"Jacques Rohault, Claude Clerselier",1,1.2,0,0.0,-1.2
Angelo Marchetti,1,1.2,0,0.0,-1.2
D. Joanni Franciso Polo,1,1.2,0,0.0,-1.2
Samuel Reyher,2,2.5,0,0.0,-2.5
Christoffer Dybvad,2,2.5,0,0.0,-2.5
"Christopher Clavius, Christoph Grienberger",2,2.5,0,0.0,-2.5
Charles Malapert de Mons,2,2.5,0,0.0,-2.5
Pietro Paolo Caravaggi,2,2.5,0,0.0,-2.5
Pierre Hérigone,2,2.5,0,0.0,-2.5
Oronce Finé,2,2.5,0,0.0,-2.5
"Jan Pietersz Dou, Sebastian Curtius",2,2.5,0,0.0,-2.5
Gaspar Schott,3,3.7,0,0.0,-3.7
Giovanni Ricci,3,3.7,0,0.0,-3.7
Jacob Willemsz,3,3.7,0,0.0,-3.7
Caterino Doino,3,3.7,0,0.0,-3.7
Georges Fournier,5,6.2,0,0.0,-6.2
Jan Pietersz Dou,10,12.3,0,0.0,-12.3
