comparison_group,bucket,classification_key,year,city,language_first,author_or_editor,natural_dominant_mode,primary_classes,elements_books,rich_claim_text_raw,rich_social_text_raw
plain_1_6,Dutch practical-public six-book Elements,Amsterdam_1616,1616,Amsterdam,DUTCH,Jan Pietersz Dou,practical-pedagogical,Practical Geometry | Theoretical Mathematics,1–6,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren | EVCLIDIS","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer"
plain_1_6,Dutch practical-public six-book Elements,Amsterdam_1626,1626,Amsterdam,DUTCH,Jan Pietersz Dou,practical-pedagogical,,1–6,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer
plain_1_6,Dutch practical-public six-book Elements,Amsterdam_1700b,1700,Amsterdam,DUTCH,Jan Pietersz Dou,practical-pedagogical,Theoretical Mathematics,1–6,"by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde | van alle leer-gierige Liefhebbers der selver vrye Konste | De zes eerste Boecken EUCLIDIS | Van de beginselen ende fon-damenten der Geometrie | Desen laetsten Druk, van nieuws oversien en verbetert | Lant-meter ende Wijn-roeyer der Stadt LEYDEN | De zes eerste Boecken EUCLIDIS | by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen | Mitsgaders de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert | EUCLIDIS",van alle leer-gierige Liefhebbers der selver vrye Konste | Lant-meter ende Wijn-roeyer der Stadt LEYDEN
plain_1_6,Dutch practical-public six-book Elements,Amsterdam_1701,1701,Amsterdam,DUTCH,Jan Pietersz Dou,practical-pedagogical,Practical Geometry | Theoretical Mathematics,1–6,"by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De zes eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten Druk, van nieuws oversien en verbetert | Lant-meter ende Wijn-roeyer der Stadt LEYDEN | De zes eerste Boecken EUCLIDIS | by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | Over-geset, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste | by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert | EUCLIDIS",alle leer-gierige Liefhebbers der selver vrye Konste | Lant-meter ende Wijn-roeyer der Stadt LEYDEN
plain_1_6,Dutch practical-public six-book Elements,Leiden_1607,1607,Leiden,DUTCH,Jan Pietersz Dou,practical-pedagogical,Practical Geometry,1–6,"gevoecht | Overgheset | verclaert | uytgheleyt | alle leergierige, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fonda-menten der Geometri | der stadt Leyden Lantmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | by gevoecht sijn eenige nutticheden, uyt de selve Boecken ghetrocken | Mitsgaders de Specien in Geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | Overgheset, verclaert, ende uytgheleyt | EVCLIDIS","alle leergierige, liefhebbers der selver vryer Conste | der stadt Leyden Lantmeter ende Wijnroeyer"
plain_1_6,Dutch practical-public six-book Elements,Rotterdam_1632,1632,Rotterdam,DUTCH,Jan Pietersz Dou,practical-pedagogical,Practical Geometry,1–6,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | eenighe nut-tigheden | Specien in Geometrische figueren | byghevoeghde nut-tigheden | EVCLIDIS,van alle leergierighe lief hebbers der selver vryer Konste | der stadt Leyden Lant-meter ende Wijnroeyer
plain_1_6,plain 1-6 translation/humanist transfer,Alcala_1637,1637,Alcala,DUTCH,Luis Carducci,humanist/vernacular transfer,,1–6,Traducido | comentado | ELEMENTOS GEOMETRICOS DE EVCLIDES | PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS | Mathematico de su Magestad | ELEMENTOS GEOMETRICOS DE EVCLIDES | EVCLIDES,Mathematico de su Magestad | AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG
plain_1_6,plain 1-6 translation/humanist transfer,Amsterdam_1616,1616,Amsterdam,DUTCH,Jan Pietersz Dou,practical-pedagogical,Practical Geometry | Theoretical Mathematics,1–6,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren | EVCLIDIS","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer"
plain_1_6,plain 1-6 translation/humanist transfer,Basel_1550,1550,Basel,LATIN,Johannes Scheubel,institutional-composite,Theoretical Mathematics,1-6,"adiectis | præmissæ | studiosorum | SEX LIBRI PRIORES | DE Geometricis principijs, Græci & Latini, unà cum demonstrationibus propositionum, absque literarum notis, ueris ac proprijs, & alijs quibusdam, usum earum concernentibus | IN inclyta Academia Tubingensi Euclidis professore ordinario | SEX LIBRI PRIORES | adiectis | ALGEBRAE PORRO REGVLAE, PROPTER NVMErorum exempla, passim propositionibus adiecta, his libris præmissæ sunt, eædemque demonstratæ | ALGEBRAE PORRO REGVLAE | Megarensis, Philosophi & MatheMATICI EXCEL-LENTISSIMI | Euclidis professore ordinario | Græci | Latini | EVCLIDIS Megarensis | Euclidis",studiosorum | Academia Tubingensi | IN inclyta Academia Tubingensi Euclidis professore ordinario
plain_1_6,plain 1-6 translation/humanist transfer,Berlin_1824,1824,Berlin,GREEK,"Johann Wilhelm von Camerer, Karl Friedrich Hauber",institutional-composite,,1-6,"EDIDIT | COMPLECTENS | LIBRI SEX PRIORES | COMPLECTENS LIBR. I–III | GYMNASII STUTTGARDIANI RECTOR | PFLEIDERERI | EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | COMMENTARIO E SCRIPTIS VETERUM AC RECENTIORUM MATHEMATICORUM ET PFLEIDERERI, MAXIME ILLUSTRATI | CUM X. TABULIS | GRAECE | LATINE | GRAECE | LATINE | EUCLIDIS",GYMNASII STUTTGARDIANI | GYMNASII STUTTGARDIANI RECTOR | PFLEIDERERI
