family,metric,label,plain_1_6_1650plus_n,plain_1_6_1650plus_count,plain_1_6_1650plus_pct,plus_solids_1650plus_n,plus_solids_1650plus_count,plus_solids_1650plus_pct,delta_plus_solids_minus_plain
natural_mode,mode_practical_public,Practical/public natural mode,39,8,20.5,39,23,59.0,38.5
social,religious_institutional_arena,Religious institutional arena,39,7,17.9,39,19,48.7,30.8
claim,claim_accessibility_clarity_pedagogy,Accessibility/ease/pedagogy claim,39,3,7.7,39,14,35.9,28.2
archetype,utility_public_book,Utility public book,39,0,0.0,39,10,25.6,25.6
archetype,method_access_book,Method/access book,39,1,2.6,39,11,28.2,25.6
claim,claim_utility_practice_application,Utility/practice/application claim,39,1,2.6,39,11,28.2,25.6
institution,inst_jesuit,Jesuit institution marker,39,5,12.8,39,13,33.3,20.5
audience,aud_general_readers_lovers,General readers/lovers audience,39,0,0.0,39,8,20.5,20.5
natural_mode,mode_humanist_ancient,Humanist/ancient natural mode,39,30,76.9,39,38,97.4,20.5
archetype,procedural_pedagogical_identity,Procedural/pedagogical identity,39,18,46.2,39,26,66.7,20.5
claim,claim_method_demonstration_order,Method/demonstration/order claim,39,17,43.6,39,25,64.1,20.5
social,military_fortification_arena,Military/fortification arena,39,1,2.6,39,8,20.5,17.9
natural_mode,mode_pedagogical_method,Pedagogical/method natural mode,39,25,64.1,39,31,79.5,15.4
natural_mode,mode_institutional_authority,Institutional authority natural mode,39,29,74.4,39,35,89.7,15.4
social,learned_scholarly_arena,Learned/scholarly arena,39,11,28.2,39,17,43.6,15.4
role,role_mathematics_professor_lecturer,Mathematics professor/lecturer role,39,2,5.1,39,6,15.4,10.3
claim,claim_correction_revision_accuracy,Correction/revision/accuracy claim,39,9,23.1,39,12,30.8,7.7
audience,aud_military_users,Military users audience,39,0,0.0,39,3,7.7,7.7
social,pedagogical_school_arena,Pedagogical/school arena,39,11,28.2,39,13,33.3,5.1
institution,inst_engineering_military_schools,Engineering/military school marker,39,0,0.0,39,1,2.6,2.6
claim,claim_visual_material_aids,Visual/material aid claim,39,5,12.8,39,4,10.3,-2.6
social,professional_practical_arena,Professional/practical arena,39,2,5.1,39,1,2.6,-2.6
social,general_public_lovers_arena,General public/lovers arena,39,4,10.3,39,3,7.7,-2.6
natural_mode,mode_composite_apparatus,Composite/apparatus natural mode,39,24,61.5,39,23,59.0,-2.6
archetype,sparse_canonical_identity,Sparse canonical identity,39,5,12.8,39,2,5.1,-7.7
natural_mode,mode_vernacular_transfer,Vernacular/transfer natural mode,39,12,30.8,39,9,23.1,-7.7
claim,claim_translation_vernacularization_transfer,Translation/vernacular transfer claim,39,6,15.4,39,1,2.6,-12.8
claim,claim_augmentation_enrichment_composition,Augmentation/enrichment/composition claim,39,17,43.6,39,10,25.6,-17.9
audience,aud_students_learners,Students/learners audience,39,8,20.5,39,1,2.6,-17.9
archetype,composite_workshop_book,Composite workshop book,39,16,41.0,39,7,17.9,-23.1
natural_mode,mode_sparse_canonical,Sparse/canonical natural mode,39,13,33.3,39,4,10.3,-23.1
social,no_visible_social_arena,No visible social arena,39,18,46.2,39,7,17.9,-28.2
