family,metric,label,plain_1_6_no_dechales_tacquet_n,plain_1_6_no_dechales_tacquet_count,plain_1_6_no_dechales_tacquet_pct,plus_solids_no_dechales_tacquet_n,plus_solids_no_dechales_tacquet_count,plus_solids_no_dechales_tacquet_pct,delta_plus_solids_minus_plain
social,military_fortification_arena,Military/fortification arena,81,1,1.2,17,8,47.1,45.8
natural_mode,mode_practical_public,Practical/public natural mode,81,19,23.5,17,11,64.7,41.2
audience,aud_general_readers_lovers,General readers/lovers audience,81,0,0.0,17,5,29.4,29.4
social,learned_scholarly_arena,Learned/scholarly arena,81,20,24.7,17,8,47.1,22.4
archetype,utility_public_book,Utility public book,81,0,0.0,17,3,17.6,17.6
audience,aud_military_users,Military users audience,81,0,0.0,17,3,17.6,17.6
role,role_mathematics_professor_lecturer,Mathematics professor/lecturer role,81,5,6.2,17,4,23.5,17.4
claim,claim_utility_practice_application,Utility/practice/application claim,81,5,6.2,17,3,17.6,11.5
natural_mode,mode_humanist_ancient,Humanist/ancient natural mode,81,67,82.7,17,16,94.1,11.4
social,pedagogical_school_arena,Pedagogical/school arena,81,20,24.7,17,6,35.3,10.6
institution,inst_engineering_military_schools,Engineering/military school marker,81,0,0.0,17,1,5.9,5.9
social,general_public_lovers_arena,General public/lovers arena,81,10,12.3,17,3,17.6,5.3
claim,claim_accessibility_clarity_pedagogy,Accessibility/ease/pedagogy claim,81,10,12.3,17,3,17.6,5.3
natural_mode,mode_institutional_authority,Institutional authority natural mode,81,62,76.5,17,13,76.5,-0.1
archetype,sparse_canonical_identity,Sparse canonical identity,81,6,7.4,17,1,5.9,-1.5
social,professional_practical_arena,Professional/practical arena,81,7,8.6,17,1,5.9,-2.8
natural_mode,mode_pedagogical_method,Pedagogical/method natural mode,81,55,67.9,17,11,64.7,-3.2
archetype,method_access_book,Method/access book,81,8,9.9,17,1,5.9,-4.0
claim,claim_correction_revision_accuracy,Correction/revision/accuracy claim,81,18,22.2,17,3,17.6,-4.6
audience,aud_students_learners,Students/learners audience,81,9,11.1,17,1,5.9,-5.2
claim,claim_method_demonstration_order,Method/demonstration/order claim,81,39,48.1,17,7,41.2,-7.0
archetype,procedural_pedagogical_identity,Procedural/pedagogical identity,81,44,54.3,17,8,47.1,-7.3
institution,inst_jesuit,Jesuit institution marker,81,6,7.4,17,0,0.0,-7.4
claim,claim_visual_material_aids,Visual/material aid claim,81,11,13.6,17,1,5.9,-7.7
natural_mode,mode_sparse_canonical,Sparse/canonical natural mode,81,19,23.5,17,2,11.8,-11.7
natural_mode,mode_vernacular_transfer,Vernacular/transfer natural mode,81,30,37.0,17,4,23.5,-13.5
claim,claim_translation_vernacularization_transfer,Translation/vernacular transfer claim,81,17,21.0,17,1,5.9,-15.1
social,religious_institutional_arena,Religious institutional arena,81,14,17.3,17,0,0.0,-17.3
social,no_visible_social_arena,No visible social arena,81,37,45.7,17,4,23.5,-22.1
archetype,composite_workshop_book,Composite workshop book,81,29,35.8,17,2,11.8,-24.0
claim,claim_augmentation_enrichment_composition,Augmentation/enrichment/composition claim,81,34,42.0,17,2,11.8,-30.2
natural_mode,mode_composite_apparatus,Composite/apparatus natural mode,81,51,63.0,17,5,29.4,-33.6
