elements_books_group,n,metric,count,pct,elements_overall_pct,delta
near_complete_or_expanded_enunciations,7,claim_accessibility_clarity_pedagogy,4,57.1,15.7,41.4
near_complete_or_expanded_enunciations,7,claim_completeness_totality_system,4,57.1,16.8,40.4
unknown_books,56,metadata_has_additional_content,32,57.1,19.2,37.9
books_1_13,5,general_public_lovers_arena,2,40.0,6.3,33.7
near_complete_or_expanded_enunciations,7,humanist_transfer_book,4,57.1,24.8,32.3
near_complete_or_expanded_enunciations,7,claim_translation_vernacularization_transfer,4,57.1,26.2,30.9
books_1_6_plus_solids,39,religious_institutional_arena,19,48.7,21.0,27.7
near_complete_or_expanded_enunciations,7,no_visible_social_arena,5,71.4,43.7,27.7
partial_from_book_1,8,court_state_service_arena,3,37.5,11.2,26.3
books_1_6_plus_solids,39,claim_method_demonstration_order,25,64.1,42.0,22.1
books_1_6_plus_solids,39,utility_public_book,10,25.6,4.5,21.1
partial_from_book_1,8,professional_practical_arena,2,25.0,4.2,20.8
near_complete_or_expanded,67,procedural_pedagogical_identity,52,77.6,57.0,20.6
books_1_6_plus_solids,39,claim_utility_practice_application,11,28.2,7.7,20.5
books_1_6_plus_solids,39,claim_accessibility_clarity_pedagogy,14,35.9,15.7,20.2
books_1_6_plus_solids,39,method_access_book,11,28.2,9.8,18.4
near_complete_or_expanded,67,claim_completeness_totality_system,23,34.3,16.8,17.5
books_1_13,5,Geometry/Theory,4,80.0,62.6,17.4
near_complete_or_expanded,67,humanist_transfer_book,28,41.8,24.8,17.0
books_1_6_plus_solids,39,military_fortification_arena,8,20.5,3.5,17.0
near_complete_or_expanded,67,metadata_additional_data,16,23.9,7.0,16.9
books_1_13,5,claim_correction_revision_accuracy,2,40.0,23.1,16.9
books_1_13,5,claim_ancient_authority_restoration,5,100.0,83.2,16.8
books_1_13,5,pedagogical_school_arena,2,40.0,23.4,16.6
books_1_13,5,no_visible_social_arena,3,60.0,43.7,16.3
near_complete_or_expanded_enunciations,7,claim_augmentation_enrichment_composition,4,57.1,40.9,16.2
near_complete_or_expanded,67,claim_translation_vernacularization_transfer,28,41.8,26.2,15.6
unknown_books,56,Cosmos/Earth,12,21.4,5.9,15.5
near_complete_or_expanded,67,composite_workshop_book,34,50.7,35.7,15.1
near_complete_or_expanded,67,Geometry/Theory,52,77.6,62.6,15.0
near_complete_or_expanded_enunciations,7,procedural_pedagogical_identity,5,71.4,57.0,14.4
partial_from_book_1,8,claim_correction_revision_accuracy,3,37.5,23.1,14.4
near_complete_or_expanded,67,claim_augmentation_enrichment_composition,37,55.2,40.9,14.3
books_1_6,81,claim_selection_extraction_abridgment,26,32.1,17.8,14.3
books_1_6_plus_solids,39,claim_ancient_authority_restoration,38,97.4,83.2,14.2
books_1_6_plus_solids,39,claim_novelty_modernity_invention,9,23.1,9.4,13.6
books_1_13,5,sparse_canonical_identity,1,20.0,6.6,13.4
books_1_13,5,claim_canonical_textual_identity,5,100.0,86.7,13.3
books_1_6_plus_solids,39,learned_scholarly_arena,17,43.6,32.2,11.4
near_complete_or_expanded,67,claim_correction_revision_accuracy,23,34.3,23.1,11.3
books_1_6_plus_solids,39,claim_canonical_textual_identity,38,97.4,86.7,10.7
near_complete_or_expanded_enunciations,7,claim_selection_extraction_abridgment,2,28.6,17.8,10.7
near_complete_or_expanded,67,metadata_has_additional_content,20,29.9,19.2,10.6
books_1_13,5,claim_novelty_modernity_invention,1,20.0,9.4,10.6
books_1_6_plus_solids,39,pedagogical_school_arena,13,33.3,23.4,9.9
books_1_6_plus_solids,39,procedural_pedagogical_identity,26,66.7,57.0,9.7
near_complete_or_expanded,67,claim_visual_material_aids,17,25.4,15.7,9.6
unknown_books,56,metadata_additional_optics_catoptrics,8,14.3,4.9,9.4
near_complete_or_expanded,67,claim_ancient_authority_restoration,62,92.5,83.2,9.3
partial_from_book_1,8,claim_augmentation_enrichment_composition,4,50.0,40.9,9.1
selected_later_books,21,Arithmetic/Commerce,3,14.3,5.2,9.0
unknown_books,56,learned_scholarly_arena,23,41.1,32.2,8.9
near_complete_or_expanded_enunciations,7,Geometry/Theory,5,71.4,62.6,8.8
near_complete_or_expanded,67,no_visible_social_arena,35,52.2,43.7,8.5
near_complete_or_expanded_enunciations,7,Cosmos/Earth,1,14.3,5.9,8.3
partial_from_book_1,8,claim_completeness_totality_system,2,25.0,16.8,8.2
books_1_13,5,learned_scholarly_arena,2,40.0,32.2,7.8
books_1_6_plus_solids,39,claim_correction_revision_accuracy,12,30.8,23.1,7.7
unknown_books,56,Visual/Spatial Arts,6,10.7,3.1,7.6
unknown_books,56,metadata_additional_music_harmonics,6,10.7,3.1,7.6
near_complete_or_expanded,67,claim_canonical_textual_identity,63,94.0,86.7,7.3
near_complete_or_expanded,67,claim_method_demonstration_order,33,49.3,42.0,7.3
near_complete_or_expanded_enunciations,7,metadata_additional_data,1,14.3,7.0,7.3
near_complete_or_expanded_enunciations,7,composite_workshop_book,3,42.9,35.7,7.2
partial_from_book_1,8,claim_selection_extraction_abridgment,2,25.0,17.8,7.2
unknown_books,56,Music,5,8.9,2.1,6.8
partial_from_book_1,8,no_visible_social_arena,4,50.0,43.7,6.3
books_1_6,81,claim_method_demonstration_order,39,48.1,42.0,6.2
books_1_6,81,general_public_lovers_arena,10,12.3,6.3,6.1
unknown_books,56,claim_translation_vernacularization_transfer,18,32.1,26.2,5.9
selected_later_books,21,learned_scholarly_arena,8,38.1,32.2,5.9
unknown_books,56,Instruments/Measurement,4,7.1,1.4,5.7
unknown_books,56,Arithmetic/Commerce,6,10.7,5.2,5.5
near_complete_or_expanded_enunciations,7,pedagogical_school_arena,2,28.6,23.4,5.1
unknown_books,56,court_state_service_arena,9,16.1,11.2,4.9
books_1_6,81,professional_practical_arena,7,8.6,4.2,4.4
books_1_13,5,claim_accessibility_clarity_pedagogy,1,20.0,15.7,4.3
near_complete_or_expanded,67,metadata_additional_optics_catoptrics,6,9.0,4.9,4.1
unknown_books,56,sparse_canonical_identity,6,10.7,6.6,4.1
unknown_books,56,claim_visual_material_aids,11,19.6,15.7,3.9
selected_later_books,21,no_visible_social_arena,10,47.6,43.7,3.9
unknown_books,56,patronage_prestige_arena,7,12.5,8.7,3.8
partial_from_book_1,8,patronage_prestige_arena,1,12.5,8.7,3.8
books_1_6_plus_solids,39,claim_completeness_totality_system,8,20.5,16.8,3.7
books_1_6,81,court_state_service_arena,12,14.8,11.2,3.6
unknown_books,56,pedagogical_school_arena,15,26.8,23.4,3.4
selected_later_books,21,general_public_lovers_arena,2,9.5,6.3,3.2
books_1_13,5,claim_completeness_totality_system,1,20.0,16.8,3.2
partial_from_book_1,8,claim_novelty_modernity_invention,1,12.5,9.4,3.1
books_1_13,5,procedural_pedagogical_identity,3,60.0,57.0,3.0
books_1_6,81,claim_novelty_modernity_invention,10,12.3,9.4,2.9
partial_from_book_1,8,method_access_book,1,12.5,9.8,2.7
near_complete_or_expanded_enunciations,7,claim_ancient_authority_restoration,6,85.7,83.2,2.5
books_1_6_plus_solids,39,Arithmetic/Commerce,3,7.7,5.2,2.4
books_1_6,81,no_visible_social_arena,37,45.7,43.7,2.0
books_1_6_plus_solids,39,Applied Mechanics/Military,1,2.6,0.7,1.9
partial_from_book_1,8,composite_workshop_book,3,37.5,35.7,1.8
books_1_6_plus_solids,39,general_public_lovers_arena,3,7.7,6.3,1.4
books_1_6,81,pedagogical_school_arena,20,24.7,23.4,1.3
near_complete_or_expanded,67,metadata_additional_music_harmonics,3,4.5,3.1,1.3
books_1_6,81,claim_augmentation_enrichment_composition,34,42.0,40.9,1.1
unknown_books,56,Applied Mechanics/Military,1,1.8,0.7,1.1
books_1_6,81,claim_canonical_textual_identity,71,87.7,86.7,0.9
books_1_6,81,sparse_canonical_identity,6,7.4,6.6,0.8
