bucket,classification_key,year,city,language,wardhaugh_classification,elements_books,elements_books_group,additional_content,primary_classes,secondary_classes,rich_claim_text_raw,rich_social_text_raw,metadata_elements_title_page_keys
sparse_or_low_social_elements,TTORPR,1528,Vienna,LATIN,,,unknown_books,,,,"decerp- tum | Continet | ad omnium Mathemati- ces candidatorum | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | EV- clidis",ad omnium Mathemati- ces candidatorum | collegij Viennẽsis | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis,TTORPR
sparse_or_low_social_elements,FA6MQ0,1551,London,ENGLISH,,,unknown_books,,Instrument Use | Practical Geometry,,"CONTAINING | for all sortes of men | THE FIRST PRINciples of Geometrie | as they may moste aptly be applied vnto practise, bothe for vse of instrumentes Geometricall, and astronomicall and also for proiection of plattes in euerye kinde, and therfore much necessary",for all sortes of men,FA6MQ0
sparse_or_low_social_elements,Halle_1758,1773,Halle,GERMAN,,1-6,books_1_6,,Theoretical Mathematics,,übersetzt | aus dem Griechischen übersetzt | zum Gebrauch der Schulen | die sechs ersten Bücher der Elemente | nebst dem eilften und zwölften | Euklids Geometrie | nach der dritten Ausgabe sämmtlicher sechs Bücher der Elemente | die sechs ersten Bücher der Elemente | nebst dem eilften und zwölften Buche | aus dem Griechischen | Euklid’s | Euklids,zum Gebrauch der Schulen,56DVN2 | Halle_1758
sparse_or_low_social_elements,Venice_1482,1482,Venice,LATIN,CAMPANUS,1-15,near_complete_or_expanded,,Theoretical Mathematics,,Elementorum Euclidis megarensis | in artem geometrie incipit | Elementorum Euclidis megarensis | Euclidis megarensis | Euclidis,,Venice_1482
sparse_or_low_social_elements,Venice_1498,1498,Venice,LATIN,,,unknown_books,Geometria,Theoretical Mathematics,,Interprete | Euclidis quartus decimus elementorum | Nicephori | Hypsiclis | Euclidis quartus decimus elementorum | Hypsiclis interpretatio | Nicephori logica | Georgij valle libellus de argumentis | Nicephori logica | Georgij valle libellus de argumentis | Euclidis | euclidis,Nicephori | Hypsiclis,Venice_1498
sparse_or_low_social_elements,Paris_1545,1545,Paris,LATIN,ZAMBERTI/GRYNAEUS (THEON),1-15,near_complete_or_expanded,,,,Euclides,,Paris_1545
sparse_or_low_social_elements,Paris_1549,1549,Paris,LATIN,ZAMBERTI/GRYNAEUS (THEON),,unknown_books,,Theoretical Mathematics,,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDIS,,Paris_1549 | Paris_1558a
sparse_or_low_social_elements,Rome_1594,1594,Rome,"ARABIC, LATIN",ps-TUSI,1-13,books_1_13,,,,تحرير | impressi | EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim | Nunc primum Arabicè impressi | DOCTISSIMI NASIRIDINI TVSINI | EVCLIDIS ELEMENTORVM GEOMETRICORVM | Arabicè | إقليدس | EVCLIDIS,DOCTISSIMI NASIRIDINI TVSINI,Rome_1594
sparse_or_low_social_elements,8DP4C1,1613,Bologna,ITALIAN,,1-6,books_1_6,,Practical Geometry,,ridotti | I primi sei libri de gl’Elementi d’Euclide | I primi sei libri de gl’Elementi d’Euclide | Euclide,,8DP4C1
sparse_or_low_social_elements,Lyon_1672,1672,Lyon,FRENCH,CLAVIUS,"1-6, 11-12",books_1_6_plus_solids,,Theoretical Mathematics,,RENDVS | HVICT LIVRES DES ELEMENTS DEVCLIDE | R. P | HVICT LIVRES DES ELEMENTS DEVCLIDE | DEVCLIDE,Compagnie de IESVS | R. P,Lyon_1672
