wardhaugh_classification,n,pedagogical_procedural_pct,pedagogical_procedural_n,composite_workshop_pct,composite_workshop_n,sparse_canonical_pct,sparse_canonical_n,utility_public_pct,utility_public_n,humanist_transfer_pct,humanist_transfer_n,method_access_pct,method_access_n,method_order_pct,method_order_n,accessibility_pct,accessibility_n,utility_practice_pct,utility_practice_n,correction_pct,correction_n,translation_transfer_pct,translation_transfer_n,augmentation_pct,augmentation_n,visual_aids_pct,visual_aids_n,religious_institution_pct,religious_institution_n,pedagogical_school_pct,pedagogical_school_n,learned_scholarly_pct,learned_scholarly_n,professional_practical_pct,professional_practical_n,general_public_pct,general_public_n,no_visible_social_pct,no_visible_social_n,metadata_additional_content_pct,metadata_additional_content_n
MISSING,88,47.7,42,35.2,31,11.4,10,2.3,2,21.6,19,9.1,8,27.3,24,15.9,14,6.8,6,12.5,11,26.1,23,40.9,36,15.9,14,15.9,14,28.4,25,39.8,35,1.1,1,1.1,1,46.6,41,37.5,33
CLAVIUS,61,59.0,36,26.2,16,3.3,2,11.5,7,0.0,0,21.3,13,60.7,37,23.0,14,13.1,8,37.7,23,0.0,0,34.4,21,13.1,8,50.8,31,13.1,8,23.0,14,0.0,0,8.2,5,29.5,18,1.6,1
MAGNIENUS/GRACILIS and DASYPODIUS,38,60.5,23,39.5,15,2.6,1,0.0,0,57.9,22,2.6,1,18.4,7,23.7,9,0.0,0,26.3,10,57.9,22,47.4,18,13.2,5,0.0,0,23.7,9,39.5,15,0.0,0,7.9,3,55.3,21,21.1,8
ZAMBERTI/GRYNAEUS (THEON),20,40.0,8,20.0,4,10.0,2,5.0,1,45.0,9,0.0,0,35.0,7,0.0,0,5.0,1,15.0,3,45.0,9,20.0,4,10.0,2,0.0,0,10.0,2,40.0,8,5.0,1,0.0,0,60.0,12,5.0,1
COMMANDINO,17,58.8,10,41.2,7,11.8,2,5.9,1,70.6,12,0.0,0,41.2,7,5.9,1,5.9,1,23.5,4,70.6,12,41.2,7,35.3,6,29.4,5,23.5,4,17.6,3,5.9,1,0.0,0,41.2,7,0.0,0
DOU,13,100.0,13,76.9,10,0.0,0,0.0,0,15.4,2,38.5,5,100.0,13,38.5,5,30.8,4,61.5,8,15.4,2,76.9,10,61.5,8,0.0,0,38.5,5,0.0,0,38.5,5,69.2,9,23.1,3,0.0,0
HÉRIGONE/BARROW,13,84.6,11,38.5,5,0.0,0,7.7,1,15.4,2,7.7,1,100.0,13,7.7,1,7.7,1,15.4,2,15.4,2,38.5,5,0.0,0,0.0,0,15.4,2,23.1,3,7.7,1,0.0,0,69.2,9,46.2,6
TACQUET,11,54.5,6,18.2,2,0.0,0,9.1,1,0.0,0,0.0,0,72.7,8,9.1,1,9.1,1,18.2,2,0.0,0,18.2,2,9.1,1,54.5,6,81.8,9,100.0,11,0.0,0,0.0,0,0.0,0,0.0,0
FOIX,9,77.8,7,66.7,6,0.0,0,0.0,0,11.1,1,0.0,0,11.1,1,0.0,0,0.0,0,22.2,2,11.1,1,77.8,7,0.0,0,0.0,0,0.0,0,0.0,0,33.3,3,0.0,0,66.7,6,22.2,2
D’ÉTAPLES,7,85.7,6,57.1,4,0.0,0,0.0,0,57.1,4,0.0,0,42.9,3,0.0,0,0.0,0,14.3,1,57.1,4,71.4,5,0.0,0,14.3,1,28.6,2,28.6,2,0.0,0,0.0,0,42.9,3,42.9,3
