bucket,classification_key,year,city,language,wardhaugh_classification,elements_books_group,primary_classes,rich_claim_text_raw,rich_social_text_raw,metadata_elements_title_page_keys
Elements but not Geometry/Theory primary,Rotterdam_1647,1647,Rotterdam,DUTCH,DOU,books_1_6,,"bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroyer | De ses eerste Boecken EUCLIDIS | eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geometrische figuren | eenige nuttigheden, uyt de selve Boecken getrocken | Specien in Geometrische figuren | bygevoegde nuttigheden, met de specien in Geometrische figuren | EUCLIDIS",alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,Rotterdam_1647 | Utrecht_1647
Elements but not Geometry/Theory primary,Amsterdam_1626,1626,Amsterdam,DUTCH,DOU,books_1_6,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer,Amsterdam_1626
Elements but not Geometry/Theory primary,Oxford_London_1700,1700,"Oxford, London",ENGLISH,CLAVIUS,books_1_6_plus_solids,,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,Oxford_London_1700
Elements but not Geometry/Theory primary,Paris_1622,1622,Paris,"FRENCH, LATIN",COMMANDINO,near_complete_or_expanded,,"Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Traduicts de Grec en François, et augmentez de plusieurs figures et demonstrations, auec la correction des erreurs commises es autres traductions | Professeur es Mathematiques | QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE",Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de la ROCHEFOVCAVLT,Paris_1622
Elements but not Geometry/Theory primary,Paris_1632a,1632,Paris,FRENCH,COMMANDINO,near_complete_or_expanded,,Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | seconde edition | Professeur es Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE,Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de Lÿon,Paris_1632a
Elements but not Geometry/Theory primary,Rotterdam_1681,1681,Rotterdam,DUTCH,DOU,books_1_6,,"by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten druck, van nieuws oversien ende verbetert | Landt-meter ende Wijn-roeyer der Stadt LEYDEN | De ses eerste Boecken EUCLIDIS | eenige nut-tigheden | Specien in Geometrische figuren | by-gevoegde nuttigheden | EUCLIDIS",alle leer-gierige Liefhebbers der selver vrye Konste | Landt-meter ende Wijn-roeyer der Stadt LEYDEN,Rotterdam_1681
Elements but not Geometry/Theory primary,London_1685a,1685,London,ENGLISH,CLAVIUS,books_1_6_plus_solids,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite,London_1685a
Elements but not Geometry/Theory primary,Paris_1690,1690,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1690
Elements but not Geometry/Theory primary,Cambridge_1703,1703,Cambridge,LATIN,TACQUET,books_1_6_plus_solids,,accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE,Cambridge_1703
Elements but not Geometry/Theory primary,London_1703,1703,London,ENGLISH,CLAVIUS,books_1_6_plus_solids,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Done out of FRENCH | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID,a Jesuite,London_1703
Elements but not Geometry/Theory primary,Lyon_1557,1557,Lyon,LATIN,D’ÉTAPLES,books_1_6,,"auctior | emendatior | additus | contulerit | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | Secunda editio, auctior & emendatior | CENOM | CENOMANI | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | cui & textus Euclidis Græcus additus est | Quid autem præcipuè ad Euclidem contulerit Peletarius | Euclidis Græcus | Græcus | Euclidis | Euclidem | Euclidis","CENOM | CENOMANI | Carolum Lothar-ingum, Principem, Cardinalémque amplissimum | Carolum Lotharingum, Principem, Cardinalemque",Geneva_1610 | Lyon_1557
Elements but not Geometry/Theory primary,Paris_1682,1682,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1682
Elements but not Geometry/Theory primary,Paris_1683,1683,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,EXPLIQUEZ | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1683
Elements but not Geometry/Theory primary,Paris_1500,1500,Paris,LATIN,MISSING,unknown_books,Astronomy,adiecta | illustratus | Geometria Euclidis | Academie illustratus | expositione Anuli Astronomici | Johannis de Sacro Bosco | Iacobi Lefranc | Geometria Euclidis | cum additione | adiecta | Nouo commentario nuper coito | De Sphe ra Johannis de Sa- cro bosco | Anuli Astronomici Iacobi Lefranc | Anuli Astronomici | De Sphe ra Johannis de Sa- cro bosco | Nouo commentario nuper coito adutilitate studii philosophici | Lili expositione Anuli Astro- nomici Iacobi Lefranc | Euclidis,Academie | Academie illustratus | expositione Anuli Astronomici | Johannis de Sacro Bosco | Iacobi Lefranc,Paris_1500
Elements but not Geometry/Theory primary,Paris_1536,1536,Paris,"LATIN, GREEK",ZAMBERTI/GRYNAEUS (THEON),books_1_6,,insertus est | recognita | SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis | Demonstrationes | REGII Mathematicarum professoris | Bartholamæi Zamberti Veneti | SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis | ipsius Euclidis textus græcus | interpretatione latina Bartholamæi Zamberti Veneti | Euclidis Megarensis | græcus | latina | Euclidis Megarensis | ipsius Euclidis,REGII Mathematicarum professoris | Bartholamæi Zamberti Veneti,Paris_1536
Elements but not Geometry/Theory primary,Paris_1557b,1557,Paris,"GREEK, LATIN",MISSING,unknown_books,Music Theory,desumpta | excusa | ΕΥΚΛΕΙΔΟΥ ΕἰΣΑΓΩΓΗ ἉΡΜΟΝΙΚΗ | Euclidis Rudimenta MUSICÆ | Τοῦ αὐτοῦ κατατομὴ κανόνος | Eiusdem sectio regulæ harmonicæ | ac nunc primùm Graecè & Latinè excusa | Regio Mathematico | ΕΥΚΛΕΙΔΟΥ ΕἰΣΑΓΩΓΗ ἉΡΜΟΝΙΚΗ | Euclidis Rudimenta MUSICÆ | Graecè | Latinè | ΕΥΚΛΕΙΔΟΥ | Euclidis,Regia bibliotheca | Regio Mathematico | ILLVSTRISSIMVM PRINCIPEM CAROLVM LOTHARINGVM CARDINALEM,Paris_1557b
Elements but not Geometry/Theory primary,Paris_1564,1564,Paris,FRENCH,MAGNIENUS/GRACILIS and DASYPODIUS,books_1_6,,TRADVICTS | COMMENTEZ | LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE | Lecteur ordi- naire du Roy és Mathema- tiques en l’vniuersité de Paris | LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE | EV- CLIDE,l’vniuersité de Paris | Lecteur ordi- naire du Roy és Mathema- tiques en l’vniuersité de Paris,Paris_1564
Elements but not Geometry/Theory primary,Paris_1573,1573,Paris,LATIN,MAGNIENUS/GRACILIS and DASYPODIUS,near_complete_or_expanded_enunciations,,"EVCLIDIS ELEMENTORVM  LIBRI XV | Quibus, cùm ad omnem Mathematicae scientiæ partem, tùm ad quamlibet Geometriæ tractatio- nem, facilis comparatur aditus | GRAE- cè & Latinè | EVCLIDIS ELEMENTORVM  LIBRI XV | Ἐπίγραμμα παλαιόν | Σχήματα πέντε Πλάτωνος, ὁ Πυθαγόρας σοφὸς εὗρε | Πυθαγόρας σοφὸς εὗρε, Πλάτων δ’ ἀρίδηλ’ ἐδί- δαξεν | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς ἔτευξεν | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς ἔτευξεν | GRAE- cè | Latinè | GRAE- cè | Latinè | EVCLIDIS | Εὐκλείδης",,Paris_1573 | Paris_1598
