language_first,books_1_13,books_1_6,books_1_6_plus_solids,mixed_or_other_books,near_complete_or_expanded,near_complete_or_expanded_enunciations,partial_from_book_1,selected_later_books,selected_later_books_enunciations,unknown_books,TOTAL
LATIN,3,32,12,0,38,5,3,10,1,35,139
FRENCH,0,9,11,0,17,0,5,2,0,9,53
DUTCH,0,15,0,0,2,2,0,0,0,2,21
ENGLISH,0,4,9,0,5,0,0,0,0,2,20
GREEK,1,3,0,0,2,0,0,6,0,4,16
GERMAN,0,7,2,0,1,0,0,2,0,1,13
ITALIAN,0,7,2,0,2,0,0,0,0,1,12
SPANISH,0,1,3,1,0,0,0,0,0,1,6
CHINESE,0,2,0,0,0,0,0,0,0,0,2
SWEDISH,0,1,0,0,0,0,0,1,0,0,2
ARABIC,1,0,0,0,0,0,0,0,0,0,1
PORTUGUESE,0,0,0,0,0,0,0,0,0,1,1
