group_type,group,n_elements,n_non_elements,metric,elements_count,elements_pct,non_elements_pct,delta
language_first,DUTCH,21,30,claim_ancient_authority_restoration,18,85.7,3.3,82.4
language_first,ITALIAN,12,52,claim_ancient_authority_restoration,12,100.0,21.2,78.8
period,1600-1649,75,248,claim_ancient_authority_restoration,64,85.3,8.9,76.5
language_first,ENGLISH,20,47,claim_ancient_authority_restoration,17,85.0,8.5,76.5
period,1700+,40,15,claim_canonical_textual_identity,38,95.0,20.0,75.0
period,1700+,40,15,claim_ancient_authority_restoration,35,87.5,13.3,74.2
period,1550-1599,55,125,claim_ancient_authority_restoration,47,85.5,12.0,73.5
language_first,FRENCH,53,209,claim_ancient_authority_restoration,42,79.2,6.7,72.5
language_first,ENGLISH,20,47,claim_canonical_textual_identity,20,100.0,27.7,72.3
language_first,GERMAN,13,45,claim_ancient_authority_restoration,11,84.6,15.6,69.1
language_first,DUTCH,21,30,claim_canonical_textual_identity,18,85.7,16.7,69.0
language_first,DUTCH,21,30,claim_method_demonstration_order,15,71.4,3.3,68.1
language_first,ENGLISH,20,47,procedural_pedagogical_identity,17,85.0,17.0,68.0
language_first,LATIN,139,167,claim_ancient_authority_restoration,115,82.7,16.8,66.0
period,1650-1699,83,120,claim_ancient_authority_restoration,69,83.1,18.3,64.8
language_first,FRENCH,53,209,claim_canonical_textual_identity,44,83.0,18.7,64.4
period,1600-1649,75,248,claim_canonical_textual_identity,64,85.3,22.2,63.2
language_first,FRENCH,53,209,procedural_pedagogical_identity,36,67.9,4.8,63.1
period,1550-1599,55,125,claim_canonical_textual_identity,48,87.3,24.8,62.5
language_first,ITALIAN,12,52,claim_canonical_textual_identity,12,100.0,38.5,61.5
language_first,GERMAN,13,45,claim_canonical_textual_identity,12,92.3,31.1,61.2
period,1600-1649,75,248,procedural_pedagogical_identity,52,69.3,11.3,58.0
period,pre-1550,32,49,claim_ancient_authority_restoration,22,68.8,12.2,56.5
period,pre-1550,32,49,claim_canonical_textual_identity,24,75.0,20.4,54.6
language_first,LATIN,139,167,claim_canonical_textual_identity,119,85.6,31.1,54.5
language_first,DUTCH,21,30,procedural_pedagogical_identity,13,61.9,13.3,48.6
period,1650-1699,83,120,claim_canonical_textual_identity,73,88.0,40.8,47.1
language_first,ENGLISH,20,47,claim_method_demonstration_order,13,65.0,19.1,45.9
period,1550-1599,55,125,humanist_transfer_book,26,47.3,1.6,45.7
period,1650-1699,83,120,procedural_pedagogical_identity,48,57.8,14.2,43.7
language_first,LATIN,139,167,procedural_pedagogical_identity,80,57.6,15.0,42.6
period,1550-1599,55,125,claim_translation_vernacularization_transfer,28,50.9,8.8,42.1
language_first,ITALIAN,12,52,humanist_transfer_book,5,41.7,0.0,41.7
period,1550-1599,55,125,procedural_pedagogical_identity,26,47.3,7.2,40.1
period,pre-1550,32,49,procedural_pedagogical_identity,14,43.8,4.1,39.7
language_first,DUTCH,21,30,Geometry/Theory,16,76.2,36.7,39.5
period,1700+,40,15,pedagogical_school_arena,18,45.0,6.7,38.3
period,pre-1550,32,49,composite_workshop_book,16,50.0,12.2,37.8
language_first,DUTCH,21,30,claim_selection_extraction_abridgment,10,47.6,10.0,37.6
period,1700+,40,15,procedural_pedagogical_identity,23,57.5,20.0,37.5
language_first,ITALIAN,12,52,claim_translation_vernacularization_transfer,5,41.7,5.8,35.9
period,pre-1550,32,49,claim_augmentation_enrichment_composition,16,50.0,14.3,35.7
language_first,DUTCH,21,30,claim_visual_material_aids,8,38.1,3.3,34.8
language_first,FRENCH,53,209,humanist_transfer_book,19,35.8,1.9,33.9
language_first,DUTCH,21,30,humanist_transfer_book,7,33.3,0.0,33.3
period,1650-1699,83,120,claim_method_demonstration_order,46,55.4,22.5,32.9
language_first,DUTCH,21,30,pedagogical_school_arena,8,38.1,6.7,31.4
language_first,ENGLISH,20,47,Geometry/Theory,13,65.0,34.0,31.0
period,1600-1649,75,248,claim_method_demonstration_order,35,46.7,16.1,30.5
language_first,FRENCH,53,209,claim_method_demonstration_order,24,45.3,17.2,28.1
period,1600-1649,75,248,humanist_transfer_book,22,29.3,1.6,27.7
language_first,DUTCH,21,30,claim_correction_revision_accuracy,10,47.6,20.0,27.6
period,1700+,40,15,learned_scholarly_arena,16,40.0,13.3,26.7
language_first,FRENCH,53,209,claim_translation_vernacularization_transfer,20,37.7,11.5,26.3
language_first,DUTCH,21,30,general_public_lovers_arena,9,42.9,16.7,26.2
period,1700+,40,15,Geometry/Theory,29,72.5,46.7,25.8
language_first,GERMAN,13,45,Geometry/Theory,10,76.9,51.1,25.8
language_first,FRENCH,53,209,claim_augmentation_enrichment_composition,31,58.5,33.0,25.5
period,1600-1649,75,248,Geometry/Theory,49,65.3,39.9,25.4
language_first,DUTCH,21,30,claim_accessibility_clarity_pedagogy,6,28.6,3.3,25.2
language_first,GERMAN,13,45,procedural_pedagogical_identity,5,38.5,13.3,25.1
language_first,ENGLISH,20,47,religious_institutional_arena,5,25.0,0.0,25.0
language_first,ENGLISH,20,47,method_access_book,7,35.0,10.6,24.4
language_first,DUTCH,21,30,method_access_book,5,23.8,0.0,23.8
language_first,ENGLISH,20,47,claim_selection_extraction_abridgment,9,45.0,21.3,23.7
language_first,ITALIAN,12,52,procedural_pedagogical_identity,4,33.3,9.6,23.7
language_first,FRENCH,53,209,claim_correction_revision_accuracy,19,35.8,12.4,23.4
period,1600-1649,75,248,claim_selection_extraction_abridgment,21,28.0,4.8,23.2
period,1600-1649,75,248,claim_augmentation_enrichment_composition,39,52.0,29.0,23.0
period,1600-1649,75,248,claim_correction_revision_accuracy,26,34.7,11.7,23.0
language_first,GERMAN,13,45,claim_visual_material_aids,5,38.5,15.6,22.9
language_first,ENGLISH,20,47,pedagogical_school_arena,7,35.0,12.8,22.2
period,pre-1550,32,49,learned_scholarly_arena,11,34.4,12.2,22.1
language_first,LATIN,139,167,Geometry/Theory,90,64.7,43.1,21.6
language_first,LATIN,139,167,claim_method_demonstration_order,55,39.6,18.6,21.0
period,pre-1550,32,49,claim_translation_vernacularization_transfer,8,25.0,4.1,20.9
period,1700+,40,15,claim_selection_extraction_abridgment,11,27.5,6.7,20.8
language_first,FRENCH,53,209,composite_workshop_book,25,47.2,26.8,20.4
period,pre-1550,32,49,claim_visual_material_aids,9,28.1,8.2,20.0
language_first,ITALIAN,12,52,claim_method_demonstration_order,4,33.3,13.5,19.9
period,pre-1550,32,49,humanist_transfer_book,7,21.9,2.0,19.8
language_first,GERMAN,13,45,learned_scholarly_arena,4,30.8,11.1,19.7
language_first,ENGLISH,20,47,court_state_service_arena,6,30.0,10.6,19.4
period,1600-1649,75,248,composite_workshop_book,33,44.0,25.0,19.0
language_first,ENGLISH,20,47,learned_scholarly_arena,8,40.0,21.3,18.7
period,1600-1649,75,248,claim_translation_vernacularization_transfer,22,29.3,10.9,18.4
period,1700+,40,15,claim_method_demonstration_order,18,45.0,26.7,18.3
language_first,FRENCH,53,209,claim_selection_extraction_abridgment,13,24.5,6.7,17.8
language_first,DUTCH,21,30,claim_augmentation_enrichment_composition,10,47.6,30.0,17.6
language_first,DUTCH,21,30,composite_workshop_book,10,47.6,30.0,17.6
language_first,LATIN,139,167,humanist_transfer_book,26,18.7,1.8,16.9
language_first,DUTCH,21,30,claim_translation_vernacularization_transfer,7,33.3,16.7,16.7
period,1600-1649,75,248,religious_institutional_arena,17,22.7,6.9,15.8
period,1550-1599,55,125,religious_institutional_arena,10,18.2,2.4,15.8
period,1550-1599,55,125,claim_method_demonstration_order,17,30.9,15.2,15.7
language_first,DUTCH,21,30,professional_practical_arena,4,19.0,3.3,15.7
language_first,ENGLISH,20,47,humanist_transfer_book,4,20.0,4.3,15.7
language_first,LATIN,139,167,claim_translation_vernacularization_transfer,29,20.9,5.4,15.5
language_first,FRENCH,53,209,claim_accessibility_clarity_pedagogy,12,22.6,7.2,15.5
language_first,GERMAN,13,45,military_fortification_arena,2,15.4,0.0,15.4
period,1550-1599,55,125,Geometry/Theory,33,60.0,44.8,15.2
period,1700+,40,15,sparse_canonical_identity,6,15.0,0.0,15.0
period,pre-1550,32,49,Cosmos/Earth,8,25.0,10.2,14.8
period,pre-1550,32,49,pedagogical_school_arena,8,25.0,10.2,14.8
language_first,FRENCH,53,209,religious_institutional_arena,9,17.0,2.4,14.6
period,1650-1699,83,120,claim_correction_revision_accuracy,21,25.3,10.8,14.5
period,1550-1599,55,125,claim_augmentation_enrichment_composition,22,40.0,25.6,14.4
language_first,ENGLISH,20,47,utility_public_book,5,25.0,10.6,14.4
period,1650-1699,83,120,religious_institutional_arena,25,30.1,15.8,14.3
period,1550-1599,55,125,learned_scholarly_arena,18,32.7,18.4,14.3
language_first,GERMAN,13,45,pedagogical_school_arena,3,23.1,8.9,14.2
language_first,FRENCH,53,209,method_access_book,9,17.0,3.3,13.6
period,pre-1550,32,49,Geometry/Theory,14,43.8,30.6,13.1
period,1650-1699,83,120,learned_scholarly_arena,25,30.1,17.5,12.6
period,1650-1699,83,120,claim_completeness_totality_system,18,21.7,9.2,12.5
period,1650-1699,83,120,humanist_transfer_book,11,13.3,0.8,12.4
language_first,DUTCH,21,30,learned_scholarly_arena,4,19.0,6.7,12.4
language_first,LATIN,139,167,religious_institutional_arena,42,30.2,18.0,12.3
period,1550-1599,55,125,composite_workshop_book,18,32.7,20.8,11.9
period,1600-1649,75,248,claim_accessibility_clarity_pedagogy,15,20.0,8.5,11.5
language_first,ITALIAN,12,52,no_visible_social_arena,9,75.0,63.5,11.5
language_first,ENGLISH,20,47,claim_accessibility_clarity_pedagogy,9,45.0,34.0,11.0
language_first,LATIN,139,167,claim_correction_revision_accuracy,31,22.3,11.4,10.9
