field,value,n,composite/apparatus,corrected/updated,humanist/ancient,institutional/authority,pedagogical/method,practical/public,sparse/canonical,vernacular/transfer
elements_books_group,books_1_13,5,20.0,80.0,100.0,60.0,60.0,60.0,40.0,20.0
elements_books_group,books_1_6,81,63.0,45.7,82.7,76.5,67.9,23.5,23.5,37.0
elements_books_group,books_1_6_plus_solids,39,59.0,59.0,97.4,89.7,79.5,59.0,10.3,23.1
elements_books_group,mixed_or_other_books,1,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
elements_books_group,near_complete_or_expanded,67,83.6,61.2,94.0,77.6,88.1,17.9,9.0,50.7
elements_books_group,near_complete_or_expanded_enunciations,7,100.0,28.6,85.7,57.1,85.7,57.1,0.0,57.1
elements_books_group,partial_from_book_1,8,50.0,50.0,62.5,75.0,50.0,37.5,0.0,12.5
elements_books_group,selected_later_books,21,61.9,33.3,90.5,71.4,57.1,14.3,14.3,28.6
elements_books_group,selected_later_books_enunciations,1,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
elements_books_group,unknown_books,56,71.4,44.6,67.9,71.4,51.8,23.2,17.9,35.7
