field,value,n,composite/apparatus,corrected/updated,humanist/ancient,institutional/authority,pedagogical/method,practical/public,sparse/canonical,vernacular/transfer
language_first,ARABIC,1,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0
language_first,CHINESE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
language_first,DUTCH,21,76.2,57.1,90.5,95.2,81.0,47.6,9.5,52.4
language_first,ENGLISH,20,70.0,55.0,85.0,90.0,90.0,70.0,10.0,50.0
language_first,FRENCH,53,73.6,54.7,79.2,88.7,75.5,41.5,5.7,37.7
language_first,GERMAN,13,76.9,30.8,84.6,76.9,61.5,38.5,15.4,84.6
language_first,GREEK,16,68.8,50.0,100.0,50.0,50.0,0.0,31.2,50.0
language_first,ITALIAN,12,33.3,41.7,100.0,66.7,41.7,25.0,58.3,58.3
language_first,LATIN,139,69.1,51.8,83.5,71.9,71.2,17.3,13.7,24.5
language_first,PORTUGUESE,1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
language_first,SPANISH,6,83.3,16.7,100.0,100.0,66.7,50.0,16.7,50.0
language_first,SWEDISH,2,0.0,0.0,100.0,50.0,50.0,0.0,100.0,50.0
