mode,mode_col,feature,mode_n,mode_count,mode_pct,non_elements_pct,delta_vs_non_elements
composite/apparatus,mode_composite_apparatus,claim_ancient_authority_restoration,196,173,88.3,12.0,76.2
composite/apparatus,mode_composite_apparatus,claim_canonical_textual_identity,196,177,90.3,26.6,63.7
composite/apparatus,mode_composite_apparatus,procedural_pedagogical_identity,196,137,69.9,10.6,59.3
composite/apparatus,mode_composite_apparatus,claim_method_demonstration_order,196,94,48.0,16.3,31.6
composite/apparatus,mode_composite_apparatus,claim_augmentation_enrichment_composition,196,117,59.7,28.7,31.0
composite/apparatus,mode_composite_apparatus,humanist_transfer_book,196,58,29.6,1.6,28.0
composite/apparatus,mode_composite_apparatus,composite_workshop_book,196,102,52.0,25.3,26.7
composite/apparatus,mode_composite_apparatus,claim_translation_vernacularization_transfer,196,61,31.1,8.4,22.7
composite/apparatus,mode_composite_apparatus,learned_scholarly_arena,196,76,38.8,19.7,19.0
composite/apparatus,mode_composite_apparatus,religious_institutional_arena,196,50,25.5,7.4,18.1
composite/apparatus,mode_composite_apparatus,claim_correction_revision_accuracy,196,55,28.1,11.5,16.6
composite/apparatus,mode_composite_apparatus,pedagogical_school_arena,196,53,27.0,11.8,15.2
composite/apparatus,mode_composite_apparatus,claim_selection_extraction_abridgment,196,37,18.9,7.0,11.9
composite/apparatus,mode_composite_apparatus,claim_accessibility_clarity_pedagogy,196,38,19.4,9.3,10.1
composite/apparatus,mode_composite_apparatus,claim_visual_material_aids,196,45,23.0,14.4,8.6
composite/apparatus,mode_composite_apparatus,inst_jesuit,196,21,10.7,2.3,8.4
composite/apparatus,mode_composite_apparatus,method_access_book,196,24,12.2,4.3,7.9
composite/apparatus,mode_composite_apparatus,claim_completeness_totality_system,196,35,17.9,11.8,6.0
composite/apparatus,mode_composite_apparatus,role_mathematics_professor_lecturer,196,21,10.7,6.8,3.9
composite/apparatus,mode_composite_apparatus,aud_students_learners,196,8,4.1,1.1,3.0
composite/apparatus,mode_composite_apparatus,military_fortification_arena,196,4,2.0,2.2,-0.1
composite/apparatus,mode_composite_apparatus,inst_universities_academies_colleges,196,3,1.5,1.8,-0.3
composite/apparatus,mode_composite_apparatus,general_public_lovers_arena,196,12,6.1,6.8,-0.7
composite/apparatus,mode_composite_apparatus,aud_military_users,196,0,0.0,1.1,-1.1
composite/apparatus,mode_composite_apparatus,aud_general_readers_lovers,196,6,3.1,5.2,-2.1
composite/apparatus,mode_composite_apparatus,utility_public_book,196,12,6.1,8.4,-2.3
composite/apparatus,mode_composite_apparatus,professional_practical_arena,196,11,5.6,8.1,-2.5
composite/apparatus,mode_composite_apparatus,sparse_canonical_identity,196,4,2.0,6.3,-4.2
composite/apparatus,mode_composite_apparatus,claim_utility_practice_application,196,21,10.7,17.8,-7.1
composite/apparatus,mode_composite_apparatus,no_visible_social_arena,196,69,35.2,60.5,-25.3
corrected/updated,mode_corrected_updated,claim_ancient_authority_restoration,144,130,90.3,12.0,78.2
corrected/updated,mode_corrected_updated,claim_canonical_textual_identity,144,133,92.4,26.6,65.8
corrected/updated,mode_corrected_updated,procedural_pedagogical_identity,144,109,75.7,10.6,65.1
corrected/updated,mode_corrected_updated,claim_method_demonstration_order,144,73,50.7,16.3,34.4
corrected/updated,mode_corrected_updated,claim_correction_revision_accuracy,144,66,45.8,11.5,34.3
corrected/updated,mode_corrected_updated,humanist_transfer_book,144,48,33.3,1.6,31.7
corrected/updated,mode_corrected_updated,claim_translation_vernacularization_transfer,144,50,34.7,8.4,26.3
corrected/updated,mode_corrected_updated,claim_augmentation_enrichment_composition,144,77,53.5,28.7,24.7
corrected/updated,mode_corrected_updated,religious_institutional_arena,144,45,31.2,7.4,23.9
corrected/updated,mode_corrected_updated,composite_workshop_book,144,69,47.9,25.3,22.6
corrected/updated,mode_corrected_updated,learned_scholarly_arena,144,48,33.3,19.7,13.6
corrected/updated,mode_corrected_updated,pedagogical_school_arena,144,35,24.3,11.8,12.5
corrected/updated,mode_corrected_updated,claim_accessibility_clarity_pedagogy,144,30,20.8,9.3,11.5
corrected/updated,mode_corrected_updated,claim_visual_material_aids,144,37,25.7,14.4,11.3
corrected/updated,mode_corrected_updated,method_access_book,144,22,15.3,4.3,11.0
